symbol,setup_date,entry,n_days,matured,mfe_pct,mfe_day,mae_pct,mae_day,fwd20
AGL,2026-07-06,54.04,16,False,0.6661732050333077,1,-16.561806069578083,13,
AGP,2026-06-15,196.82,20,True,11.116756427192357,12,-0.6452596280865673,19,1.1228533685601096
AHCL,2026-06-16,15.35,20,True,9.381107491856675,3,-3.9087947882736134,18,-0.5863192182410415
AIRLINK,2026-06-30,156.94,20,True,2.841850388683578,1,-17.242258187842488,17,-11.22722059385753
AKBL,2026-06-16,105.7,20,True,12.109744560075683,11,-3.9640491958372728,18,2.9895931882686817
ANL,2026-06-18,11.26,20,True,3.463587921847252,8,-12.078152753108343,18,-10.301953818827709
ANL,2026-07-02,11.29,18,False,1.7714791851195844,2,-18.866253321523466,16,
ASC,2026-06-24,12.2,20,True,24.590163934426233,6,1.6393442622950907,13,12.295081967213116
ATRL,2026-07-20,936.98,6,False,7.142094815257526,6,-2.8794638092595375,3,
ATRL,2026-07-23,929.43,3,False,8.012437730652124,3,-1.8215465392767558,1,
ATRL,2026-07-27,943.67,1,False,6.382527790435217,1,1.0416777051299757,1,
BAHL,2026-07-07,180.23,15,False,0.25522942906286855,1,-7.950951561893128,13,
BGL,2026-06-19,12.05,20,True,9.128630705394187,15,-11.535269709543572,14,-2.987551867219927
BGL,2026-07-06,12.05,16,False,9.128630705394187,6,-11.535269709543572,5,
BGL,2026-07-13,12.87,11,False,2.175602175602185,1,-15.3069153069153,5,
CEPB,2026-07-06,33.54,16,False,2.1168753726893286,1,-18.753726893261774,14,
CHBL,2026-07-07,10.97,15,False,6.198723792160435,3,-17.958067456700096,13,
CNERGY,2026-07-08,8.72,14,False,31.651376146788984,14,-1.0321100917431176,1,
CSAP,2026-06-16,116.84,20,True,1.8230058199246792,1,-12.238959260527214,18,-8.224922971585073
CSAP,2026-06-19,112.64,20,True,5.41548295454545,2,-9.446022727272728,19,-8.425071022727268
CSAP,2026-06-30,114.1,20,True,0.9465381244522459,2,-12.348816827344427,16,-9.325153374233128
DBCI,2026-06-18,8.12,20,True,130.4187192118227,20,-9.85221674876846,5,130.4187192118227
DBCI,2026-07-09,9.55,13,False,160.52356020942403,10,4.3979057591623025,1,
EPCL,2026-07-13,36.06,11,False,-0.2218524681087227,1,-10.981697171381033,8,
FABL,2026-06-16,97.64,20,True,8.562064727570668,12,-7.302335108562059,3,3.226136829168379
FABL,2026-06-18,97.4,20,True,8.829568788501021,10,-7.073921971252567,1,1.5913757700205307
FABL,2026-06-23,97.06,20,True,9.210797444879454,7,-1.0921079744487967,13,1.9781578405110258
FABL,2026-06-29,97.97,20,True,8.196386648974178,5,-2.010819638664896,11,3.5725222006736757
FATIMA,2026-06-17,162.47,20,True,4.326952668184896,1,-7.570628423709,17,-2.948236597525692
FFC,2026-06-30,573.48,20,True,1.6147032154565095,4,-7.75615540210644,18,-4.4936179116970045
GATM,2026-06-17,27.38,20,True,19.61285609934259,6,-4.30971512052593,17,-1.314828341855367
GCIL,2026-06-22,34.38,20,True,18.091913903432225,8,-2.3560209424083833,1,3.8685282140779473
GGGL,2026-06-16,9.29,20,True,9.79547900968784,12,-5.812701829924642,3,-3.7674919268030105
GGGL,2026-06-22,9.39,20,True,8.626198083067079,8,-7.348242811501611,18,-5.857294994675193
GHGL,2026-06-16,39.38,20,True,7.922803453529703,12,-8.583037074657192,5,-0.1777552056881673
GHGL,2026-06-19,39.38,20,True,7.922803453529703,9,-8.583037074657192,2,-2.742508887760298
GHGL,2026-06-29,39.68,20,True,7.106854838709678,5,-7.006048387096778,19,0.655241935483866
GRR,2026-06-29,21.13,20,True,9.32323710364412,6,-0.5679129200189184,2,6.672976810222433
GTYR,2026-06-15,32.04,20,True,19.69413233458178,20,-4.026217228464417,8,11.017478152309616
GTYR,2026-07-01,33.04,19,False,16.071428571428577,10,-6.174334140435834,6,
GTYR,2026-07-14,35.18,10,False,9.010801591813536,1,-11.284820920977825,7,
GWLC,2026-06-15,54.56,20,True,6.708211143695008,4,-12.90322580645161,19,-10.648826979472144
GWLC,2026-06-18,56.1,20,True,3.7789661319073033,1,-15.329768270944744,20,-12.691622103386818
HICL,2026-07-16,11.35,8,False,7.6651982378854715,8,-4.845814977973559,2,
HMB,2026-07-01,118.9,19,False,2.1026072329688814,4,-6.223717409587894,17,
HMB,2026-07-06,119.04,16,False,1.9825268817204293,1,-6.334005376344091,14,
HTL,2026-07-09,47.55,13,False,1.3880126182965378,1,-18.9695057833859,11,
HUBC,2026-06-18,233.45,20,True,2.2702934247162183,1,-7.856071964017981,20,-6.215463696723064
HUBC,2026-06-30,233.45,20,True,1.4349967873206353,4,-9.196830156350396,18,-4.472049689440993
ISL,2026-06-15,92.47,20,True,8.673083162106625,13,-10.241159294906454,19,-8.759597707364545
ISL,2026-06-29,92.6,20,True,8.52051835853132,5,-14.892008639308848,19,-4.028077753779686
ISL,2026-07-06,98.37,16,False,1.25038121378468,1,-19.884111009454102,14,
ITTEFAQ,2026-07-07,9.7,15,False,8.65979381443299,7,-12.37113402061855,12,
ITTEFAQ,2026-07-15,9.79,9,False,7.6608784473953015,1,-13.176710929519912,6,
KML,2026-06-19,10.76,20,True,10.594795539033463,6,-14.77695167286245,19,-12.639405204460964
KML,2026-06-24,10.68,20,True,11.423220973782778,3,-15.168539325842689,20,-13.576779026217222
KOHC,2026-06-15,103.49,20,True,12.677553386800664,8,-9.169968112861142,19,-5.749347763068885
KTML,2026-06-17,54.7,20,True,9.59780621572212,7,-15.886654478976242,20,-14.424131627056674
KTML,2026-06-24,54.68,20,True,9.63789319678128,2,-25.018288222384783,20,-21.378931967812726
LOTCHEM,2026-07-06,30.56,16,False,7.6897905759162235,5,-13.710732984293186,14,
LOTCHEM,2026-07-09,30.43,13,False,8.149852119618787,2,-13.342096615182381,11,
LUCK,2026-07-16,451.2,8,False,2.480053191489361,3,-5.150709219858158,6,
MACFL,2026-06-16,72.73,20,True,19.593015261927675,16,-20.775470919840515,19,-8.923415371923566
MCB,2026-07-01,426.84,19,False,1.9117233623840375,4,-7.740605379064746,10,
MDTL,2026-07-24,6.38,2,False,8.150470219435745,1,-8.93416927899687,2,
MLCF,2026-06-15,98.13,20,True,12.300010190563546,11,-5.227759095077953,19,-2.5068786303882544
MUGHAL,2026-06-15,87.23,20,True,8.047690014903125,14,-7.543276395735409,19,-5.800756620428754
MUGHAL,2026-06-24,86.49,20,True,8.972135506995036,7,-12.12856977685281,20,-9.758353566886344
MUGHAL,2026-07-06,90.88,16,False,3.708186619718315,1,-16.373239436619713,14,
NBP,2026-06-16,206.61,20,True,6.843812012971291,13,-5.619282706548576,4,1.0551280189729335
NBP,2026-06-24,201.73,20,True,9.428443959748185,7,-5.368561939225691,20,-4.238338373072911
NBP,2026-07-01,205.01,19,False,7.67767425979221,4,-6.8825910931174015,17,
NBP,2026-07-15,204.19,9,False,2.967824085410648,1,-6.508643910083742,7,
NML,2026-07-02,163.67,18,False,0.751512189161128,2,-15.622899737276224,16,
NML,2026-07-06,164.4,16,False,0.006082725060821718,1,-15.997566909975674,14,
NRL,2026-07-10,397.63,12,False,13.648366571938734,12,-4.174735306692156,3,
NRL,2026-07-17,396.56,7,False,13.955013112769816,7,-1.6542263465805938,1,
OCTOPUS,2026-06-19,38.26,20,True,3.2148457919498274,1,-18.112911657083117,19,-16.83220073183481
OGDC,2026-06-17,334.04,20,True,5.376601604598245,11,-5.400550832235666,20,-4.819782062028506
OGDC,2026-06-22,334.25,20,True,5.310396409872849,8,-8.00299177262528,19,-5.3732236350037335
PAEL,2026-06-30,45.45,20,True,4.752475247524745,5,-13.091309130913098,18,-4.9724972497249835
PAEL,2026-07-09,45.07,13,False,1.6197026847126623,1,-12.358553361437764,11,
PAKRI,2026-06-17,17.89,20,True,7.769703745109002,12,-7.881498043599777,6,-1.5092230296254865
PAKRI,2026-07-02,17.71,18,False,8.86504799548278,3,-5.759457933370974,8,
PAKRI,2026-07-17,17.62,7,False,2.213393870601592,2,-5.221339387060168,5,
PIBTL,2026-06-15,17.96,20,True,7.73942093541203,10,-9.743875278396436,19,-6.625835189309584
PIBTL,2026-06-24,18.64,20,True,3.8090128755364856,3,-16.523605150214593,20,-14.96781115879829
PICT,2026-07-10,56.13,12,False,9.567076429716725,9,-12.702654551933016,6,
PICT,2026-07-21,53.18,5,False,15.644979315532156,2,-2.218879277924031,3,
PIOC,2026-07-22,300.24,4,False,1.1857180921929131,1,-7.3241406874500425,2,
PPL,2026-06-17,245.58,20,True,3.6281456144637168,11,-10.823356950891771,20,-10.522029481228113
PPL,2026-06-22,242.63,20,True,4.888101224086062,8,-11.437167703911305,20,-10.629353336355765
PRL,2026-07-08,38.43,14,False,58.730158730158735,14,-0.07806401249024496,1,
RPL,2026-07-06,18.73,16,False,5.979711692471975,3,-14.575547250400428,10,
SBL,2026-07-06,11.49,16,False,30.80939947780678,4,0.6092254134029615,1,
SEARL,2026-06-16,98.0,20,True,3.316326530612245,13,-8.020408163265305,19,-5.816326530612248
SEARL,2026-07-06,98.99,16,False,2.283058894837868,1,-11.849681786038985,14,
SGPL,2026-07-01,88.15,19,False,46.42087351106067,4,-33.91945547362451,17,
SNBL,2026-06-15,21.7,20,True,19.21658986175116,18,0.9216589861751119,5,10.59907834101383
SNGP,2026-06-16,112.94,20,True,13.201700017708514,5,-9.022489817602265,18,-2.4349211970958033
SPWL,2026-06-19,10.0,20,True,6.999999999999992,2,-7.5,7,-6.400000000000006
SPWL,2026-07-06,9.94,16,False,2.4144869215291775,1,-9.456740442655931,14,
SSGC,2026-06-16,30.43,20,True,9.760105159382185,5,-7.6569175156095906,18,-3.680578376602041
TELE,2026-06-16,9.54,20,True,3.563941299790374,1,-10.167714884696005,18,-5.765199161425566
TELE,2026-07-02,9.27,18,False,2.0496224379719665,7,-11.974110032362454,16,
THCCL,2026-07-07,74.2,15,False,3.0727762803234517,2,-21.657681940700808,13,
THCCL,2026-07-09,73.21,13,False,2.294768474252161,1,-20.5982789236443,11,
TOMCL,2026-06-18,41.55,20,True,11.552346570397123,5,-12.755716004813472,20,-8.736462093862805
TPL,2026-07-24,18.29,2,False,10.989611809732104,2,1.6949152542373007,1,
TPLP,2026-07-06,12.54,16,False,9.968102073365232,12,-15.311004784688995,6,
TPLP,2026-07-15,12.13,9,False,13.685078318219276,5,-3.4624896949711452,2,
TSPL,2026-07-06,18.12,16,False,13.134657836644587,2,-26.324503311258283,14,
TSPL,2026-07-13,17.2,11,False,0.0,1,-22.383720930232556,9,
UBL,2026-06-16,454.43,20,True,9.587835310168781,13,-5.818277842572013,5,3.4768831283145945
UBL,2026-07-01,479.73,19,False,3.8083922206240968,4,-7.6563900527380016,17,
UNIC,2026-07-20,14.09,6,False,2.2001419446415933,1,-16.46557842441448,4,
