sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,opposite_stop,r_opposite_denom,first_breach_idx,switched,switch_bar,exit_bar,exit_stop,horizon_reached,realized_R_adaptive_fixed,realized_R_adaptive_rebased,realized_R_lfd_static,realized_R_opposite_static
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,down,1091,1.0,62.15,64.39,2.240000000000002,66.97873873873874,4.828738738738743,,False,,1181,,True,4.638392857142853,4.638392857142853,4.638392857142853,2.151700591428943
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,2604,3.0,620.0,641.5,21.5,651.0088866238721,31.00888662387206,2619.0,False,,2619,lfd,False,-1.0,-1.0,-1.0,-1.0
CEMENT,ACPL,600,680,descending,down,down,695,3.0,56.7137,60.5249,3.8111999999999995,61.5031086240948,4.789408624094797,699.0,True,699.0,731,opposite,False,-1.2566668304195,-1.0,-1.0,-0.6294722870028227
CEMENT,ACPL,2440,2520,ascending,down,down,2521,1.0,137.1967,144.5117,7.314999999999998,152.91179660968663,15.71509660968664,,False,,2611,,True,1.5468352699931633,1.5468352699931633,1.5468352699931631,0.720014663672221
CEMENT,ACPL,3720,3800,descending,up,up,3801,1.0,145.63,142.1,3.530000000000001,141.4559090909091,4.174090909090893,,False,,3891,,True,6.991501416430594,6.991501416430594,6.991501416430594,5.912664706522947
CEMENT,ACPL,3880,3960,ascending,down,down,3961,1.0,168.26,172.74,4.480000000000018,181.5212488732279,13.261248873227913,,False,,3977,lfd,False,-1.0,-1.0,-1.0,-0.0512772218137618
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,241,1.0,216.0,217.0,1.0,242.0000146541618,26.000014654161788,286.0,False,,248,lfd,False,-1.0,-1.0,-1.0,-0.1538460671351862
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,601,1.0,61.95,63.9,1.9499999999999957,68.69742951907132,6.747429519071318,,False,,627,lfd,False,-1.0,-1.0,-1.0,-0.214896650035637
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,up,2041,1.0,88.05,83.5,4.549999999999997,82.16516483516483,5.884835164835167,,False,,2131,,True,0.4285714285714295,0.4285714285714295,0.4285714285714295,0.3313601732895134
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,down,2613,3.0,78.0,83.5,5.5,85.08890909090907,7.08890909090907,2621.0,False,,2621,lfd,False,-1.0,-1.0,-1.0,-0.139654774423555
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1324,1.0,69.91,68.0,1.9099999999999966,66.00458606557378,3.905413934426221,,False,,1378,lfd,False,-1.0,-1.0,-1.0,-0.6836663270092713
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,down,1481,3.0,67.49,70.03,2.5400000000000063,69.80364397680913,2.313643976809132,1500.0,True,1500.0,1505,opposite,False,-0.9108834554366639,-1.0,-0.1417322834645663,-1.0
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,up,1602,2.0,65.0,61.3,3.700000000000003,59.2638435194942,5.736156480505798,,False,,1692,,True,10.578378378378371,10.578378378378371,10.578378378378371,6.823384287548018
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1932,1.0,200.24,194.0,6.240000000000009,187.94051160815405,12.299488391845955,1976.0,False,,1976,lfd,False,-1.0,-1.0,-1.0,-1.0
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,down,4575,3.0,335.67,342.85,7.180000000000007,350.1503264311816,14.480326431181595,4581.0,False,,4581,lfd,False,-1.0,-1.0,-1.0,-0.4716744496375732
FERTILIZER,AHCL,3240,3320,descending,down,down,3323,2.0,32.05,34.7,2.6500000000000057,34.78633945656334,2.7363394565633428,,False,,3413,,True,0.7735849056603746,0.7735849056603746,0.7735849056603746,0.7491760552890826
INSURANCE,AICL,1800,1880,ascending,sequential,up,1881,3.0,68.88,65.51,3.3699999999999903,63.59110752688172,5.288892473118274,1909.0,False,,1909,lfd,False,-1.0,-1.0,-1.0,-0.7165961530251056
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,up,1884,3.0,16.51,15.51,1.0000000000000018,15.36786788029238,1.1421321197076217,1890.0,True,1890.0,1974,,True,3.0199999999999942,2.644177453632159,3.0199999999999942,2.644177453632159
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,up,2481,3.0,4.8335,4.6326,0.20089999999999986,4.313294922737306,0.5202050772626938,2509.0,False,,2492,lfd,False,-1.0,-1.0,-1.0,0.2610508930719706
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,down,2601,1.0,4.5212,5.0507,0.5294999999999996,4.909398545139224,0.3881985451392236,2682.0,True,2682.0,2691,,True,0.051369216241738576,0.07006723837732454,0.0513692162417385,0.0700672383773245
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,2681,1.0,4.5538,4.209,0.3448000000000002,3.696177610441767,0.8576223895582329,,False,,2771,,True,14.079756380510432,14.079756380510432,14.079756380510432,5.66064979075545
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,2441,1.0,5.22,5.58,0.3600000000000003,6.258194419761864,1.0381944197618642,,False,,2515,lfd,False,-1.0,-1.0,-1.0,-0.2504347885626645
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,down,3681,2.0,12.15,12.7,0.5499999999999989,13.21297872340426,1.0629787234042603,3745.0,False,,3745,lfd,False,-1.0,-1.0,-1.0,-0.8843074459567624
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,1483,2.0,166.0422,164.4244,1.6178000000000168,163.39091097228533,2.6512890277146823,1537.0,False,,1509,lfd,False,-1.0,-1.0,-1.0,0.0978392009654236
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,up,1644,1.0,189.8517,183.319,6.5327000000000055,184.233357200333,5.618342799667005,,False,,1734,,True,1.1514075344038464,1.1514075344038464,1.1514075344038464,1.3387933538775572
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,4216,2.0,236.0668,230.2376,5.829200000000014,226.16367882736157,9.903121172638436,,False,,4306,,True,7.847251766966289,7.847251766966289,7.847251766966289,4.619068998810681
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,721,1.0,22.59,18.9,3.6900000000000013,14.741257848019051,7.848742151980948,,False,,743,lfd,False,-1.0,-1.0,-1.0,-0.4892503697590347
ENGINEERING,ASL,1320,1400,descending,down,down,1401,1.0,18.24,19.0,0.7600000000000016,20.870578121106405,2.6305781211064065,,False,,1491,,True,6.499999999999984,6.499999999999984,6.499999999999984,1.877914197021551
ENGINEERING,ASLPS,360,440,ascending,up,up,448,1.0,5.7582,5.051,0.7072000000000003,4.844228571428571,0.9139714285714291,483.0,False,,483,lfd,False,-1.0,-1.0,-1.0,-0.9726781080996588
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,4121,3.0,170.19,168.0,2.1899999999999977,162.6741557377049,7.515844262295104,4127.0,False,,4123,lfd,False,-1.0,-1.0,-1.0,-1.0
REFINERY,ATRL,1440,1520,ascending,sequential,up,1530,3.0,131.8,124.42,7.38000000000001,124.87575834970534,6.924241650294675,1545.0,True,1545.0,1547,opposite,False,-0.9382441260561878,-1.0,-1.0,-1.0
REFINERY,ATRL,5000,5080,ascending,sequential,up,5081,3.0,704.88,679.0,25.879999999999995,662.840962349633,42.03903765036705,5094.0,False,,5088,lfd,False,-1.0,-1.0,-1.0,-0.6365512032544434
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,up,643,3.0,17.9872,17.0358,0.9514000000000031,16.60678576210093,1.3804142378990711,670.0,False,,669,lfd,False,-1.0,-1.0,-1.0,-0.6450962149994224
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,2001,1.0,88.06,95.0,6.939999999999998,110.01091693862512,21.950916938625113,,False,,2024,lfd,False,-1.0,-1.0,-1.0,-0.4018055384502051
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,down,4208,1.0,68.79,76.39,7.599999999999994,77.13899963423556,8.348999634235554,,False,,4298,,True,1.5065789473684226,1.5065789473684226,1.5065789473684226,1.37142178723408
ENGINEERING,BCL,760,840,ascending,down,down,845,1.0,45.07,47.14,2.0700000000000003,50.68827586206897,5.61827586206897,,False,,935,,True,7.4685990338164245,7.4685990338164245,7.468599033816424,2.7517338734425807
CHEMICAL,BERG,2280,2360,symmetrical,down,down,2362,3.0,98.86,111.3,12.439999999999998,105.00521739130436,6.145217391304357,2363.0,True,2363.0,2370,opposite,False,-0.4939885362784853,-1.0,-0.2098070739549839,-1.0
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,up,1250,2.0,899.09,799.99,99.10000000000002,757.8546402877697,141.23535971223032,1334.0,False,,1333,lfd,False,-1.0,-1.0,-1.0,-0.6882837286502985
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,down,1321,1.0,899.54,927.7,28.160000000000082,948.3932268370604,48.85322683706045,,False,,1348,lfd,False,-1.0,-1.0,-1.0,0.6304598896348609
COMMERCIAL BANKS,BOK,440,520,descending,down,down,530,3.0,13.6,14.0,0.40000000000000036,14.454703557312255,0.8547035573122557,552.0,False,,552,lfd,False,-1.0,-1.0,-1.0,-0.4094987051424326
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,down,802,2.0,31.5,32.92,1.4200000000000017,32.59449389590918,1.0944938959091814,,False,,892,,True,6.239436619718302,6.239436619718302,6.239436619718302,8.095065703989254
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,up,1492,1.0,48.9582,45.9466,3.0116000000000014,45.37088749235848,3.5873125076415207,,False,,1582,,True,5.317339620135476,5.317339620135476,5.317339620135476,4.463982428597562
INSURANCE,CENI,3480,3560,symmetrical,up,up,3595,3.0,26.49,25.0,1.4899999999999984,23.83333333333333,2.65666666666667,3596.0,True,3596.0,3685,,True,7.7449664429530305,4.343789209535755,7.7449664429530305,4.343789209535755
TEXTILE COMPOSITE,CHBL,360,440,descending,up,up,441,1.0,10.85,9.9,0.9499999999999993,9.871173135630178,0.9788268643698217,,False,,531,,True,0.6842105263157904,0.6842105263157904,0.6842105263157904,0.6640602374746597
CEMENT,CHCC,1560,1640,descending,sequential,down,1642,3.0,5.3047,5.6385,0.3337999999999992,5.706665666929752,0.401965666929752,1644.0,True,1644.0,1660,opposite,False,-1.2042111052419202,-1.0,-1.0,-1.0
CEMENT,CHCC,2280,2360,symmetrical,up,up,2361,1.0,58.85,58.04,0.8100000000000023,52.42277888807757,6.427221111922428,,False,,2376,lfd,False,-1.0,-1.0,-1.0,0.0404529415547414
FOOD & PERSONAL CARE PRODUCTS,CLOV,1480,1560,descending,up,up,1561,1.0,91.0,84.45,6.549999999999997,79.94298245614036,11.057017543859644,,False,,1651,,True,4.995419847328246,4.995419847328246,4.995419847328246,2.959206664022215
PAPER & BOARD,CPPL,3160,3240,symmetrical,up,up,3246,2.0,168.95,160.1,8.849999999999994,158.41468392737056,10.535316072629428,3292.0,False,,3291,lfd,False,-1.0,-1.0,-1.0,-1.0
PAPER & BOARD,CPPL,4480,4560,ascending,down,down,4561,2.0,124.0,126.9,2.9000000000000057,132.75437158469947,8.75437158469947,,False,,4651,,True,7.468965517241363,7.468965517241363,7.468965517241363,2.474192440935047
TEXTILE COMPOSITE,CRTM,2240,2320,descending,sequential,down,2326,3.0,27.5,28.49,0.9899999999999984,29.84562211981566,2.3456221198156584,2339.0,False,,2339,lfd,False,-1.0,-1.0,-1.0,0.0426326129666019
TEXTILE COMPOSITE,CRTM,3560,3640,descending,up,up,3641,1.0,18.68,18.0,0.6799999999999997,17.18650744960561,1.4934925503943894,3668.0,False,,3649,lfd,False,-1.0,-1.0,-1.0,-0.4553085985065214
ENGINEERING,CSAP,4920,5000,descending,up,up,5011,1.0,106.0,103.8,2.200000000000003,100.1457142857143,5.8542857142856946,,False,,5024,lfd,False,-1.0,-1.0,-1.0,-0.3552952659834074
INSURANCE,CYAN,640,720,descending,up,up,721,1.0,10.1499,10.133,0.01690000000000147,9.175973988439308,0.9739260115606925,,False,,811,,True,405.3372781064736,405.3372781064736,405.3372781064736,7.03359384459064
INSURANCE,CYAN,4120,4200,descending,up,up,4201,1.0,24.01,23.75,0.26000000000000156,23.00143141945774,1.00856858054226,,False,,4206,lfd,False,-1.0,-1.0,-1.0,-0.2379610119035884
CHEMICAL,DAAG,840,920,symmetrical,up,up,923,2.0,18.9,17.8,1.0999999999999979,18.44796650717704,0.45203349282295946,929.0,False,,929,lfd,False,-1.0,-1.0,-0.1636363636363637,-1.0
CEMENT,DCL,2520,2600,ascending,down,down,2605,1.0,14.79,15.39,0.6000000000000014,15.873142857142858,1.0831428571428585,,False,,2695,,True,4.416666666666654,4.416666666666654,4.416666666666654,2.4465840147718234
CEMENT,DGKC,680,760,descending,up,up,764,1.0,95.0,91.9,3.0999999999999943,89.32525641025642,5.674743589743585,839.0,False,,824,lfd,False,-1.0,-1.0,-1.0,-0.3894449088403399
CEMENT,DGKC,1480,1560,symmetrical,down,down,1573,1.0,21.86,22.97,1.1099999999999994,23.57424904300832,1.7142490430083193,,False,,1617,lfd,False,-1.0,-1.0,-1.0,-1.0
CEMENT,DGKC,2920,3000,ascending,down,down,3015,3.0,227.28,242.0,14.719999999999999,243.6798362770391,16.3998362770391,3018.0,True,3018.0,3105,,True,5.752717391304349,5.163466181583644,5.752717391304349,5.163466181583644
