Ticker,Most_Recent_Stage2_Date,Currently_In_Stage2,Stock_Momentum_On_Entry,Perf_30d_On_Entry_Pct,Perf_10d_On_Entry_Pct,Last_Data_Date
AGTL,2025-01-30,No,Rolling Over,11.04,-3.34,2026-05-29
ATLH,2026-04-16,Yes,Heating Up,6.42,8.79,2026-05-29
DFML,2025-04-04,No,Recovering,-8.16,3.82,2026-05-29
GAL,2026-01-08,No,Cooling Down,3.66,3.06,2026-05-29
GHNI,2026-05-21,Yes,Rolling Over,32.93,-2.21,2026-05-29
HCAR,2025-10-21,No,Rolling Over,0.29,-1.1,2026-05-29
HINO,2025-10-20,No,Rolling Over,2.2,-2.69,2026-05-29
INDU,2026-02-18,No,Recovering,-1.4,0.24,2026-05-29
MTL,2025-02-19,No,Recovering,-5.26,4.49,2026-05-29
PSMC,2024-04-08,No,Cooling Down,0.08,0.08,2024-04-25
SAZEW,2026-05-05,Yes,Rolling Over,9.89,-8.67,2026-05-29
