Ticker,Sub_Sector,Most_Recent_Stage2_Date,Currently_In_Stage2,Stock_Momentum_On_Entry,Perf_30d_On_Entry_Pct,Perf_10d_On_Entry_Pct,Last_Data_Date
AGIL,AUTOMOBILE PARTS & ACCESSORIES,2026-05-25,Yes,Rolling Over,13.68,-1.08,2026-05-29
AGTL,AUTOMOBILE ASSEMBLER,2025-01-30,No,Rolling Over,11.04,-3.34,2026-05-29
ATBA,AUTOMOBILE PARTS & ACCESSORIES,2025-01-20,No,Rolling Over,1.94,-2.14,2026-05-29
ATLH,AUTOMOBILE ASSEMBLER,2026-04-16,Yes,Heating Up,6.42,8.79,2026-05-29
BELA,AUTOMOBILE PARTS & ACCESSORIES,2025-04-17,No,Cooling Down,18.05,2.63,2026-05-29
BWHL,AUTOMOBILE PARTS & ACCESSORIES,2026-05-20,Yes,Cooling Down,12.21,1.34,2026-05-29
DFML,AUTOMOBILE ASSEMBLER,2025-04-04,No,Recovering,-8.16,3.82,2026-05-29
DWAE,AUTOMOBILE PARTS & ACCESSORIES,Never,No,—,,,2026-05-29
EXIDE,AUTOMOBILE PARTS & ACCESSORIES,2025-07-25,No,Rolling Over,2.14,-4.46,2026-05-29
GAL,AUTOMOBILE ASSEMBLER,2026-01-08,No,Cooling Down,3.66,3.06,2026-05-29
GHNI,AUTOMOBILE ASSEMBLER,2026-05-21,Yes,Rolling Over,32.93,-2.21,2026-05-29
GTYR,AUTOMOBILE PARTS & ACCESSORIES,2025-08-22,No,Stabilising,-2.07,-1.22,2026-05-29
HCAR,AUTOMOBILE ASSEMBLER,2025-10-21,No,Rolling Over,0.29,-1.1,2026-05-29
HINO,AUTOMOBILE ASSEMBLER,2025-10-20,No,Rolling Over,2.2,-2.69,2026-05-29
INDU,AUTOMOBILE ASSEMBLER,2026-02-18,No,Recovering,-1.4,0.24,2026-05-29
LOADS,AUTOMOBILE PARTS & ACCESSORIES,2026-01-07,No,Heating Up,0.88,0.94,2026-05-29
MTL,AUTOMOBILE ASSEMBLER,2025-02-19,No,Recovering,-5.26,4.49,2026-05-29
PSMC,AUTOMOBILE ASSEMBLER,2024-04-08,No,Cooling Down,0.08,0.08,2024-04-25
PTL,AUTOMOBILE PARTS & ACCESSORIES,2026-02-26,No,Rolling Over,0.12,-0.74,2026-05-29
SAZEW,AUTOMOBILE ASSEMBLER,2026-05-05,Yes,Rolling Over,9.89,-8.67,2026-05-29
THALL,AUTOMOBILE PARTS & ACCESSORIES,2026-05-07,No,Cooling Down,7.92,2.49,2026-05-29
