symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
AATM,2025-06-18,2025-06-19,92.99,2025-06-20,85.5508,sl,-8.0,1,99.8,558.44
AATM,2025-07-01,2025-07-02,117.99,2025-07-03,108.5508,sl,-8.0,1,98.8,280.37
ACPL,2023-06-26,2023-06-27,85.02,2023-07-18,89.084,sl,4.7801,21,95.8,26.95
ACPL,2023-08-01,2023-08-02,93.0,2023-08-11,87.9844,sl,-5.3931,9,95.6,25.23
ACPL,2025-03-07,2025-03-10,268.0,2025-03-25,251.9473,sl,-5.9898,15,96.3,87.48
ACPL,2025-04-10,2025-04-11,263.2,2025-04-24,262.1927,sl,-0.3827,13,96.6,91.41
ACPL,2025-05-14,2025-05-15,295.02,2025-06-03,297.0353,sl,0.6831,19,95.5,78.45
ADOS,2022-10-07,2022-10-10,33.5,2022-10-13,30.82,sl,-8.0,3,99.2,48.85
AEL,2021-06-08,2021-06-23,14.0,2021-07-30,13.6016,sl,-2.8459,37,96.9,147.0
AEL,2021-10-28,2021-10-29,25.0,2021-11-10,23.0,sl,-8.0,12,99.2,189.97
AEL,2023-07-03,2023-07-04,22.5,2023-07-19,28.246,sl,25.5378,15,97.6,47.11
AEL,2024-01-04,2024-01-05,32.0,2024-01-05,33.68,time,5.25,0,95.1,57.26
AGL,2022-08-05,2022-08-10,8.35,2022-08-22,7.682,sl,-8.0,12,97.9,62.76
AGL,2023-11-24,2023-11-27,11.71,2023-12-18,12.6937,sl,8.4006,21,95.8,58.36
AGL,2024-01-10,2024-01-11,15.89,2024-01-26,15.3121,sl,-3.6366,15,98.8,131.66
AGL,2024-03-04,2024-03-05,17.48,2024-03-15,16.918,sl,-3.2151,10,97.5,142.42
AGL,2024-03-20,2024-03-21,20.19,2024-04-04,23.054,sl,14.1852,14,97.9,145.76
AGL,2024-08-22,2024-08-23,26.87,2024-09-24,32.5153,sl,21.0096,32,95.3,111.69
AGL,2024-10-01,2024-10-02,37.5,2024-10-29,36.7357,sl,-2.0381,27,97.3,145.83
AGL,2024-11-05,2024-11-06,37.83,2024-11-25,38.9816,sl,3.0441,19,96.7,145.25
AGL,2025-01-27,2025-01-28,58.43,2025-01-29,53.7556,sl,-8.0,1,96.7,109.99
AGL,2025-02-12,2025-02-13,59.0,2025-02-14,54.28,sl,-8.0,1,96.6,135.34
AGL,2025-03-10,2025-03-11,55.31,2025-03-14,52.1587,sl,-5.6975,3,96.4,91.66
AGL,2025-03-17,2025-03-18,63.76,2025-04-07,64.4597,sl,1.0974,20,95.1,80.73
AIRLINK,2023-11-16,2023-11-17,53.75,2023-11-30,55.7539,sl,3.7281,13,98.1,70.67
AIRLINK,2024-03-11,2024-03-12,67.0,2024-03-13,61.64,sl,-8.0,1,96.4,102.35
AIRLINK,2024-04-09,2024-04-15,62.61,2024-05-02,69.8716,sl,11.5981,17,96.7,81.93
AIRLINK,2024-06-03,2024-06-04,80.0,2024-06-07,73.6,sl,-8.0,3,95.5,83.26
AIRLINK,2024-06-20,2024-06-21,87.98,2024-07-31,101.5697,sl,15.4464,40,96.7,89.77
AIRLINK,2024-08-08,2024-08-09,121.1,2024-09-11,136.594,sl,12.7944,33,98.1,164.35
ALAC,2025-09-16,2025-09-17,15.27,2025-09-30,15.1446,sl,-0.8214,13,95.9,126.78
ANTM,2025-08-01,2025-08-04,32.67,2025-08-07,30.0564,sl,-8.0,3,95.5,97.09
ANTM,2025-08-08,2025-08-11,40.75,2025-08-12,37.49,sl,-8.0,1,97.2,178.09
ANTM,2025-10-24,2025-10-27,43.0,2025-10-28,39.56,sl,-8.0,1,95.2,173.85
ARUJ,2024-06-28,2024-07-01,20.0,2024-07-18,29.7321,sl,48.6607,17,95.5,83.88
ASC,2025-08-25,2025-08-26,20.7,2025-08-28,19.044,sl,-8.0,2,95.6,149.2
ASL,2021-01-28,2021-01-29,26.68,2021-02-01,24.5456,sl,-8.0,3,95.9,110.51
ASLPS,2025-08-20,2025-08-21,25.0,2025-09-11,26.2956,sl,5.1823,21,96.5,148.63
ATBA,2023-04-27,2023-04-28,217.98,2023-05-04,200.5416,sl,-8.0,6,95.9,31.92
ATBA,2023-08-04,2023-08-07,253.4,2023-08-29,257.6823,sl,1.6899,22,97.0,26.03
ATRL,2023-07-26,2023-07-27,227.0,2023-08-17,236.112,sl,4.0141,21,96.7,33.72
ATRL,2023-10-09,2023-10-10,265.07,2023-11-07,281.8211,sl,6.3195,28,97.1,42.58
ATRL,2023-12-05,2023-12-06,348.25,2023-12-13,324.1597,sl,-6.9175,7,95.7,41.99
BAFL,2023-08-03,2023-08-04,42.49,2023-08-10,39.3571,sl,-7.3732,6,95.7,20.2
BAPL,2024-05-16,2024-05-17,26.4,2024-06-11,30.1454,sl,14.1872,25,95.0,88.35
BAPL,2024-06-13,2024-06-14,38.37,2024-06-27,35.3004,sl,-8.0,13,98.9,156.6
BAPL,2025-05-19,2025-05-20,48.45,2025-05-22,44.574,sl,-8.0,2,95.2,74.74
BCL,2024-03-18,2024-03-19,92.7,2024-04-30,131.3134,sl,41.6542,42,97.0,112.05
BCL,2024-05-10,2024-05-13,172.7,2024-05-14,158.884,sl,-8.0,1,99.2,264.09
BECO,2021-04-27,2021-04-28,22.0,2021-04-29,20.24,sl,-8.0,1,99.0,325.59
BECO,2021-05-21,2021-05-24,22.0,2021-06-04,20.764,sl,-5.6182,11,99.1,257.56
BECO,2022-02-03,2022-02-04,24.85,2022-02-07,22.862,sl,-8.0,3,98.3,53.04
BECO,2025-07-04,2025-07-07,28.0,2025-07-09,25.76,sl,-8.0,2,98.1,225.65
BECO,2025-09-22,2025-09-23,31.7,2025-10-17,44.1387,sl,39.2388,24,97.9,219.94
BFMOD,2025-11-19,2025-11-20,30.5,2025-11-21,28.06,sl,-8.0,1,95.1,161.05
BGL,2021-04-16,2021-04-19,12.05,2021-05-04,12.5824,sl,4.4185,15,95.5,108.7
BGL,2021-05-19,2021-05-20,15.65,2021-05-21,14.398,sl,-8.0,1,97.2,153.37
BGL,2023-03-21,2023-03-22,13.67,2023-03-24,12.5764,sl,-8.0,2,97.8,61.47
BIFO,2023-11-20,2023-11-21,116.97,2023-12-14,123.7767,sl,5.8192,23,95.7,55.0
BILF,2025-04-21,2025-04-22,22.0,2025-05-08,23.816,sl,8.2545,16,98.9,212.3
BILF,2025-08-06,2025-08-07,25.12,2025-08-11,23.1104,sl,-8.0,4,98.6,336.08
BIPL,2023-06-14,2023-06-15,16.94,2023-06-21,16.0633,sl,-5.1754,6,95.1,33.49
BIPL,2023-06-27,2023-07-03,18.99,2023-07-14,17.6736,sl,-6.9322,11,98.2,49.3
BIPL,2023-10-24,2023-10-25,19.61,2023-11-15,20.6787,sl,5.4498,21,95.5,37.03
BNL,2025-04-25,2025-04-28,34.79,2025-04-29,32.0068,sl,-8.0,1,96.7,101.78
BNL,2025-05-16,2025-05-19,30.52,2025-07-11,81.5676,sl,167.2594,53,95.2,81.53
BNL,2025-07-18,2025-07-21,110.0,2025-07-22,101.2,sl,-8.0,1,99.5,613.54
BNL,2025-08-07,2025-08-08,138.44,2025-08-18,127.3648,sl,-8.0,10,99.8,607.63
BNL,2025-09-15,2025-09-16,150.0,2025-09-19,138.0,sl,-8.0,3,99.5,664.35
BNWM,2025-06-25,2025-06-26,76.0,2025-06-27,69.92,sl,-8.0,1,96.1,106.39
BNWM,2025-06-30,2025-07-01,92.9,2025-07-02,85.468,sl,-8.0,1,96.6,153.27
BNWM,2025-07-15,2025-07-16,109.1,2025-07-17,100.372,sl,-8.0,1,97.3,199.14
BOP,2025-09-17,2025-09-18,22.5,2025-10-13,30.1713,sl,34.0946,25,95.4,122.07
BOP,2025-10-14,2025-10-15,35.24,2025-10-30,35.4644,sl,0.6369,15,98.4,262.39
BOP,2025-12-24,2025-12-26,39.15,2025-12-29,38.88,time,-0.6897,3,97.3,181.89
BUXL,2022-02-04,2022-02-07,164.89,2022-02-10,151.6988,sl,-8.0,3,99.2,56.71
