symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,holding_days,rs_rating,rs_score
AATM,2025-06-18,2025-06-19,92.99,2025-06-20,89.2704,sl,-4.0,1,99.8,558.44
AATM,2025-07-01,2025-07-02,117.99,2025-07-03,113.2704,sl,-4.0,1,98.8,280.37
ACPL,2023-06-26,2023-06-27,85.02,2023-07-06,91.8216,tp,8.0,9,95.8,26.95
ACPL,2023-07-10,2023-07-11,95.97,2023-07-14,92.1312,sl,-4.0,3,97.9,44.01
ACPL,2023-08-01,2023-08-02,93.0,2023-08-08,89.28,sl,-4.0,6,95.6,25.23
ACPL,2025-03-07,2025-03-10,268.0,2025-03-11,257.28,sl,-4.0,1,96.3,87.48
ACPL,2025-04-10,2025-04-11,263.2,2025-04-15,284.256,tp,8.0,4,96.6,91.41
ACPL,2025-04-17,2025-04-18,300.01,2025-04-21,288.0096,sl,-4.0,3,97.2,112.11
ACPL,2025-05-14,2025-05-15,295.02,2025-05-16,318.6216,tp,8.0,1,95.5,78.45
ADOS,2022-10-07,2022-10-10,33.5,2022-10-13,32.16,sl,-4.0,3,99.2,48.85
AEL,2021-06-08,2021-06-23,14.0,2021-07-02,13.44,sl,-4.0,9,96.9,147.0
AEL,2021-10-28,2021-10-29,25.0,2021-11-10,24.0,sl,-4.0,12,99.2,189.97
AEL,2023-07-03,2023-07-04,22.5,2023-07-05,24.3,tp,8.0,1,97.6,47.11
AEL,2023-07-06,2023-07-07,29.43,2023-07-13,28.2528,sl,-4.0,6,100.0,88.96
AEL,2024-01-04,2024-01-05,32.0,2024-01-05,33.68,time,5.25,0,95.1,57.26
AGL,2022-08-05,2022-08-10,8.35,2022-08-18,8.016,sl,-4.0,8,97.9,62.76
AGL,2023-11-24,2023-11-27,11.71,2023-11-28,12.6468,tp,8.0,1,95.8,58.36
AGL,2023-12-07,2023-12-08,13.49,2023-12-12,14.5692,tp,8.0,4,97.4,68.02
AGL,2024-01-10,2024-01-11,15.89,2024-01-15,17.1612,tp,8.0,4,98.8,131.66
AGL,2024-03-04,2024-03-05,17.48,2024-03-06,18.8784,tp,8.0,1,97.5,142.42
AGL,2024-03-20,2024-03-21,20.19,2024-03-22,21.8052,tp,8.0,1,97.9,145.76
AGL,2024-03-25,2024-03-26,25.24,2024-03-27,24.2304,sl,-4.0,1,98.3,182.03
AGL,2024-03-29,2024-04-01,27.0,2024-04-03,25.92,sl,-4.0,2,98.4,214.77
AGL,2024-08-22,2024-08-23,26.87,2024-08-26,29.0196,tp,8.0,3,95.3,111.69
AGL,2024-09-10,2024-09-11,37.49,2024-09-12,35.9904,sl,-4.0,1,98.2,216.74
AGL,2024-10-01,2024-10-02,37.5,2024-10-15,38.51,time,2.6933,13,97.3,145.83
AGL,2024-10-21,2024-10-22,38.75,2024-10-25,37.2,sl,-4.0,3,97.4,150.76
AGL,2024-11-05,2024-11-06,37.83,2024-11-07,40.8564,tp,8.0,1,96.7,145.25
AGL,2025-01-27,2025-01-28,58.43,2025-01-29,56.0928,sl,-4.0,1,96.7,109.99
AGL,2025-02-12,2025-02-13,59.0,2025-02-14,56.64,sl,-4.0,1,96.6,135.34
AGL,2025-03-10,2025-03-11,55.31,2025-03-14,53.0976,sl,-4.0,3,96.4,91.66
AGL,2025-03-17,2025-03-18,63.76,2025-03-19,68.8608,tp,8.0,1,95.1,80.73
AIRLINK,2023-11-16,2023-11-17,53.75,2023-11-20,58.05,tp,8.0,3,98.1,70.67
AIRLINK,2024-03-11,2024-03-12,67.0,2024-03-13,64.32,sl,-4.0,1,96.4,102.35
AIRLINK,2024-04-09,2024-04-15,62.61,2024-04-16,67.6188,tp,8.0,1,96.7,81.93
AIRLINK,2024-04-19,2024-04-22,71.4,2024-04-23,77.112,tp,8.0,1,96.8,108.83
AIRLINK,2024-04-24,2024-04-25,80.5,2024-04-30,77.28,sl,-4.0,5,97.3,141.49
AIRLINK,2024-06-03,2024-06-04,80.0,2024-06-05,76.8,sl,-4.0,1,95.5,83.26
AIRLINK,2024-06-20,2024-06-21,87.98,2024-07-04,91.13,time,3.5804,13,96.7,89.77
AIRLINK,2024-07-09,2024-07-10,96.05,2024-07-11,103.734,tp,8.0,1,97.1,136.67
AIRLINK,2024-07-12,2024-07-15,106.0,2024-07-22,101.76,sl,-4.0,7,97.8,141.17
AIRLINK,2024-08-08,2024-08-09,121.1,2024-08-13,130.788,tp,8.0,4,98.1,164.35
ALAC,2025-09-16,2025-09-17,15.27,2025-09-18,16.4916,tp,8.0,1,95.9,126.78
ALAC,2025-09-23,2025-09-24,18.52,2025-09-25,17.7792,sl,-4.0,1,96.8,171.2
ANTM,2025-08-01,2025-08-04,32.67,2025-08-05,35.2836,tp,8.0,1,95.5,97.09
ANTM,2025-08-07,2025-08-08,34.51,2025-08-11,37.2708,tp,8.0,3,96.7,149.8
ANTM,2025-10-24,2025-10-27,43.0,2025-10-28,41.28,sl,-4.0,1,95.2,173.85
ARUJ,2024-06-28,2024-07-01,20.0,2024-07-02,21.6,tp,8.0,1,95.5,83.88
ARUJ,2024-07-04,2024-07-05,31.0,2024-07-08,33.48,tp,8.0,3,97.4,137.64
ARUJ,2024-07-09,2024-07-10,40.0,2024-07-11,38.4,sl,-4.0,1,98.9,211.44
ASC,2025-08-25,2025-08-26,20.7,2025-08-27,19.872,sl,-4.0,1,95.6,149.2
ASL,2021-01-28,2021-01-29,26.68,2021-02-01,25.6128,sl,-4.0,3,95.9,110.51
ASLPS,2025-08-20,2025-08-21,25.0,2025-08-22,27.0,tp,8.0,1,96.5,148.63
ASLPS,2025-09-04,2025-09-05,34.22,2025-09-08,32.8512,sl,-4.0,3,97.5,207.23
ATBA,2023-04-27,2023-04-28,217.98,2023-05-04,209.2608,sl,-4.0,6,95.9,31.92
ATBA,2023-08-04,2023-08-07,253.4,2023-08-08,273.672,tp,8.0,1,97.0,26.03
ATBA,2023-08-24,2023-08-25,276.0,2023-08-28,298.08,tp,8.0,3,97.9,36.89
ATRL,2023-07-26,2023-07-27,227.0,2023-08-01,245.16,tp,8.0,5,96.7,33.72
ATRL,2023-08-02,2023-08-03,257.0,2023-08-08,246.72,sl,-4.0,5,97.1,45.65
ATRL,2023-10-09,2023-10-10,265.07,2023-10-11,286.2756,tp,8.0,1,97.1,42.58
ATRL,2023-10-24,2023-10-25,285.8,2023-11-07,282.31,time,-1.2211,13,96.3,40.56
ATRL,2023-12-05,2023-12-06,348.25,2023-12-07,376.11,tp,8.0,1,95.7,41.99
BAFL,2023-08-03,2023-08-04,42.49,2023-08-08,40.7904,sl,-4.0,4,95.7,20.2
BAPL,2024-05-16,2024-05-17,26.4,2024-05-21,25.344,sl,-4.0,4,95.0,88.35
BAPL,2024-05-29,2024-05-30,31.5,2024-05-31,34.02,tp,8.0,1,97.7,127.22
BAPL,2024-06-03,2024-06-04,39.81,2024-06-05,38.2176,sl,-4.0,1,98.1,171.81
BAPL,2024-06-13,2024-06-14,38.37,2024-06-20,41.4396,tp,8.0,6,98.9,156.6
BAPL,2024-06-24,2024-06-25,43.0,2024-06-26,41.28,sl,-4.0,1,99.3,224.95
BAPL,2025-05-19,2025-05-20,48.45,2025-05-21,46.512,sl,-4.0,1,95.2,74.74
BCL,2024-03-18,2024-03-19,92.7,2024-03-20,100.116,tp,8.0,1,97.0,112.05
BCL,2024-03-25,2024-03-26,106.0,2024-03-27,114.48,tp,8.0,1,97.5,133.33
BCL,2024-04-18,2024-04-19,134.99,2024-04-22,145.7892,tp,8.0,3,98.4,190.62
BCL,2024-05-10,2024-05-13,172.7,2024-05-14,165.792,sl,-4.0,1,99.2,264.09
BECO,2021-04-27,2021-04-28,22.0,2021-04-29,21.12,sl,-4.0,1,99.0,325.59
BECO,2021-05-21,2021-05-24,22.0,2021-05-26,21.12,sl,-4.0,2,99.1,257.56
BECO,2022-02-03,2022-02-04,24.85,2022-02-07,23.856,sl,-4.0,3,98.3,53.04
BECO,2025-07-04,2025-07-07,28.0,2025-07-08,26.88,sl,-4.0,1,98.1,225.65
BECO,2025-09-22,2025-09-23,31.7,2025-09-24,34.236,tp,8.0,1,97.9,219.94
BFMOD,2025-11-19,2025-11-20,30.5,2025-11-21,29.28,sl,-4.0,1,95.1,161.05
BGL,2021-04-16,2021-04-19,12.05,2021-04-20,13.014,tp,8.0,1,95.5,108.7
BGL,2021-04-21,2021-04-22,13.0,2021-04-23,14.04,tp,8.0,1,97.0,109.1
BGL,2021-05-19,2021-05-20,15.65,2021-05-21,15.024,sl,-4.0,1,97.2,153.37
BGL,2023-03-21,2023-03-22,13.67,2023-03-24,13.1232,sl,-4.0,2,97.8,61.47
BIFO,2023-11-20,2023-11-21,116.97,2023-11-23,126.3276,tp,8.0,2,95.7,55.0
BIFO,2023-11-24,2023-11-27,133.0,2023-11-28,127.68,sl,-4.0,1,96.5,70.24
BIFO,2023-12-01,2023-12-04,135.02,2023-12-05,145.8216,tp,8.0,1,96.6,69.04
BILF,2025-04-21,2025-04-22,22.0,2025-04-23,23.76,tp,8.0,1,98.9,212.3
BILF,2025-08-06,2025-08-07,25.12,2025-08-08,24.1152,sl,-4.0,1,98.6,336.08
BIPL,2023-06-14,2023-06-15,16.94,2023-06-21,16.2624,sl,-4.0,6,95.1,33.49
BIPL,2023-06-27,2023-07-03,18.99,2023-07-10,18.2304,sl,-4.0,7,98.2,49.3
BIPL,2023-07-12,2023-07-13,18.54,2023-07-14,17.7984,sl,-4.0,1,96.8,39.68
BIPL,2023-10-24,2023-10-25,19.61,2023-10-26,18.8256,sl,-4.0,1,95.5,37.03
BNL,2025-04-25,2025-04-28,34.79,2025-04-29,33.3984,sl,-4.0,1,96.7,101.78
BNL,2025-05-16,2025-05-19,30.52,2025-05-20,32.9616,tp,8.0,1,95.2,81.53
BNL,2025-06-12,2025-06-13,48.53,2025-06-16,52.4124,tp,8.0,3,97.0,179.45
BNL,2025-06-17,2025-06-18,56.0,2025-06-19,60.48,tp,8.0,1,97.3,233.98
BNL,2025-06-24,2025-06-25,73.71,2025-06-26,79.6068,tp,8.0,1,98.8,288.93
BNL,2025-07-18,2025-07-21,110.0,2025-07-22,105.6,sl,-4.0,1,99.5,613.54
BNL,2025-08-07,2025-08-08,138.44,2025-08-12,149.5152,tp,8.0,4,99.8,607.63
BNL,2025-09-15,2025-09-16,150.0,2025-09-17,162.0,tp,8.0,1,99.5,664.35
BNWM,2025-06-25,2025-06-26,76.0,2025-06-27,72.96,sl,-4.0,1,96.1,106.39
BNWM,2025-06-30,2025-07-01,92.9,2025-07-02,89.184,sl,-4.0,1,96.6,153.27
BNWM,2025-07-15,2025-07-16,109.1,2025-07-17,104.736,sl,-4.0,1,97.3,199.14
BOP,2025-09-17,2025-09-18,22.5,2025-09-19,24.3,tp,8.0,1,95.4,122.07
BOP,2025-10-01,2025-10-02,30.05,2025-10-03,32.454,tp,8.0,1,97.7,227.07
BOP,2025-10-06,2025-10-07,35.12,2025-10-08,33.7152,sl,-4.0,1,98.9,282.45
BOP,2025-10-14,2025-10-15,35.24,2025-10-20,38.0592,tp,8.0,5,98.4,262.39
BOP,2025-10-22,2025-10-23,40.59,2025-10-24,38.9664,sl,-4.0,1,98.4,338.86
BOP,2025-12-24,2025-12-26,39.15,2025-12-29,38.88,time,-0.6897,3,97.3,181.89
BUXL,2022-02-04,2022-02-07,164.89,2022-02-08,158.2944,sl,-4.0,1,99.2,56.71
BUXL,2022-04-19,2022-04-20,164.5,2022-04-21,157.92,sl,-4.0,1,98.7,70.89
BWHL,2023-08-10,2023-08-11,124.76,2023-08-16,134.7408,tp,8.0,5,97.1,52.18
BWHL,2023-10-09,2023-10-10,162.5,2023-10-20,175.5,tp,8.0,10,99.6,110.97
BWHL,2023-12-13,2023-12-14,195.0,2023-12-19,187.2,sl,-4.0,5,97.0,74.36
CENI,2022-04-11,2022-04-12,25.9,2022-04-20,24.864,sl,-4.0,8,97.7,43.78
CHBL,2025-07-24,2025-07-25,12.75,2025-07-28,13.77,tp,8.0,3,96.9,151.27
CHBL,2025-07-29,2025-07-30,18.5,2025-07-31,17.76,sl,-4.0,1,97.9,247.33
CHBL,2025-08-05,2025-08-06,24.0,2025-08-07,23.04,sl,-4.0,1,99.1,340.72
CHBL,2025-08-08,2025-08-11,25.0,2025-08-12,24.0,sl,-4.0,1,99.1,393.71
CHBL,2025-09-12,2025-09-15,26.0,2025-09-16,24.96,sl,-4.0,1,98.1,246.02
CHCC,2023-07-11,2023-07-12,137.5,2023-07-13,132.0,sl,-4.0,1,95.5,27.08
CLOV,2024-03-25,2024-03-26,39.9,2024-03-27,38.304,sl,-4.0,1,96.6,89.73
CLOV,2024-04-15,2024-04-16,40.0,2024-04-17,38.4,sl,-4.0,1,96.4,83.67
CLOV,2024-04-26,2024-04-29,41.48,2024-04-30,39.8208,sl,-4.0,1,96.1,85.61
CLOV,2024-05-07,2024-05-08,45.95,2024-05-09,49.626,tp,8.0,1,96.9,109.02
CLOV,2024-05-23,2024-05-24,52.26,2024-05-27,50.1696,sl,-4.0,3,98.4,145.11
CLVL,2021-02-25,2021-03-01,17.15,2021-03-04,16.464,sl,-4.0,3,96.2,132.64
CLVL,2021-06-02,2021-06-03,27.75,2021-06-04,26.64,sl,-4.0,1,96.0,148.72
CLVL,2021-06-29,2021-06-30,24.5,2021-07-01,26.46,tp,8.0,1,96.0,144.61
CLVL,2021-07-02,2021-07-05,30.0,2021-07-06,28.8,sl,-4.0,1,96.0,157.02
CPHL,2025-01-17,2025-01-20,78.98,2025-01-21,85.2984,tp,8.0,1,96.4,103.0
CPHL,2025-01-23,2025-01-24,95.01,2025-01-27,91.2096,sl,-4.0,3,97.7,163.55
CPHL,2025-01-28,2025-01-29,94.99,2025-02-07,91.1904,sl,-4.0,9,97.7,170.8
CPHL,2025-02-19,2025-02-20,104.0,2025-02-21,99.84,sl,-4.0,1,99.1,202.93
CPHL,2025-04-14,2025-04-15,102.0,2025-04-16,97.92,sl,-4.0,1,98.3,145.91
CSAP,2024-02-29,2024-03-01,57.9,2024-03-04,62.532,tp,8.0,3,96.0,55.73
CSAP,2024-03-06,2024-03-07,68.0,2024-03-08,73.44,tp,8.0,1,95.9,74.49
CSAP,2024-03-11,2024-03-12,79.99,2024-03-13,76.7904,sl,-4.0,1,96.8,120.79
CSAP,2024-08-16,2024-08-19,93.49,2024-08-20,89.7504,sl,-4.0,1,96.2,110.75
CSAP,2024-08-22,2024-08-23,96.0,2024-08-26,92.16,sl,-4.0,3,96.4,126.32
CSAP,2024-10-02,2024-10-03,92.79,2024-10-04,89.0784,sl,-4.0,1,96.3,105.27
CSAP,2024-10-08,2024-10-09,103.0,2024-10-10,98.88,sl,-4.0,1,96.7,112.6
CSAP,2024-10-17,2024-10-18,110.49,2024-10-21,119.3292,tp,8.0,3,96.4,111.61
CSIL,2023-08-16,2023-08-17,2.18,2023-08-18,2.0928,sl,-4.0,1,95.0,25.32
CSIL,2023-08-22,2023-08-23,2.38,2023-08-24,2.2848,sl,-4.0,1,97.4,38.28
DAAG,2024-05-20,2024-05-21,41.72,2024-05-23,45.0576,tp,8.0,2,96.1,103.71
DAAG,2024-05-24,2024-05-27,54.95,2024-05-29,52.752,sl,-4.0,2,99.2,197.37
DAAG,2024-06-14,2024-06-20,147.0,2024-06-21,158.76,tp,8.0,1,100.0,661.2
