symbol,sector,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,outcome,year
AGL,CHEMICAL,2020-09-10,2020-09-17,6.08,5.72,-5.92,7,Trail EMA20,Loss,2020
ANL,TEXTILE COMPOSITE,2020-01-03,2020-01-31,14.13,13.86,-1.91,28,Trail EMA20,Loss,2020
ASL,ENGINEERING,2020-09-21,2020-10-05,15.49,14.53,-6.22,14,Hard SL,Loss,2020
ASL,ENGINEERING,2020-12-02,2021-02-03,17.04,23.61,38.56,63,Trail EMA20,Win,2020
ATRL,REFINERY,2021-02-01,2021-03-10,207.09,217.0,4.79,37,Trail EMA20,Win,2021
ATRL,REFINERY,2023-07-04,2023-08-28,198.34,238.98,20.49,55,Trail EMA20,Win,2023
ATRL,REFINERY,2023-11-15,2023-12-20,306.83,315.5,2.83,35,Trail EMA20,Win,2023
BAFL,COMMERCIAL BANKS,2012-01-23,2012-03-22,12.16,14.23,17.02,59,Trail EMA20,Win,2012
CHCC,CEMENT,2013-01-22,2013-02-18,49.86,50.11,0.5,27,Trail EMA20,Win,2013
CHCC,CEMENT,2023-07-04,2023-07-18,129.36,127.46,-1.47,14,Hard SL,Loss,2023
DCR,REAL ESTATE INVESTMENT TRUST,2022-03-31,2022-04-28,14.94,14.65,-1.94,28,Trail EMA20,Loss,2022
DGKC,CEMENT,2020-08-18,2020-08-21,111.93,105.34,-5.89,3,Hard SL,Loss,2020
EPCL,CHEMICAL,2020-12-10,2020-12-18,47.74,47.12,-1.29,8,Hard SL,Loss,2020
FFC,FERTILIZER,2022-03-31,2022-05-11,113.72,117.8,3.59,41,Trail EMA20,Win,2022
FHAM,MODARABAS,2007-07-06,2007-08-02,14.75,14.5,-1.69,27,Trail EMA20,Loss,2007
GLAXO,PHARMACEUTICALS,2020-07-07,2020-07-21,198.23,186.26,-6.04,14,Hard SL,Loss,2020
HCAR,AUTOMOBILE ASSEMBLER,2017-04-21,2017-05-26,859.77,887.68,3.25,35,Trail EMA20,Win,2017
HCAR,AUTOMOBILE ASSEMBLER,2023-11-22,2023-12-14,197.46,203.5,3.06,22,Trail EMA20,Win,2023
HUBC,POWER GENERATION & DISTRIBUTION,2023-10-20,2023-12-20,95.17,118.5,24.51,61,Trail EMA20,Win,2023
ITTEFAQ,ENGINEERING,2021-01-14,2021-02-09,18.75,18.6,-0.8,26,Trail EMA20,Loss,2021
JSBL,COMMERCIAL BANKS,2023-08-07,2023-08-09,5.69,5.31,-6.62,2,Hard SL,Loss,2023
KOHC,CEMENT,2013-01-22,2013-02-25,75.56,75.95,0.52,34,Trail EMA20,Win,2013
KOHC,CEMENT,2020-07-13,2020-07-15,152.97,149.7,-2.14,2,Hard SL,Loss,2020
KOHC,CEMENT,2020-07-29,2020-09-29,160.91,186.0,15.59,62,Trail EMA20,Win,2020
LUCK,CEMENT,2012-01-23,2012-05-14,84.65,127.56,50.69,112,Trail EMA20,Win,2012
LUCK,CEMENT,2023-10-30,2023-12-21,632.77,771.0,21.85,52,Trail EMA20,Win,2023
MLCF,CEMENT,2016-04-04,2016-04-21,97.2,93.75,-3.55,17,Hard SL,Loss,2016
MLCF,CEMENT,2023-11-13,2023-12-20,38.28,38.75,1.23,37,Trail EMA20,Win,2023
MTL,AUTOMOBILE ASSEMBLER,2017-04-21,2017-06-02,1385.07,1455.4,5.08,42,Trail EMA20,Win,2017
MUGHAL,ENGINEERING,2020-12-22,2020-12-24,73.22,71.89,-1.82,2,Hard SL,Loss,2020
NRL,REFINERY,2011-05-26,2011-06-21,350.1,368.24,5.18,26,Trail EMA20,Win,2011
NRL,REFINERY,2020-09-08,2020-09-15,212.66,202.98,-4.55,7,Hard SL,Loss,2020
NRL,REFINERY,2023-10-31,2023-12-20,256.51,312.5,21.83,50,Trail EMA20,Win,2023
PAEL,CABLE & ELECTRICAL GOODS,2020-09-01,2020-09-25,37.58,36.6,-2.61,24,Trail EMA20,Loss,2020
PIOC,CEMENT,2013-07-08,2013-07-11,31.12,30.89,-0.72,3,Hard SL,Loss,2013
PIOC,CEMENT,2020-07-13,2020-07-21,74.36,70.84,-4.73,8,Hard SL,Loss,2020
POL,OIL & GAS EXPLORATION COMPANIES,2006-02-15,2006-03-09,522.9,561.0,7.29,22,Trail EMA20,Win,2006
POL,OIL & GAS EXPLORATION COMPANIES,2011-05-26,2011-07-28,333.97,359.33,7.59,63,Trail EMA20,Win,2011
POL,OIL & GAS EXPLORATION COMPANIES,2023-02-08,2023-02-20,453.84,431.83,-4.85,12,Hard SL,Loss,2023
TGL,GLASS & CERAMICS,2022-04-11,2022-04-14,130.35,127.86,-1.91,3,Hard SL,Loss,2022
TGL,GLASS & CERAMICS,2022-04-15,2022-04-18,136.67,130.23,-4.72,3,Hard SL,Loss,2022
UBL,COMMERCIAL BANKS,2020-01-10,2020-01-13,181.96,179.1,-1.57,3,Hard SL,Loss,2020
WTL,TECHNOLOGY & COMMUNICATION,2007-07-02,2007-08-07,19.1,20.25,6.02,36,Trail EMA20,Win,2007
