symbol,signal_date,entry_date,entry_price,exit_date,exit_price,outcome,return_pct,rs_rating,rs_score,holding_days,year,rs_bucket
786,2025-06-30,2025-07-01,11.64,2025-07-02,11.1744,sl,-4.0,81.0,39.09,1,2025,80-90
AATM,2025-06-18,2025-06-19,92.99,2025-06-20,89.2704,sl,-4.0,99.8,558.44,1,2025,95-100
AATM,2025-07-01,2025-07-02,117.99,2025-07-03,113.2704,sl,-4.0,98.8,280.37,1,2025,95-100
ABL,2022-02-15,2022-02-17,85.51,2022-03-02,86.0,time,0.573,87.1,14.94,13,2022,80-90
ABL,2024-12-02,2024-12-03,151.01,2024-12-10,144.9696,sl,-4.0,81.5,15.75,7,2024,80-90
ABOT,2024-05-09,2024-05-10,638.75,2024-05-13,689.85,tp,8.0,82.2,11.84,3,2024,80-90
ABOT,2024-06-07,2024-06-10,685.0,2024-06-20,739.8,tp,8.0,84.0,14.78,10,2024,80-90
ABOT,2024-06-26,2024-06-27,715.0,2024-07-03,772.2,tp,8.0,85.1,13.05,6,2024,80-90
ABOT,2024-08-23,2024-08-26,798.44,2024-08-27,766.5024,sl,-4.0,87.1,37.12,1,2024,80-90
ABOT,2024-10-07,2024-10-08,790.0,2024-10-16,758.4,sl,-4.0,87.0,29.54,8,2024,80-90
ABOT,2024-10-18,2024-10-21,799.0,2024-10-25,862.92,tp,8.0,85.9,26.25,4,2024,80-90
ABOT,2024-11-11,2024-11-12,990.0,2024-11-19,1069.2,tp,8.0,86.9,39.88,7,2024,80-90
ABOT,2024-11-29,2024-12-02,1092.0,2024-12-12,1179.36,tp,8.0,90.5,48.13,10,2024,90-95
ABOT,2024-12-30,2024-12-31,1265.0,2025-01-08,1214.4,sl,-4.0,89.2,45.8,8,2024,80-90
ABOT,2025-01-15,2025-01-16,1307.99,2025-01-17,1255.6704,sl,-4.0,89.8,55.75,1,2025,80-90
ABOT,2025-02-19,2025-02-20,1255.0,2025-02-21,1204.8,sl,-4.0,90.8,48.31,1,2025,90-95
ACPL,2023-05-26,2023-05-29,85.0,2023-06-09,81.6,sl,-4.0,89.7,22.54,11,2023,80-90
ACPL,2023-06-26,2023-06-27,85.02,2023-07-06,91.8216,tp,8.0,95.8,26.95,9,2023,95-100
ACPL,2023-07-10,2023-07-11,95.97,2023-07-14,92.1312,sl,-4.0,97.9,44.01,3,2023,95-100
ACPL,2023-08-01,2023-08-02,93.0,2023-08-08,89.28,sl,-4.0,95.6,25.23,6,2023,95-100
ACPL,2024-10-23,2024-10-24,148.5,2024-10-25,160.38,tp,8.0,83.1,20.33,1,2024,80-90
ACPL,2024-11-08,2024-11-11,176.53,2024-11-13,169.4688,sl,-4.0,89.7,52.52,2,2024,80-90
ACPL,2024-11-14,2024-11-15,213.99,2024-11-18,205.4304,sl,-4.0,93.9,84.99,3,2024,90-95
ACPL,2024-12-09,2024-12-10,214.0,2024-12-11,231.12,tp,8.0,90.6,52.99,1,2024,90-95
ACPL,2024-12-18,2024-12-19,285.2,2024-12-20,273.792,sl,-4.0,94.6,93.74,1,2024,90-95
ACPL,2025-03-07,2025-03-10,268.0,2025-03-11,257.28,sl,-4.0,96.3,87.48,1,2025,95-100
ACPL,2025-04-03,2025-04-04,255.0,2025-04-07,244.8,sl,-4.0,94.7,74.04,3,2025,90-95
ACPL,2025-04-10,2025-04-11,263.2,2025-04-15,284.256,tp,8.0,96.6,91.41,4,2025,95-100
ACPL,2025-04-17,2025-04-18,300.01,2025-04-21,288.0096,sl,-4.0,97.2,112.11,3,2025,95-100
ACPL,2025-05-14,2025-05-15,295.02,2025-05-16,318.6216,tp,8.0,95.5,78.45,1,2025,95-100
ACPL,2025-09-25,2025-09-26,296.1,2025-10-02,319.788,tp,8.0,81.6,33.23,6,2025,80-90
ADMM,2021-08-04,2021-08-05,121.21,2021-08-06,116.3616,sl,-4.0,80.5,42.91,1,2021,80-90
ADOS,2022-10-07,2022-10-10,33.5,2022-10-13,32.16,sl,-4.0,99.2,48.85,3,2022,95-100
AEL,2021-06-08,2021-06-23,14.0,2021-07-02,13.44,sl,-4.0,96.9,147.0,9,2021,95-100
AEL,2021-07-13,2021-07-14,13.46,2021-07-15,14.5368,tp,8.0,85.3,63.65,1,2021,80-90
AEL,2021-10-28,2021-10-29,25.0,2021-11-10,24.0,sl,-4.0,99.2,189.97,12,2021,95-100
AEL,2023-07-03,2023-07-04,22.5,2023-07-05,24.3,tp,8.0,97.6,47.11,1,2023,95-100
AEL,2023-07-06,2023-07-07,29.43,2023-07-13,28.2528,sl,-4.0,100.0,88.96,6,2023,95-100
AEL,2023-12-26,2023-12-27,30.6,2023-12-28,29.376,sl,-4.0,94.3,45.63,1,2023,90-95
AEL,2024-01-01,2024-01-02,31.5,2024-01-04,30.24,sl,-4.0,93.6,49.59,2,2024,90-95
AGIC,2025-07-21,2025-07-22,55.58,2025-07-23,53.3568,sl,-4.0,88.3,60.17,1,2025,80-90
AGL,2022-08-05,2022-08-10,8.35,2022-08-18,8.016,sl,-4.0,97.9,62.76,8,2022,95-100
AGL,2023-07-26,2023-07-27,7.25,2023-07-31,6.96,sl,-4.0,93.9,22.67,4,2023,90-95
AGL,2023-08-17,2023-08-18,7.2,2023-08-21,6.912,sl,-4.0,89.4,16.11,3,2023,80-90
AGL,2023-11-16,2023-11-17,9.3,2023-11-20,8.928,sl,-4.0,87.6,18.1,3,2023,80-90
AGL,2023-11-22,2023-11-23,10.08,2023-11-24,10.8864,tp,8.0,93.1,28.19,1,2023,90-95
AGL,2023-11-27,2023-11-28,12.4,2023-11-30,11.904,sl,-4.0,96.9,72.67,2,2023,95-100
AGL,2023-12-07,2023-12-08,13.49,2023-12-12,14.5692,tp,8.0,97.4,68.02,4,2023,95-100
AGL,2024-01-10,2024-01-11,15.89,2024-01-15,17.1612,tp,8.0,98.8,131.66,4,2024,95-100
AGL,2024-03-04,2024-03-05,17.48,2024-03-06,18.8784,tp,8.0,97.5,142.42,1,2024,95-100
AGL,2024-03-20,2024-03-21,20.19,2024-03-22,21.8052,tp,8.0,97.9,145.76,1,2024,95-100
AGL,2024-03-25,2024-03-26,25.24,2024-03-27,24.2304,sl,-4.0,98.3,182.03,1,2024,95-100
AGL,2024-03-29,2024-04-01,27.0,2024-04-03,25.92,sl,-4.0,98.4,214.77,2,2024,95-100
AGL,2024-08-22,2024-08-23,26.87,2024-08-26,29.0196,tp,8.0,95.3,111.69,3,2024,95-100
AGL,2024-09-10,2024-09-11,37.49,2024-09-12,35.9904,sl,-4.0,98.2,216.74,1,2024,95-100
AGL,2024-10-01,2024-10-02,37.5,2024-10-15,38.51,time,2.6933,97.3,145.83,13,2024,95-100
AGL,2024-10-21,2024-10-22,38.75,2024-10-25,37.2,sl,-4.0,97.4,150.76,3,2024,95-100
AGL,2024-11-05,2024-11-06,37.83,2024-11-07,40.8564,tp,8.0,96.7,145.25,1,2024,95-100
AGL,2024-12-05,2024-12-06,39.7,2024-12-19,38.112,sl,-4.0,93.1,70.48,13,2024,90-95
AGL,2025-01-20,2025-01-21,44.16,2025-01-23,47.6928,tp,8.0,89.8,47.16,2,2025,80-90
AGL,2025-01-24,2025-01-27,53.0,2025-01-28,57.24,tp,8.0,94.4,80.12,1,2025,90-95
AGL,2025-02-12,2025-02-13,59.0,2025-02-14,56.64,sl,-4.0,96.6,135.34,1,2025,95-100
AGL,2025-03-10,2025-03-11,55.31,2025-03-14,53.0976,sl,-4.0,96.4,91.66,3,2025,95-100
AGL,2025-03-17,2025-03-18,63.76,2025-03-19,68.8608,tp,8.0,95.1,80.73,1,2025,95-100
AGL,2025-07-21,2025-07-22,62.74,2025-07-23,60.2304,sl,-4.0,83.7,44.35,1,2025,80-90
AGL,2025-08-06,2025-08-07,71.97,2025-08-08,77.7276,tp,8.0,88.0,46.94,1,2025,80-90
AGL,2025-08-13,2025-08-15,83.5,2025-08-18,80.16,sl,-4.0,93.5,90.37,3,2025,90-95
AGL,2025-08-22,2025-08-25,82.47,2025-08-28,79.1712,sl,-4.0,90.9,70.0,3,2025,90-95
AGP,2024-05-09,2024-05-10,94.26,2024-05-15,90.4896,sl,-4.0,81.9,11.8,5,2024,80-90
AGP,2024-08-23,2024-08-26,106.4,2024-08-27,102.144,sl,-4.0,81.5,18.05,1,2024,80-90
AGP,2024-09-19,2024-09-20,109.0,2024-10-01,104.64,sl,-4.0,88.8,31.98,11,2024,80-90
AGP,2024-10-07,2024-10-08,115.0,2024-10-21,124.2,tp,8.0,88.1,32.03,13,2024,80-90
AGP,2024-10-24,2024-10-25,127.44,2024-10-29,122.3424,sl,-4.0,85.0,29.03,4,2024,80-90
AGP,2024-11-04,2024-11-05,144.8,2024-11-11,156.384,tp,8.0,88.5,46.43,6,2024,80-90
AGP,2024-11-19,2024-11-20,167.94,2024-11-21,161.2224,sl,-4.0,91.7,64.2,1,2024,90-95
AGP,2024-12-09,2024-12-10,173.02,2024-12-13,166.0992,sl,-4.0,89.5,51.28,3,2024,80-90
AGP,2025-04-22,2025-04-23,213.2,2025-04-24,204.672,sl,-4.0,90.3,53.62,1,2025,90-95
AGTL,2022-04-12,2022-04-13,421.75,2022-04-15,455.49,tp,8.0,83.8,11.28,2,2022,80-90
AGTL,2022-08-15,2022-08-16,395.0,2022-08-30,379.2,sl,-4.0,85.9,11.81,14,2022,80-90
AGTL,2023-12-01,2023-12-04,465.0,2023-12-05,446.4,sl,-4.0,84.0,13.69,1,2023,80-90
