symbol,sector,trigger_date,entry_date,entry_price,stop_loss,target_1,target_2,drawdown_pct,base_days,base_range_pct,trigger_vol_x,regime,exit_date,exit_price,exit_type,pnl_pct,mae_pct,mfe_pct,holding_days,fwd_5,fwd_10,fwd_20,fwd_40
AGHA,ENGINEERING,2024-08-23,2024-08-26,11.31,8.3457,17.2386,20.2029,47.8,33,19.9,4.64,up,2024-10-21,12.37,Time,9.3722,-11.1406,40.1415,40,34.3943,22.8117,15.9151,9.3722
AGHA,ENGINEERING,2025-07-28,2025-07-29,10.09,7.8111,14.6478,16.9267,48.1,48,19.9,17.27,up,2025-09-23,10.2,Time,1.0902,-12.7849,7.5322,40,-9.1179,-12.0912,-11.5956,1.0902
ALTN,POWER GENERATION & DISTRIBUTION,2025-09-19,2025-09-22,14.26,11.9493,18.8814,21.1921,53.6,17,14.7,3.74,up,2025-10-28,11.9493,SL,-16.2041,-16.8303,1.122,27,-2.244,-7.3633,-3.1557,-22.7209
ASC,FOOD & PERSONAL CARE PRODUCTS,2022-09-06,2022-09-07,10.0,8.2467,13.5066,15.2599,59.9,30,17.2,5.19,down,2022-10-12,13.5066,T1,35.066,-2.5,35.1,26,6.8,5.2,14.3,29.7
ASC,FOOD & PERSONAL CARE PRODUCTS,2023-11-22,2023-11-23,9.01,7.3458,12.3384,14.0026,45.4,21,17.9,4.45,up,2023-12-08,12.3384,T1,36.9412,-5.5494,38.9567,12,-2.3307,16.7592,28.0799,18.8679
ASL,ENGINEERING,2023-10-16,2023-10-17,6.55,5.0886,9.4728,10.9342,53.6,20,18.9,3.73,up,2023-12-12,8.54,Time,30.3817,-7.3282,35.8779,40,-3.6641,-1.5267,5.1908,30.3817
ASTL,ENGINEERING,2023-08-11,2023-08-15,23.1,19.6119,30.0762,33.5643,35.8,22,12.1,3.07,up,2023-08-31,19.6119,SL,-15.1,-16.4502,5.4113,13,-6.3636,-10.0866,-14.8052,-7.7922
BECO,ENGINEERING,2025-09-09,2025-09-10,21.55,17.6616,29.3268,33.2152,39.0,30,20.0,5.64,up,2025-09-22,29.3268,T1,36.0872,-3.9443,47.6102,9,10.0232,62.3666,93.9211,200.8817
BGL,GLASS & CERAMICS,2022-12-02,2022-12-05,10.22,7.9893,14.6814,16.9121,30.3,22,19.8,8.49,down,2023-01-27,10.49,Time,2.6419,-13.3072,24.2661,40,-2.8376,17.8082,-2.8376,2.6419
BIPL,COMMERCIAL BANKS,2022-03-31,2022-04-01,12.49,10.0782,17.3136,19.7254,32.6,23,19.2,7.1,up,2022-06-02,12.08,Time,-3.2826,-8.727,8.807,40,0.7206,5.9247,5.3643,-3.2826
BIPL,COMMERCIAL BANKS,2025-06-04,2025-06-05,23.5,17.9685,34.563,40.0945,30.1,40,19.1,6.12,up,2025-06-30,34.563,T1,47.0766,-3.8723,57.9149,16,19.1064,19.3617,52.1702,43.617
BOP,COMMERCIAL BANKS,2021-08-23,2021-08-24,8.77,7.5735,11.163,12.3595,27.2,91,12.4,5.99,up,2021-10-18,8.71,Time,-0.6842,-10.2623,4.561,40,-4.1049,-5.3592,-3.9909,-0.6842
CEPB,PAPER & BOARD,2024-12-03,2024-12-04,32.3,25.7598,45.3804,51.9206,33.2,19,19.3,3.0,up,2025-01-29,29.0,Time,-10.2167,-11.1455,13.9319,40,3.808,6.5325,5.1703,-10.2167
CPHL,PHARMACEUTICALS,2024-04-26,2024-04-29,26.42,20.691,37.878,43.607,26.8,49,19.9,6.27,up,2024-06-28,28.5,Time,7.8728,-3.4822,28.1226,40,3.4822,20.6283,11.5443,7.8728
CPHL,PHARMACEUTICALS,2025-07-02,2025-07-03,92.5,75.3291,126.8418,144.0127,28.6,33,18.9,6.86,up,2025-08-28,88.57,Time,-4.2486,-12.5622,6.8108,40,-6.0757,-9.1784,-11.4703,-4.2486
CRTM,TEXTILE COMPOSITE,2021-08-23,2021-08-24,30.1,24.1461,42.0078,47.9617,39.0,61,19.8,2.85,up,2021-09-21,24.1461,SL,-19.7804,-23.588,3.8206,21,-9.6678,-10.3654,-18.9037,-28.3389
DGKC,CEMENT,2023-05-29,2023-05-30,49.97,41.3325,67.245,75.8825,45.1,53,18.6,2.54,down,2023-07-27,54.62,Time,9.3056,-1.9412,17.8707,40,7.1443,4.2025,4.3826,9.3056
EFERT,FERTILIZER,2025-06-03,2025-06-04,187.76,154.1232,255.0336,288.6704,35.0,29,18.0,2.74,up,2025-07-31,204.84,Time,9.0967,-6.2633,19.8338,40,-0.3302,-3.153,3.6163,9.0967
EFERT,FERTILIZER,2025-07-17,2025-07-18,209.0,174.9132,277.1736,311.2604,26.2,45,11.9,2.51,up,2025-09-12,215.14,Time,2.9378,-4.3541,7.6555,40,3.933,-1.9904,-0.3684,2.9378
FABL,COMMERCIAL BANKS,2025-06-03,2025-06-04,54.5,42.1839,79.1322,91.4483,25.5,50,16.1,11.97,up,2025-07-02,79.1322,T1,45.1967,-0.8807,47.7064,19,8.367,8.2936,47.1743,41.1927
FECTC,CEMENT,2025-12-15,2025-12-16,169.99,138.7683,232.4334,263.6551,26.3,18,19.4,3.55,up,2026-01-23,138.7683,SL,-18.3668,-18.9658,0.0059,28,-6.9298,-11.3007,-13.4067,-12.0125
FFL,FOOD & PERSONAL CARE PRODUCTS,2021-05-18,2021-05-19,16.14,13.6224,21.1752,23.6928,28.8,52,17.4,3.36,up,2021-07-13,21.1752,T1,31.197,-2.6642,34.2627,40,4.6468,7.4969,7.9926,32.1561
FFL,FOOD & PERSONAL CARE PRODUCTS,2023-04-20,2023-04-26,6.39,5.0094,9.1512,10.5318,48.3,30,20.0,6.35,up,2023-06-21,5.55,Time,-13.1455,-13.928,7.9812,40,3.9124,-3.4429,-5.9468,-13.1455
GATM,TEXTILE COMPOSITE,2020-08-26,2020-08-27,39.98,30.5316,58.8768,68.3252,33.5,30,19.3,4.64,up,2020-10-21,39.02,Time,-2.4012,-12.4562,6.3032,40,3.977,-0.9005,-1.1256,-2.4012
GATM,TEXTILE COMPOSITE,2020-08-27,2020-08-28,40.2,32.274,56.052,63.978,29.7,27,18.8,3.84,up,2020-10-22,38.79,Time,-3.5075,-12.9353,5.7214,40,3.2338,-1.8905,-3.0348,-3.5075
GATM,TEXTILE COMPOSITE,2023-07-26,2023-07-27,19.39,16.5924,24.9852,27.7828,54.7,23,13.8,4.51,up,2023-08-31,16.5924,SL,-14.4281,-15.1625,2.1145,24,-1.7019,-6.3435,-4.7963,-6.7561
GCIL,CHEMICAL,2024-06-06,2024-06-07,11.72,9.3555,16.449,18.8135,30.5,70,18.1,8.65,down,2024-08-06,9.3555,SL,-20.1749,-20.5631,18.5154,38,2.8157,-2.7304,8.0205,-16.8089
HUMNL,TECHNOLOGY & COMMUNICATION,2022-01-10,2022-01-11,6.99,5.9499,9.0702,10.1103,34.1,18,14.5,2.87,up,2022-03-07,6.79,Time,-2.8612,-6.5808,14.7353,40,-4.2918,-3.1474,7.2961,-2.8612
HUMNL,TECHNOLOGY & COMMUNICATION,2023-06-07,2023-06-08,5.92,5.247,7.266,7.939,37.7,91,11.1,3.06,up,2023-08-08,5.76,Time,-2.7027,-3.7162,7.7703,40,0.0,-2.5338,1.3514,-2.7027
IBLHL,PHARMACEUTICALS,2025-12-12,2025-12-15,69.57,56.7666,95.1768,107.9802,28.6,12,11.1,4.49,up,2026-01-29,56.7666,SL,-18.4036,-18.4994,5.7927,33,-5.0022,-8.2794,-8.7538,-15.4952
KAPCO,POWER GENERATION & DISTRIBUTION,2024-11-20,2024-11-21,32.51,25.3539,46.8222,53.9783,25.4,41,19.8,6.96,up,2025-01-16,36.53,Time,12.3654,-1.5687,21.5011,40,4.1218,11.1043,13.9034,12.3654
KEL,POWER GENERATION & DISTRIBUTION,2026-01-01,2026-01-02,6.51,5.346,8.838,10.002,29.9,32,13.0,5.9,up,2026-02-06,8.838,T1,35.7604,-5.6836,40.7066,25,-1.0753,-5.3763,9.3702,17.6651
LOTCHEM,CHEMICAL,2025-01-20,2025-01-21,23.48,18.8694,32.7012,37.3118,33.3,25,16.7,5.16,down,2025-02-19,18.8694,SL,-19.6363,-20.3578,0.5537,21,-6.644,-10.1363,-13.9267,-15.7581
MERIT,PAPER & BOARD,2025-09-08,2025-09-09,13.55,10.8207,19.0086,21.7379,33.4,35,19.2,3.87,up,2025-11-03,12.56,Time,-7.3063,-9.5941,8.4133,40,5.3875,-2.8044,-4.8708,-7.3063
NCPL,POWER GENERATION & DISTRIBUTION,2023-02-03,2023-02-06,16.75,13.1076,24.0348,27.6772,50.8,26,19.0,3.0,up,2023-04-03,14.49,Time,-13.4925,-19.9403,2.5672,40,-4.4776,-2.0896,-17.3731,-13.4925
OBOY,OIL & GAS MARKETING COMPANIES,2025-04-18,2025-04-21,11.23,8.8902,15.9096,18.2494,29.0,21,18.9,6.31,down,2025-05-07,8.8902,SL,-20.8353,-22.618,0.0,12,-9.9733,-12.3776,-19.0561,-22.9742
OBOY,OIL & GAS MARKETING COMPANIES,2025-12-15,2025-12-16,11.09,8.1972,16.8756,19.7684,34.5,21,19.3,5.38,up,2026-02-11,12.17,Time,9.7385,-9.7385,43.9134,40,6.1317,-4.3282,18.4851,9.7385
PRL,REFINERY,2021-12-29,2021-12-30,14.1,11.2563,19.7874,22.6311,60.8,19,14.3,3.07,down,2022-02-23,12.98,Time,-7.9433,-9.5035,12.695,40,9.5745,7.6596,1.3475,-7.9433
PRL,REFINERY,2023-04-26,2023-04-27,14.19,12.0186,18.5328,20.7042,39.0,86,16.2,6.07,up,2023-06-22,13.36,Time,-5.8492,-6.9767,7.8224,40,-1.339,-2.3256,-0.6342,-5.8492
PTC,TECHNOLOGY & COMMUNICATION,2021-03-25,2021-03-26,10.19,7.9398,14.6904,16.9406,31.9,44,18.6,13.48,up,2021-05-28,10.17,Time,-0.1963,-13.4446,6.1825,40,-11.1874,-6.4769,-10.0098,-0.1963
SSGC,OIL & GAS MARKETING COMPANIES,2025-11-28,2025-12-01,40.09,32.0364,56.1972,64.2508,34.7,23,18.0,6.04,up,2026-01-26,33.71,Time,-15.9142,-17.76,8.2315,40,-0.3991,3.2427,-14.8915,-15.9142
STPL,MISCELLANEOUS,2024-08-06,2024-08-07,6.18,5.2074,8.1252,9.0978,41.0,40,16.2,6.21,down,2024-09-27,5.2074,SL,-15.7379,-15.8576,14.8867,36,-8.7379,-9.5469,5.5016,-18.2848
STPL,MISCELLANEOUS,2025-01-02,2025-01-03,6.76,5.346,9.588,11.002,39.4,19,9.6,9.07,up,2025-02-28,5.83,Time,-13.7574,-20.1183,9.4675,40,-12.574,-13.0178,-18.6391,-13.7574
TELE,TECHNOLOGY & COMMUNICATION,2023-07-03,2023-07-04,7.65,6.1974,10.5552,12.0078,56.6,37,18.4,3.63,up,2023-08-30,6.75,Time,-11.7647,-13.5948,17.1242,40,2.3529,8.366,13.9869,-11.7647
TOMCL,FOOD & PERSONAL CARE PRODUCTS,2021-05-31,2021-06-01,33.45,26.4231,47.5038,54.5307,34.7,55,17.9,4.77,up,2021-07-29,37.98,Time,13.5426,-3.438,25.2616,40,9.5665,15.994,7.7728,13.5426
TOMCL,FOOD & PERSONAL CARE PRODUCTS,2025-08-27,2025-08-28,46.89,33.9273,72.8154,85.7781,26.0,23,19.5,5.15,up,2025-09-19,72.8154,T1,55.2898,-1.3649,58.5626,17,24.6321,16.0802,42.6957,34.9541
TPL,TECHNOLOGY & COMMUNICATION,2024-12-30,2024-12-31,6.85,5.1183,10.3134,12.0451,30.6,21,18.0,3.46,up,2025-02-07,5.1183,SL,-25.2803,-26.7153,3.6496,28,-11.9708,-16.2044,-17.2263,-19.4161
TPL,TECHNOLOGY & COMMUNICATION,2025-12-09,2025-12-10,9.79,6.7221,15.9258,18.9937,37.1,18,19.1,4.66,up,2026-02-04,9.85,Time,0.6129,-10.1124,46.7824,40,20.0204,-2.3493,7.5587,0.6129
TPLP,PROPERTY,2025-09-16,2025-09-17,11.1,9.2664,14.7672,16.6008,40.2,59,14.5,5.26,up,2025-11-11,9.76,Time,-12.0721,-12.6126,12.3423,40,3.3333,6.036,7.6577,-12.0721
TRG,TECHNOLOGY & COMMUNICATION,2025-03-19,2025-03-20,70.99,57.717,97.536,110.809,32.3,53,18.7,4.5,up,2025-05-08,57.717,SL,-18.697,-25.2148,0.3662,31,-8.2406,-13.3258,-5.7755,-10.9593
UNITY,FOOD & PERSONAL CARE PRODUCTS,2022-04-12,2022-04-13,28.74,22.7205,40.779,46.7985,53.5,34,19.8,4.82,up,2022-05-09,22.7205,SL,-20.9447,-21.364,1.2526,14,-9.325,-14.2658,-24.4607,-30.2366
UNITY,FOOD & PERSONAL CARE PRODUCTS,2024-03-19,2024-03-20,25.35,20.2356,35.5788,40.6932,27.7,20,17.6,3.64,down,2024-05-21,26.17,Time,3.2347,-9.2702,6.1144,40,-7.2584,-7.6134,-7.1006,3.2347
UNITY,FOOD & PERSONAL CARE PRODUCTS,2025-08-07,2025-08-08,31.65,23.859,47.232,55.023,38.2,32,15.6,2.83,up,2025-10-03,26.11,Time,-17.5039,-18.9573,0.2844,40,-10.9953,-7.2354,-10.5529,-17.5039
WAVES,CABLE & ELECTRICAL GOODS,2022-08-04,2022-08-05,14.0,11.2563,19.4874,22.2311,58.3,60,19.1,5.39,up,2022-09-21,11.2563,SL,-19.5979,-20.1429,4.2857,32,1.0,-8.7857,-14.0714,-17.5714
