sma_n,atr_mult,hold_max,n,win_rate,avg_ret,avg_win,avg_loss,pf,sl_exits,time_exits,avg_hold
10,0.5,20,328,25.9,5.82,33.2,-3.75,3.1,311,17,7.7
10,0.5,40,328,25.9,7.14,38.27,-3.75,3.57,324,4,8.1
10,0.5,60,328,25.9,7.15,38.29,-3.75,3.57,325,3,8.1
10,1.0,20,328,23.8,5.57,35.73,-3.85,2.9,301,27,8.8
10,1.0,40,328,23.5,6.46,40.03,-3.84,3.2,322,6,9.5
10,1.0,60,328,23.5,6.41,39.8,-3.84,3.18,324,4,9.6
10,1.5,20,328,22.9,5.4,36.75,-3.89,2.8,285,43,9.5
10,1.5,40,328,22.0,6.61,43.95,-3.89,3.18,312,16,11.6
10,1.5,60,328,22.0,6.9,45.28,-3.89,3.27,319,9,12.3
10,2.0,20,328,23.2,6.04,39.22,-3.96,2.98,269,59,10.1
10,2.0,40,328,20.4,6.59,47.44,-3.89,3.13,305,23,13.4
10,2.0,60,328,20.4,6.6,47.5,-3.89,3.13,315,13,14.5
20,0.5,20,328,23.8,5.8,36.9,-3.91,2.95,289,39,9.7
20,0.5,40,328,23.8,6.29,38.97,-3.91,3.11,318,10,11.2
20,0.5,60,328,23.8,6.14,38.33,-3.91,3.06,323,5,11.4
20,1.0,20,328,22.3,5.68,39.1,-3.88,2.88,279,49,10.0
20,1.0,40,328,21.6,6.28,43.04,-3.87,3.07,311,17,12.5
20,1.0,60,328,21.6,6.62,44.61,-3.87,3.18,317,11,13.4
20,1.5,20,328,21.6,5.87,41.26,-3.91,2.92,264,64,10.1
20,1.5,40,328,20.4,5.8,43.49,-3.88,2.88,304,24,13.5
20,1.5,60,328,20.4,5.86,43.81,-3.88,2.9,317,11,14.5
20,2.0,20,328,21.6,5.92,41.68,-3.96,2.91,259,69,10.2
20,2.0,40,328,19.2,5.48,44.95,-3.9,2.74,301,27,14.1
20,2.0,60,328,19.2,5.46,44.84,-3.9,2.73,313,15,15.5
