Ticker,Episode,Entry_Date,Exit_Date,Duration_Days,Momentum_On_Entry,Perf_30d_On_Entry,Perf_10d_On_Entry,Note
ABL,1,2020-10-23,2020-10-27,4,Recovering,-0.7,0.34,
ABL,2,2021-01-13,2021-01-22,9,Cooling Down,6.04,4.03,
ABL,3,2021-02-03,2021-02-08,5,Rolling Over,2.9,-1.03,
ABL,4,2021-11-15,2021-11-25,10,Rolling Over,14.57,-1.38,
ABL,5,2021-11-26,2021-11-30,4,Stabilising,-1.22,-0.29,
ABL,6,2021-12-03,2021-12-06,3,Stabilising,-1.58,-0.96,
ABL,7,2021-12-20,2021-12-21,1,Falling,-0.13,-1.48,
ABL,8,2021-12-22,2022-02-10,50,Heating Up,0.23,0.26,
ABL,9,2022-02-15,2022-02-17,2,Rolling Over,8.44,-1.14,
ABL,10,2022-03-11,2022-03-15,4,Recovering,-2.36,0.46,
ABL,11,2022-03-31,2022-04-01,1,Recovering,-3.31,2.11,
ABL,12,2023-07-11,2023-08-08,28,Heating Up,3.45,8.98,
ABL,13,2023-08-09,2023-08-21,12,Rolling Over,9.16,-0.2,
ABL,14,2023-08-25,2023-08-28,3,Falling,-0.91,-1.08,
ABL,15,2023-09-06,2023-09-07,1,Recovering,-0.98,0.71,
ABL,16,2023-09-08,2023-09-26,18,Stabilising,-2.29,-1.03,
ABL,17,2023-10-02,2023-10-06,4,Recovering,-0.28,1.43,
ABL,18,2023-10-11,2023-10-18,7,Rolling Over,0.66,-0.72,
ABL,19,2023-10-19,2023-12-20,62,Cooling Down,3.6,1.84,
ABL,20,2023-12-28,2023-12-29,1,Rolling Over,11.89,-2.67,
ABL,21,2024-01-01,2024-01-03,2,Rolling Over,8.88,-2.53,
ABL,22,2024-01-05,2024-01-08,3,Cooling Down,2.43,2.29,
ABL,23,2024-01-09,2024-01-15,6,Cooling Down,3.23,2.45,
ABL,24,2024-01-17,2024-02-13,27,Recovering,-0.99,0.48,
ABL,25,2024-02-14,2024-02-19,5,Cooling Down,2.48,0.0,
ABL,26,2024-02-20,2024-02-28,8,Cooling Down,3.41,0.99,
ABL,27,2024-02-29,2024-03-04,4,Cooling Down,3.37,0.32,
ABL,28,2024-03-05,2024-03-06,1,Cooling Down,3.1,0.17,
ABL,29,2024-03-08,2024-03-15,7,Cooling Down,2.64,0.75,
ABL,30,2024-03-18,2024-03-19,1,Cooling Down,1.72,1.72,
ABL,31,2024-03-27,2024-03-28,1,Stabilising,-3.14,-0.11,
ABL,32,2024-04-03,2024-07-23,111,Cooling Down,0.57,0.5,
ABL,33,2024-07-24,2024-07-25,1,Rolling Over,18.98,-4.99,
ABL,34,2024-07-29,2024-07-30,1,Rolling Over,18.4,-6.93,
ABL,35,2024-07-31,2024-08-02,2,Rolling Over,17.91,-5.15,
