Ticker,Total_S2_Episodes,Currently_In_S2,Most_Recent_Entry,User_Ref_Date,Most_Common_Label,Label_Distribution
ABL,59,Yes,2026-05-21,—,Rolling Over,"{'Rolling Over': 20, 'Cooling Down': 19, 'Recovering': 10, 'Stabilising': 4, 'Heating Up': 4, 'Falling': 2}"
AKBL,55,Yes,2026-05-22,2023-11-12,Rolling Over,"{'Rolling Over': 18, 'Cooling Down': 16, 'Heating Up': 10, 'Recovering': 7, 'Falling': 3, 'Stabilising': 1}"
BAFL,45,No,2026-04-16,—,Rolling Over,"{'Rolling Over': 16, 'Cooling Down': 14, 'Heating Up': 7, 'Recovering': 5, 'Stabilising': 2, 'Falling': 1}"
BAHL,48,No,2026-02-03,—,Cooling Down,"{'Cooling Down': 19, 'Rolling Over': 16, 'Heating Up': 7, 'Recovering': 6}"
BIPL,50,No,2026-01-14,—,Cooling Down,"{'Cooling Down': 16, 'Rolling Over': 15, 'Recovering': 12, 'Heating Up': 5, 'Stabilising': 2}"
BOK,56,No,2026-04-23,—,Cooling Down,"{'Cooling Down': 23, 'Recovering': 14, 'Heating Up': 9, 'Rolling Over': 7, 'Stabilising': 2, 'Falling': 1}"
BOP,24,Yes,2026-05-25,2023-11-23,Rolling Over,"{'Rolling Over': 8, 'Cooling Down': 7, 'Recovering': 7, 'Stabilising': 2}"
FABL,57,No,2026-05-07,—,Rolling Over,"{'Rolling Over': 20, 'Cooling Down': 16, 'Heating Up': 10, 'Stabilising': 6, 'Recovering': 5}"
HBL,39,No,2026-04-27,2023-07-25,Rolling Over,"{'Rolling Over': 17, 'Recovering': 9, 'Cooling Down': 5, 'Heating Up': 4, 'Stabilising': 4}"
HMB,58,Yes,2026-05-25,—,Rolling Over,"{'Rolling Over': 24, 'Cooling Down': 12, 'Heating Up': 11, 'Recovering': 6, 'Stabilising': 4, 'Falling': 1}"
JSBL,47,No,2025-09-05,—,Cooling Down,"{'Cooling Down': 15, 'Rolling Over': 13, 'Heating Up': 9, 'Recovering': 8, 'Stabilising': 2}"
MCB,48,Yes,2026-05-18,2023-07-12,Rolling Over,"{'Rolling Over': 20, 'Recovering': 11, 'Cooling Down': 10, 'Heating Up': 6, 'Stabilising': 1}"
MEBL,61,Yes,2026-05-25,2023-07-11,Rolling Over,"{'Rolling Over': 19, 'Cooling Down': 16, 'Heating Up': 12, 'Recovering': 11, 'Stabilising': 2, 'Falling': 1}"
NBP,39,No,2026-02-25,2023-11-21,Rolling Over,"{'Rolling Over': 16, 'Cooling Down': 12, 'Recovering': 6, 'Stabilising': 3, 'Heating Up': 2}"
SBL,48,No,2026-02-18,—,Cooling Down,"{'Cooling Down': 15, 'Rolling Over': 14, 'Recovering': 9, 'Heating Up': 6, 'Stabilising': 2, 'Falling': 2}"
SCBPL,51,No,2026-02-17,—,Cooling Down,"{'Cooling Down': 20, 'Recovering': 9, 'Rolling Over': 9, 'Heating Up': 7, 'Stabilising': 4, 'Falling': 2}"
SILK,20,Yes,2025-02-03,—,Rolling Over,"{'Rolling Over': 7, 'Cooling Down': 5, 'Recovering': 4, 'Heating Up': 3, 'Stabilising': 1}"
SNBL,67,No,2026-01-16,—,Cooling Down,"{'Cooling Down': 28, 'Rolling Over': 21, 'Heating Up': 9, 'Recovering': 9}"
UBL,47,No,2026-02-20,2023-06-26,Rolling Over,"{'Rolling Over': 20, 'Cooling Down': 15, 'Recovering': 7, 'Heating Up': 2, 'Stabilising': 2, 'Falling': 1}"
