lookback,regime,n_raw,avg_improvement,n_eligible,occurrence_rate,information_content
10,RANGING,19162,4.882949607210042,392200,0.04885772565017848,4.355269482730712
20,RANGING,12933,6.406749676240845,389898,0.03317021374821107,4.913967880920103
40,RANGING,8626,8.45205248211482,387094,0.02228399303528342,5.487848419572446
60,RANGING,6869,9.642268620857273,385380,0.01782396595568011,5.810037807573145
120,RANGING,4446,10.178173072495493,382189,0.011632987867259392,6.4256344972923705
10,TRENDING_DOWN,4181,0.8086541231645104,149903,0.02789136975243991,5.164037402539111
20,TRENDING_DOWN,2104,1.9133745835316536,149782,0.014047081758822822,6.15358574398088
40,TRENDING_DOWN,1173,3.9761092150170674,149582,0.007841852629327057,6.994589754888278
60,TRENDING_DOWN,854,5.322391559202814,149233,0.005722594868427224,7.449114809873696
120,TRENDING_DOWN,523,7.380497131931165,148274,0.003527253598068441,8.147238980085003
10,TRENDING_UP,65189,5.1242052287322455,812006,0.08028142649192248,3.638789938114822
20,TRENDING_UP,51236,5.784613187101567,799221,0.06410742460470883,3.9633647374533756
40,TRENDING_UP,38993,6.081539947707817,779815,0.050002885299718525,4.321844845137436
60,TRENDING_UP,33090,7.3932099930794575,766384,0.04317678865947097,4.533600245102224
120,TRENDING_UP,24879,7.524719123818679,747359,0.033289222448649174,4.908801016580376
10,VOLATILE,19874,3.0661326312855612,386347,0.051440803215762,4.280943020158055
20,VOLATILE,12410,4.475724411460101,382826,0.0324168159947339,4.947113794606845
40,VOLATILE,7185,8.013234270804597,375817,0.019118347493593958,5.708898361321547
60,VOLATILE,5170,9.877267512891308,369759,0.013982080219818855,6.160277172440797
120,VOLATILE,3287,9.603563887215762,360232,0.009124675209309556,6.776011077262368
