symbol,date,decile_current,decile_corrected,liquidity_pass,sc_current,sc_corrected
ECOP,2005-04-12,9.0,,0.0,0,0
ECOP,2005-04-13,9.0,,0.0,0,0
ECOP,2005-04-14,9.0,9.0,1.0,1,1
ECOP,2005-04-15,9.0,9.0,1.0,1,1
CENI,2005-04-15,7.0,,0.0,0,0
ECOP,2005-04-18,9.0,9.0,1.0,1,1
ECOP,2005-04-19,9.0,9.0,1.0,1,1
ECOP,2005-04-20,9.0,9.0,1.0,1,1
PRL,2005-04-21,8.0,,0.0,0,0
ATRL,2005-04-21,9.0,,0.0,0,0
PRL,2005-04-25,8.0,,0.0,0,0
THALL,2005-04-25,7.0,,0.0,0,0
EFUG,2005-04-26,9.0,,0.0,0,0
THALL,2005-04-27,7.0,,0.0,0,0
PAKD,2005-04-27,8.0,,0.0,0,0
MARI,2005-04-28,8.0,,0.0,0,0
JLICL,2005-04-28,4.0,,0.0,0,0
MCB,2005-04-28,8.0,7.0,1.0,0,0
PAKD,2005-04-28,9.0,,0.0,0,0
MARI,2005-04-29,9.0,,0.0,0,0
JLICL,2005-04-29,5.0,,0.0,0,0
MARI,2005-05-05,9.0,,0.0,0,0
ATLH,2005-05-06,9.0,,0.0,0,0
MARI,2005-05-06,9.0,,0.0,0,0
PRL,2005-05-06,8.0,,0.0,0,0
ATLH,2005-05-09,9.0,,0.0,0,0
MARI,2005-05-09,9.0,,0.0,0,0
PRL,2005-05-09,9.0,,0.0,0,0
ATLH,2005-05-10,9.0,,0.0,0,0
NRL,2005-05-11,9.0,,0.0,0,0
ATLH,2005-05-11,9.0,,0.0,0,0
PTC,2005-05-11,8.0,8.0,1.0,0,0
POWER,2005-05-11,8.0,,0.0,0,0
POWER,2005-05-12,9.0,,0.0,0,0
PTC,2005-05-17,9.0,9.0,1.0,1,1
HMB,2005-05-19,5.0,,0.0,0,0
CLOV,2005-05-23,9.0,,0.0,0,0
TSPL,2005-05-25,3.0,,0.0,0,0
CLOV,2005-05-31,9.0,,0.0,0,0
NRSL,2005-06-02,2.0,,0.0,0,0
AKBL,2005-06-02,2.0,2.0,1.0,0,0
SNGP,2005-06-02,7.0,9.0,1.0,0,1
ZIL,2005-06-02,9.0,,0.0,0,0
ZIL,2005-06-03,9.0,,0.0,0,0
ANL,2005-06-06,6.0,,0.0,0,0
NRSL,2005-06-07,5.0,,0.0,0,0
HICL,2005-06-07,4.0,,0.0,0,0
ANL,2005-06-07,7.0,,0.0,0,0
OTSU,2005-06-07,2.0,,0.0,0,0
NBP,2005-06-07,0.0,0.0,1.0,0,0
OGDC,2005-06-07,1.0,0.0,1.0,0,0
ZIL,2005-06-07,9.0,,0.0,0,0
RICL,2005-06-07,4.0,,0.0,0,0
BOP,2005-06-07,3.0,3.0,1.0,0,0
PPL,2005-06-07,1.0,2.0,1.0,0,0
HICL,2005-06-08,5.0,,0.0,0,0
PAKRI,2005-06-08,1.0,,0.0,0,0
OTSU,2005-06-08,1.0,,0.0,0,0
RICL,2005-06-08,5.0,,0.0,0,0
MUREB,2005-06-08,9.0,,0.0,0,0
JLICL,2005-06-09,8.0,,0.0,0,0
HICL,2005-06-09,6.0,,0.0,0,0
PAKRI,2005-06-09,3.0,,0.0,0,0
OTSU,2005-06-09,3.0,,0.0,0,0
ZIL,2005-06-09,9.0,,0.0,0,0
MUREB,2005-06-09,9.0,,0.0,0,0
CRTM,2005-06-09,8.0,,0.0,0,0
PICT,2005-06-10,8.0,,0.0,0,0
MARI,2005-06-10,9.0,,0.0,0,0
OTSU,2005-06-10,4.0,,0.0,0,0
CRTM,2005-06-10,9.0,,0.0,0,0
PICT,2005-06-13,8.0,,0.0,0,0
MARI,2005-06-13,9.0,,0.0,0,0
AGIC,2005-06-13,8.0,,0.0,0,0
ZIL,2005-06-13,9.0,,0.0,0,0
CRTM,2005-06-13,9.0,,0.0,0,0
PICT,2005-06-14,8.0,9.0,1.0,0,1
MARI,2005-06-14,9.0,,0.0,0,0
CRTM,2005-06-14,9.0,,0.0,0,0
TRIPF,2005-06-14,4.0,,0.0,0,0
ZIL,2005-06-14,9.0,,0.0,0,0
MARI,2005-06-15,9.0,,0.0,0,0
EMCO,2005-06-15,0.0,,0.0,0,0
BERG,2005-06-15,2.0,,0.0,0,0
KOHE,2005-06-15,7.0,,0.0,0,0
KOHP,2005-06-15,2.0,,0.0,0,0
ZIL,2005-06-15,9.0,,0.0,0,0
TELE,2005-06-15,3.0,3.0,1.0,0,0
PPL,2005-06-15,3.0,4.0,1.0,0,0
EFUG,2005-06-15,9.0,,0.0,0,0
MARI,2005-06-16,9.0,,0.0,0,0
EMCO,2005-06-16,0.0,,0.0,0,0
ZIL,2005-06-16,9.0,,0.0,0,0
MARI,2005-06-17,9.0,,0.0,0,0
ZIL,2005-06-17,9.0,,0.0,0,0
TELE,2005-06-17,5.0,4.0,1.0,0,0
PSO,2005-06-20,6.0,6.0,1.0,0,0
FABL,2005-06-20,8.0,9.0,1.0,0,1
MARI,2005-06-20,9.0,,0.0,0,0
APL,2005-06-20,8.0,8.0,1.0,0,0
GLPL,2005-06-20,1.0,,0.0,0,0
SSGC,2005-06-20,7.0,7.0,1.0,0,0
NBP,2005-06-20,3.0,1.0,1.0,0,0
OGDC,2005-06-20,1.0,0.0,1.0,0,0
BOP,2005-06-20,7.0,7.0,1.0,0,0
PPL,2005-06-20,5.0,4.0,1.0,0,0
KOHC,2005-06-21,5.0,,0.0,0,0
APL,2005-06-21,8.0,8.0,1.0,0,0
LUCK,2005-06-21,6.0,3.0,1.0,0,0
KOHC,2005-06-22,7.0,,0.0,0,0
LUCK,2005-06-22,7.0,5.0,1.0,0,0
GLPL,2005-06-22,3.0,,0.0,0,0
HMB,2005-06-22,1.0,,0.0,0,0
ZIL,2005-06-22,9.0,,0.0,0,0
NCL,2005-06-23,6.0,,0.0,0,0
AHCL,2005-06-24,9.0,,0.0,0,0
AHCL,2005-06-27,9.0,,0.0,0,0
ZIL,2005-06-27,9.0,,0.0,0,0
HMB,2005-06-28,2.0,,0.0,0,0
SHEL,2005-06-28,8.0,,0.0,0,0
FABL,2005-06-29,8.0,8.0,1.0,0,0
AGIC,2005-06-29,6.0,,0.0,0,0
HMB,2005-06-29,3.0,,0.0,0,0
NBP,2005-06-29,5.0,5.0,1.0,0,0
ZIL,2005-06-29,9.0,,0.0,0,0
BOP,2005-06-29,7.0,8.0,1.0,0,0
MEBL,2005-06-30,6.0,,0.0,0,0
ZIL,2005-06-30,9.0,,0.0,0,0
GWLC,2005-06-30,8.0,7.0,1.0,0,0
PICT,2005-07-01,9.0,9.0,1.0,1,1
SHEL,2005-07-01,9.0,,0.0,0,0
PICT,2005-07-04,9.0,9.0,1.0,1,1
SHEL,2005-07-04,9.0,,0.0,0,0
PICT,2005-07-05,9.0,9.0,1.0,1,1
BERG,2005-07-05,1.0,,0.0,0,0
PICT,2005-07-06,9.0,9.0,1.0,1,1
MCB,2005-07-06,9.0,9.0,1.0,1,1
KOIL,2005-07-06,4.0,,0.0,0,0
GFIL,2005-07-06,3.0,,0.0,0,0
BAHL,2005-07-06,8.0,,0.0,0,0
POL,2005-07-06,8.0,6.0,1.0,0,0
CNERGY,2005-07-07,5.0,,0.0,0,0
ATRL,2005-07-07,4.0,,0.0,0,0
NICL,2005-07-07,2.0,,0.0,0,0
PCAL,2005-07-07,4.0,,0.0,0,0
INDU,2005-07-07,2.0,,0.0,0,0
POL,2005-07-07,8.0,6.0,1.0,0,0
PAKD,2005-07-07,6.0,,0.0,0,0
NRSL,2005-07-08,9.0,,0.0,0,0
MARI,2005-07-08,9.0,,0.0,0,0
ATRL,2005-07-08,4.0,,0.0,0,0
CNERGY,2005-07-08,5.0,4.0,1.0,0,0
NICL,2005-07-08,6.0,6.0,1.0,0,0
PAKRI,2005-07-08,8.0,,0.0,0,0
APL,2005-07-08,8.0,8.0,1.0,0,0
GFIL,2005-07-08,3.0,,0.0,0,0
BAHL,2005-07-08,8.0,,0.0,0,0
AICL,2005-07-08,6.0,,0.0,0,0
NCL,2005-07-08,8.0,,0.0,0,0
BELA,2005-07-08,9.0,,0.0,0,0
PAKD,2005-07-08,7.0,,0.0,0,0
MARI,2005-07-11,9.0,,0.0,0,0
JLICL,2005-07-11,8.0,,0.0,0,0
PAKRI,2005-07-11,8.0,,0.0,0,0
ANL,2005-07-11,7.0,,0.0,0,0
AICL,2005-07-11,7.0,7.0,1.0,0,0
POL,2005-07-11,6.0,5.0,1.0,0,0
PAKD,2005-07-11,8.0,,0.0,0,0
EFUG,2005-07-11,9.0,,0.0,0,0
MSCL,2005-07-12,0.0,,0.0,0,0
ANL,2005-07-12,7.0,,0.0,0,0
ARPL,2005-07-12,3.0,,0.0,0,0
HCAR,2005-07-12,2.0,,0.0,0,0
PAKD,2005-07-12,8.0,,0.0,0,0
ENGRO,2005-07-13,6.0,,0.0,0,0
MSCL,2005-07-13,0.0,,0.0,0,0
SNBL,2005-07-13,5.0,,0.0,0,0
INDU,2005-07-13,2.0,,0.0,0,0
HCAR,2005-07-13,3.0,,0.0,0,0
ATIL,2005-07-14,1.0,,0.0,0,0
PAEL,2005-07-14,4.0,,0.0,0,0
SNBL,2005-07-14,5.0,,0.0,0,0
DFML,2005-07-14,4.0,,0.0,0,0
INDU,2005-07-14,4.0,,0.0,0,0
HCAR,2005-07-14,3.0,,0.0,0,0
BAHL,2005-07-14,8.0,,0.0,0,0
PAKD,2005-07-14,8.0,,0.0,0,0
EFUG,2005-07-14,9.0,,0.0,0,0
MLCF,2005-07-15,3.0,1.0,1.0,0,0
DFML,2005-07-15,4.0,2.0,1.0,0,0
ARPL,2005-07-15,2.0,,0.0,0,0
INDU,2005-07-15,5.0,,0.0,0,0
BAHL,2005-07-15,9.0,,0.0,0,0
FECTC,2005-07-15,6.0,,0.0,0,0
PAKD,2005-07-15,9.0,,0.0,0,0
ATIL,2005-07-18,2.0,,0.0,0,0
PICT,2005-07-18,9.0,9.0,1.0,1,1
BAFL,2005-07-18,5.0,3.0,1.0,0,0
SNBL,2005-07-18,6.0,,0.0,0,0
WAVES,2005-07-18,0.0,,0.0,0,0
RICL,2005-07-18,3.0,,0.0,0,0
KOIL,2005-07-19,7.0,,0.0,0,0
WAVES,2005-07-19,1.0,,0.0,0,0
IGIHL,2005-07-19,1.0,,0.0,0,0
PICT,2005-07-20,9.0,9.0,1.0,1,1
SILK,2005-07-20,7.0,,0.0,0,0
BAFL,2005-07-20,6.0,4.0,1.0,0,0
SBL,2005-07-20,8.0,,0.0,0,0
SNBL,2005-07-20,6.0,,0.0,0,0
KOIL,2005-07-20,9.0,,0.0,0,0
