symbol,signal_date,lookback_n,strategy_confirmed,status,close_t,trigger_price,next_date,next_open,next_low,gap_pct,gap_pct_raw,gap_vs_trigger_pct,fillable_at_close_t,note
CNERGY,2026-07-10,20,False,Stopped,9.69,9.69,2026-07-13,9.69,9.6,0.0,0.0,0.0,True,
CNERGY,2026-07-10,60,False,Stopped,9.69,9.69,2026-07-13,9.69,9.6,0.0,0.0,0.0,True,
DBCI,2026-07-10,20,True,Stopped,10.55,10.55,2026-07-13,11.6,10.3,9.95260663507108,9.95260663507108,9.95260663507108,True,
DBCI,2026-07-10,60,True,Stopped,10.55,10.55,2026-07-13,11.6,10.3,9.95260663507108,9.95260663507108,9.95260663507108,True,
EMCO,2026-07-10,20,False,Stopped,59.07,59.07,2026-07-13,57.0,55.1,-3.5043169121381417,-3.5043169121381417,-3.5043169121381417,True,
EMCO,2026-07-10,60,False,Stopped,59.07,59.07,2026-07-13,57.0,55.1,-3.5043169121381417,-3.5043169121381417,-3.5043169121381417,True,
GHNI,2026-07-10,20,True,Stopped,1168.32,1168.32,2026-07-13,1165.0,1141.0,-0.2841687208983786,-0.2841687208983786,-0.2841687208983786,True,
GHNI,2026-07-10,60,True,Stopped,1168.32,1168.32,2026-07-13,1165.0,1141.0,-0.2841687208983786,-0.2841687208983786,-0.2841687208983786,True,
LOTCHEM,2026-07-10,20,False,Stopped,31.46,31.46,2026-07-13,31.0,30.8,-1.4621741894469193,-1.4621741894469193,-1.4621741894469193,True,
LOTCHEM,2026-07-10,60,False,Stopped,31.46,31.46,2026-07-13,31.0,30.8,-1.4621741894469193,-1.4621741894469193,-1.4621741894469193,True,
LPL,2026-07-10,20,False,Stopped,22.7,22.7,2026-07-13,22.2,21.8,-2.2026431718061676,-2.2026431718061676,-2.2026431718061676,True,
OML,2026-07-10,20,False,Stopped,70.3,70.3,2026-07-13,76.99,72.0,9.516358463726881,9.516358463726881,9.516358463726881,False,
OML,2026-07-10,60,False,Stopped,70.3,70.3,2026-07-13,76.99,72.0,9.516358463726881,9.516358463726881,9.516358463726881,False,
OTSU,2026-07-10,20,False,Stopped,414.93,414.93,2026-07-13,413.0,401.0,-0.465138698093656,-0.465138698093656,-0.465138698093656,True,
OTSU,2026-07-10,60,False,Stopped,414.93,414.93,2026-07-13,413.0,401.0,-0.465138698093656,-0.465138698093656,-0.465138698093656,True,
PICT,2026-07-10,20,True,Stopped,56.13,56.13,2026-07-13,56.01,54.75,-0.2137894174238456,-0.2137894174238456,-0.2137894174238456,True,
PICT,2026-07-10,60,True,Stopped,56.13,56.13,2026-07-13,56.01,54.75,-0.2137894174238456,-0.2137894174238456,-0.2137894174238456,True,
SBL,2026-07-10,20,False,Stopped,14.78,14.78,2026-07-13,14.1,13.4,-4.60081190798376,-4.60081190798376,-4.60081190798376,True,
SBL,2026-07-10,60,False,Stopped,14.78,14.78,2026-07-13,14.1,13.4,-4.60081190798376,-4.60081190798376,-4.60081190798376,True,
SHNI,2026-07-10,20,False,Stopped,8.8,8.8,2026-07-13,9.78,8.4,11.13636363636362,11.13636363636362,11.13636363636362,True,
SHNI,2026-07-10,60,False,Stopped,8.8,8.8,2026-07-13,9.78,8.4,11.13636363636362,11.13636363636362,11.13636363636362,True,
SNBL,2026-07-10,20,False,Stopped,25.22,25.22,2026-07-13,24.61,24.61,-2.4187153053132415,-2.4187153053132415,-2.4187153053132415,True,
SNBL,2026-07-10,60,False,Stopped,25.22,25.22,2026-07-13,24.61,24.61,-2.4187153053132415,-2.4187153053132415,-2.4187153053132415,True,
TPLI,2026-07-10,20,True,Stopped,41.33,41.33,2026-07-13,41.2,41.1,-0.3145414952818666,-0.3145414952818666,-0.3145414952818666,True,
TPLI,2026-07-10,60,True,Stopped,41.33,41.33,2026-07-13,41.2,41.1,-0.3145414952818666,-0.3145414952818666,-0.3145414952818666,True,
CNERGY,2026-07-13,20,False,Stopped,10.05,10.05,2026-07-14,10.05,9.6,0.0,0.0,0.0,True,
CNERGY,2026-07-13,60,False,Stopped,10.05,10.05,2026-07-14,10.05,9.6,0.0,0.0,0.0,True,
DBCI,2026-07-13,20,True,Stopped,11.61,11.61,2026-07-14,11.5,11.5,-0.9474590869939659,-0.9474590869939659,-0.9474590869939659,True,
DBCI,2026-07-13,60,True,Stopped,11.61,11.61,2026-07-14,11.5,11.5,-0.9474590869939659,-0.9474590869939659,-0.9474590869939659,True,
GHNI,2026-07-13,20,True,Stopped,1233.72,1233.72,2026-07-14,1219.0,1115.25,-1.1931394481730073,-1.1931394481730073,-1.1931394481730073,True,
GHNI,2026-07-13,60,True,Stopped,1233.72,1233.72,2026-07-14,1219.0,1115.25,-1.1931394481730073,-1.1931394481730073,-1.1931394481730073,True,
OML,2026-07-13,20,False,Stopped,77.31,77.31,2026-07-14,79.98,72.0,3.45362824990299,3.45362824990299,3.45362824990299,True,
OML,2026-07-13,60,False,Stopped,77.31,77.31,2026-07-14,79.98,72.0,3.45362824990299,3.45362824990299,3.45362824990299,True,
OTSU,2026-07-13,20,False,Stopped,433.82,433.82,2026-07-14,430.0,398.0,-0.8805495366741951,-0.8805495366741951,-0.8805495366741951,True,
OTSU,2026-07-13,60,False,Stopped,433.82,433.82,2026-07-14,430.0,398.0,-0.8805495366741951,-0.8805495366741951,-0.8805495366741951,True,
SHNI,2026-07-13,20,False,Stopped,9.75,9.75,2026-07-14,9.48,8.75,-2.7692307692307647,-2.7692307692307647,-2.7692307692307647,True,
SHNI,2026-07-13,60,False,Stopped,9.75,9.75,2026-07-14,9.48,8.75,-2.7692307692307647,-2.7692307692307647,-2.7692307692307647,True,
TPLI,2026-07-13,20,True,Stopped,45.24,45.24,2026-07-14,47.5,45.0,4.995579133510163,4.995579133510163,4.995579133510163,True,
TPLI,2026-07-13,60,True,Stopped,45.24,45.24,2026-07-14,47.5,45.0,4.995579133510163,4.995579133510163,4.995579133510163,True,
DBCI,2026-07-14,20,True,Stopped,12.77,12.77,2026-07-15,13.93,13.8,9.083790133124511,9.083790133124511,9.083790133124511,False,
DBCI,2026-07-14,60,True,Stopped,12.77,12.77,2026-07-15,13.93,13.8,9.083790133124511,9.083790133124511,9.083790133124511,False,
GOC,2026-07-14,20,False,Stopped,162.65,162.65,2026-07-15,168.0,155.0,3.289271441746077,3.289271441746077,3.289271441746077,True,
GOC,2026-07-14,60,False,Stopped,162.65,162.65,2026-07-15,168.0,155.0,3.289271441746077,3.289271441746077,3.289271441746077,True,
GTYR,2026-07-14,20,False,Stopped,35.18,35.18,2026-07-15,36.0,34.5,2.330869812393406,2.330869812393406,2.330869812393406,True,
GTYR,2026-07-14,60,False,Stopped,35.18,35.18,2026-07-15,36.0,34.5,2.330869812393406,2.330869812393406,2.330869812393406,True,
KHYT,2026-07-14,20,False,Stopped,1793.35,1793.35,2026-07-15,1972.68,1752.0,9.999721192182239,9.999721192182239,9.999721192182239,True,
KHYT,2026-07-14,60,False,Stopped,1793.35,1793.35,2026-07-15,1972.68,1752.0,9.999721192182239,9.999721192182239,9.999721192182239,True,
OML,2026-07-14,20,False,Stopped,84.99,84.99,2026-07-15,84.99,84.99,0.0,0.0,0.0,True,
OML,2026-07-14,60,False,Stopped,84.99,84.99,2026-07-15,84.99,84.99,0.0,0.0,0.0,True,
TPLI,2026-07-14,20,True,Stopped,49.76,49.76,2026-07-15,54.74,54.73,10.008038585209011,10.008038585209011,10.008038585209011,False,
TPLI,2026-07-14,60,True,Stopped,49.76,49.76,2026-07-15,54.74,54.73,10.008038585209011,10.008038585209011,10.008038585209011,False,
CPPL,2026-07-15,20,False,Stopped,107.2,107.2,2026-07-16,109.8,107.8,2.425373134328353,2.425373134328353,2.425373134328353,False,
DBCI,2026-07-15,20,True,Stopped,14.05,14.05,2026-07-16,15.39,14.05,9.537366548042703,9.537366548042703,9.537366548042703,True,
DBCI,2026-07-15,60,True,Stopped,14.05,14.05,2026-07-16,15.39,14.05,9.537366548042703,9.537366548042703,9.537366548042703,True,
GOC,2026-07-15,20,False,Stopped,169.75,169.75,2026-07-16,169.75,165.0,0.0,0.0,0.0,True,
GOC,2026-07-15,60,False,Stopped,169.75,169.75,2026-07-16,169.75,165.0,0.0,0.0,0.0,True,
GTYR,2026-07-15,20,False,Stopped,35.57,35.57,2026-07-16,35.5,34.76,-0.19679505201012168,-0.19679505201012168,-0.19679505201012168,True,
GTYR,2026-07-15,60,False,Stopped,35.57,35.57,2026-07-16,35.5,34.76,-0.19679505201012168,-0.19679505201012168,-0.19679505201012168,True,
ISIL,2026-07-15,20,False,Stopped,1993.61,1993.61,2026-07-16,1980.0,1933.0,-0.682681166326408,-0.682681166326408,-0.682681166326408,True,
KHYT,2026-07-15,20,False,Stopped,1931.51,1931.51,2026-07-16,1955.0,1936.01,1.2161469523844044,1.2161469523844044,1.2161469523844044,False,
KHYT,2026-07-15,60,False,Stopped,1931.51,1931.51,2026-07-16,1955.0,1936.01,1.2161469523844044,1.2161469523844044,1.2161469523844044,False,
OML,2026-07-15,20,False,Stopped,91.03,91.03,2026-07-16,99.75,91.03,9.579259584752279,9.579259584752279,9.579259584752279,True,
