symbol,date,regime,confirmed,taken,net,gross,win
AABS,2024-01-01,TRENDING_UP,False,False,,,False
AABS,2024-12-12,TRENDING_UP,False,False,,,False
AABS,2025-05-05,VOLATILE,False,True,-6.472819846442042,-5.627819846442042,False
AATM,2024-06-03,TRENDING_UP,False,False,,,False
AATM,2025-01-02,TRENDING_UP,False,False,,,False
AATM,2025-06-03,TRENDING_UP,False,False,,,False
AATM,2026-04-16,VOLATILE,False,True,1.4917499999999952,2.5999999999999943,True
ABL,2020-07-28,RANGING,False,True,0.5136340579710175,1.4492753623188441,True
ABL,2021-10-12,VOLATILE,False,False,,,False
ABL,2023-07-10,TRENDING_UP,False,True,0.45867307692307085,1.3846153846153775,True
ABL,2023-10-27,TRENDING_UP,False,True,-0.845,0.0,False
ABL,2024-04-17,TRENDING_UP,False,True,6.9299537593148735,8.997886775664558,True
ABL,2024-11-28,TRENDING_UP,False,False,,,False
ABL,2025-07-04,TRENDING_UP,False,True,2.839889534883721,4.186046511627907,True
ABL,2026-01-20,TRENDING_UP,False,False,,,False
ABOT,2020-04-17,VOLATILE,False,False,,,False
ABOT,2021-06-14,TRENDING_UP,False,False,,,False
ABOT,2023-07-11,TRENDING_UP,False,True,-0.845,0.0,False
ABOT,2023-11-03,TRENDING_UP,False,False,,,False
ABOT,2024-04-08,TRENDING_UP,False,False,,,False
ABOT,2024-10-25,TRENDING_UP,False,False,,,False
ABOT,2025-08-07,TRENDING_UP,False,False,,,False
ABOT,2026-01-08,TRENDING_UP,False,False,,,False
ACIETF,2024-10-29,TRENDING_UP,False,True,2.4160783582089547,3.6874451273046525,True
ACIETF,2025-05-22,TRENDING_UP,False,True,-2.1817281985996235,-1.3367281985996233,False
ACIETF,2026-06-16,TRENDING_UP,False,True,-1.5079834254143702,-0.6629834254143702,False
ACPL,2020-03-09,VOLATILE,False,False,,,False
ACPL,2021-01-27,TRENDING_UP,False,True,-0.845,0.0,False
ACPL,2022-09-01,RANGING,False,True,0.19385045662101627,1.0730593607306074,True
ACPL,2023-04-28,RANGING,False,True,14.92175,18.4,True
ACPL,2023-12-04,TRENDING_UP,False,False,,,False
ACPL,2024-04-23,TRENDING_UP,False,False,,,False
ACPL,2024-10-16,TRENDING_UP,False,False,,,False
ACPL,2025-04-15,TRENDING_UP,False,False,,,False
ADAMS,2024-01-01,TRENDING_UP,False,False,,,False
ADAMS,2024-05-24,TRENDING_UP,False,False,,,False
ADAMS,2024-11-29,TRENDING_UP,False,True,14.88182385524372,18.35302806499261,True
ADAMS,2025-05-16,TRENDING_UP,False,False,,,False
ADAMS,2025-12-30,TRENDING_UP,False,False,,,False
ADMM,2020-10-12,VOLATILE,False,False,,,False
ADMM,2021-08-04,TRENDING_UP,False,False,,,False
ADMM,2022-08-04,RANGING,False,True,3.8586730769230773,5.384615384615385,True
ADMM,2025-06-02,TRENDING_UP,False,False,,,False
ADMM,2026-01-07,TRENDING_UP,False,False,,,False
ADMM,2026-04-21,VOLATILE,False,False,,,False
ADOS,2020-07-14,RANGING,False,False,,,False
ADOS,2021-08-27,RANGING,False,False,,,False
ADOS,2021-12-21,TRENDING_DOWN,False,False,,,False
ADOS,2022-05-13,TRENDING_DOWN,False,True,-6.584072405739068,-5.739072405739068,False
AEL,2020-01-13,TRENDING_UP,False,False,,,False
AEL,2020-07-07,RANGING,False,False,,,False
AEL,2021-09-14,RANGING,False,False,,,False
AEL,2023-06-22,TRENDING_DOWN,False,False,,,False
AEL,2023-12-12,TRENDING_UP,False,False,,,False
AGHA,2021-02-23,RANGING,False,False,,,False
AGHA,2021-06-14,TRENDING_UP,False,True,-1.9034958217270068,-1.0584958217270068,False
AGHA,2023-10-18,TRENDING_UP,False,False,,,False
AGHA,2024-08-27,RANGING,False,False,,,False
AGHA,2025-07-28,TRENDING_UP,False,False,,,False
AGIC,2020-09-16,TRENDING_UP,False,True,-0.845,0.0,False
AGIC,2021-09-24,RANGING,False,True,-2.864704433497537,-2.0197044334975374,False
AGIC,2022-04-19,RANGING,False,False,,,False
AGIC,2022-10-03,TRENDING_DOWN,False,True,-0.845,0.0,False
AGIC,2023-03-16,RANGING,False,False,,,False
AGIC,2023-11-16,TRENDING_UP,False,True,-0.845,0.0,False
AGIC,2024-08-28,RANGING,False,True,11.031880412102234,13.823682837767336,True
AGIC,2024-12-09,TRENDING_UP,False,False,,,False
AGIC,2025-07-08,TRENDING_UP,False,False,,,False
AGIL,2020-07-16,RANGING,False,False,,,False
AGIL,2021-06-04,TRENDING_UP,False,False,,,False
AGIL,2023-07-11,TRENDING_UP,False,False,,,False
AGIL,2023-10-30,TRENDING_UP,False,True,-4.156258278145695,-3.3112582781456954,False
AGIL,2024-11-07,TRENDING_UP,False,False,,,False
AGIL,2025-06-03,TRENDING_UP,False,False,,,False
AGIL,2025-12-12,TRENDING_UP,False,False,,,False
AGL,2020-05-14,VOLATILE,False,False,,,False
AGL,2021-05-31,TRENDING_UP,False,False,,,False
AGL,2022-02-28,TRENDING_DOWN,False,False,,,False
AGL,2022-08-02,TRENDING_DOWN,False,True,-1.4653473945409519,-0.6203473945409518,False
AGL,2023-07-25,TRENDING_UP,False,False,,,False
AGL,2024-08-23,TRENDING_UP,False,False,,,False
AGL,2025-01-20,TRENDING_UP,False,False,,,False
AGL,2025-08-06,TRENDING_UP,False,False,,,False
AGL,2026-01-26,TRENDING_UP,False,False,,,False
AGL,2026-06-19,TRENDING_UP,False,False,,,False
AGLNCPS,2025-09-11,TRENDING_UP,False,False,,,False
AGP,2020-01-10,TRENDING_UP,False,True,-1.782998311603039,-0.9379983116030391,False
AGP,2020-06-08,RANGING,False,False,,,False
AGP,2021-01-25,TRENDING_UP,False,False,,,False
AGP,2021-07-01,RANGING,False,False,,,False
AGP,2023-07-03,RANGING,False,True,6.5170340226531565,8.512098850180184,True
AGP,2023-11-15,TRENDING_UP,False,False,,,False
AGP,2025-04-22,TRENDING_UP,False,False,,,False
AGP,2025-08-06,TRENDING_UP,False,False,,,False
AGP,2026-01-01,TRENDING_UP,False,True,3.10333069096072,4.4959772834831995,True
AGP,2026-07-02,TRENDING_UP,False,False,,,False
AGSML,2024-01-01,TRENDING_UP,False,False,,,False
AGSML,2024-09-05,TRENDING_UP,False,True,-6.497173913043485,-5.652173913043486,False
AGSML,2025-06-05,TRENDING_UP,False,False,,,False
AGSML,2025-12-16,TRENDING_UP,False,False,,,False
AGSML,2026-05-08,TRENDING_UP,False,False,,,False
AGTL,2020-05-14,VOLATILE,False,False,,,False
AGTL,2021-05-26,TRENDING_UP,False,True,-1.0994987146529587,-0.25449871465295865,False
AGTL,2022-02-22,RANGING,False,False,,,False
AGTL,2023-07-31,TRENDING_UP,False,True,9.72087888254194,12.281328097108167,True
AGTL,2024-04-26,TRENDING_UP,False,False,,,False
AGTL,2024-10-01,TRENDING_UP,False,True,6.527428406242735,8.524327536756159,True
AGTL,2025-10-20,TRENDING_UP,False,False,,,False
AHCL,2020-06-02,RANGING,False,False,,,False
AHCL,2022-04-08,RANGING,False,True,-2.8763705322705047,-2.0313705322705045,False
AHCL,2023-10-27,TRENDING_UP,False,True,0.10314286904364965,0.9663445518160584,True
AHCL,2024-05-17,TRENDING_UP,False,False,,,False
AHCL,2024-10-23,TRENDING_UP,False,False,,,False
AHCL,2025-02-18,RANGING,False,False,,,False
