symbol,date,regime,confirmed,taken,net,gross,win
AABS,2024-05-08,TRENDING_UP,False,True,-1.009728198472522,-0.16472819847252185,False
AABS,2025-10-21,TRENDING_UP,False,False,,,False
AABS,2026-02-27,VOLATILE,False,True,-3.5477027027027024,-2.7027027027027026,False
AATM,2025-05-21,TRENDING_UP,False,False,,,False
AATM,2025-05-19,TRENDING_UP,False,False,,,False
AATM,2026-01-19,TRENDING_UP,False,False,,,False
AATM,2025-01-29,VOLATILE,False,False,,,False
ABL,2023-02-23,RANGING,False,True,-0.8601492198151872,-0.015149219815187269,False
ABL,2020-10-19,VOLATILE,False,False,,,False
ABL,2020-10-27,TRENDING_UP,False,True,-2.0330955181743384,-1.1880955181743384,False
ABL,2024-09-04,TRENDING_UP,False,False,,,False
ABL,2026-06-15,TRENDING_UP,False,False,,,False
ABL,2025-06-10,TRENDING_UP,False,False,,,False
ABL,2025-07-09,TRENDING_UP,False,False,,,False
ABL,2025-05-20,TRENDING_UP,False,False,,,False
ABOT,2025-11-21,VOLATILE,False,True,-2.2359006499535763,-1.3909006499535765,False
ABOT,2024-07-12,TRENDING_UP,False,True,-1.367226467965867,-0.5222264679658671,False
ABOT,2020-12-24,TRENDING_UP,False,True,-0.845,0.0,False
ABOT,2025-09-24,TRENDING_UP,False,True,0.6153585879438481,1.568951279933939,True
ABOT,2024-04-18,TRENDING_UP,False,True,-0.8524074074074006,-0.00740740740740067,False
ABOT,2024-06-27,TRENDING_UP,False,False,,,False
ABOT,2023-12-01,TRENDING_UP,False,False,,,False
ABOT,2021-03-25,TRENDING_UP,False,True,-1.5346551724137931,-0.6896551724137931,False
ACIETF,2026-05-25,TRENDING_UP,False,False,,,False
ACIETF,2025-12-08,TRENDING_UP,False,True,1.5978262942779289,2.7247956403269753,True
ACIETF,2025-09-03,TRENDING_UP,False,False,,,False
ACPL,2021-12-15,VOLATILE,False,True,-1.2126470588235294,-0.3676470588235294,False
ACPL,2025-09-11,TRENDING_UP,False,False,,,False
ACPL,2022-08-24,RANGING,False,False,,,False
ACPL,2022-02-23,RANGING,False,True,-2.0385815350565215,-1.1935815350565213,False
ACPL,2024-04-22,TRENDING_UP,False,True,3.479065848785992,4.938018645630579,True
ACPL,2021-08-05,TRENDING_UP,False,True,-4.465263839527734,-3.620263839527734,False
ACPL,2020-11-10,TRENDING_UP,False,True,-0.508253384647097,0.33674661535290296,False
ACPL,2024-09-20,TRENDING_UP,False,True,-1.9288682521309073,-1.0838682521309073,False
ADAMS,2026-01-23,TRENDING_UP,False,True,3.462077868852459,4.918032786885246,True
ADAMS,2024-04-04,TRENDING_UP,False,True,2.7749006849315068,4.10958904109589,True
ADAMS,2026-01-07,TRENDING_UP,False,False,,,False
ADAMS,2025-12-18,TRENDING_UP,False,False,,,False
ADAMS,2024-10-07,TRENDING_UP,False,False,,,False
ADMM,2025-04-30,VOLATILE,False,True,1.5649946808510593,2.686170212765952,True
ADMM,2021-06-02,TRENDING_UP,False,True,-1.6201937984496124,-0.7751937984496124,False
ADMM,2023-05-23,RANGING,False,True,2.3862058071585106,3.6523009495982475,True
ADMM,2025-04-15,TRENDING_UP,False,True,-1.2152789434707445,-0.37027894347074447,False
ADMM,2023-12-15,TRENDING_UP,False,True,-1.6992348237004835,-0.8542348237004834,False
ADMM,2020-05-18,VOLATILE,False,False,,,False
ADOS,2022-11-15,RANGING,False,True,5.114508620689651,6.862068965517236,True
ADOS,2021-09-01,RANGING,False,False,,,False
ADOS,2022-09-29,TRENDING_DOWN,False,True,-0.845,0.0,False
ADOS,2022-07-04,TRENDING_DOWN,False,True,5.125499999999994,6.874999999999994,True
AEL,2023-10-13,TRENDING_UP,False,True,-0.845,0.0,False
AEL,2023-02-24,RANGING,False,True,-0.845,0.0,False
AEL,2020-06-30,RANGING,False,True,-1.1001020408163211,-0.2551020408163211,False
AEL,2021-12-17,TRENDING_DOWN,False,False,,,False
AEL,2021-01-28,TRENDING_UP,False,False,,,False
AGHA,2022-09-09,RANGING,False,True,1.302886063408187,2.3778071334213964,True
AGHA,2020-12-30,TRENDING_UP,False,False,,,False
AGHA,2024-10-30,TRENDING_UP,False,True,2.3273526058632013,3.583061889250825,True
AGHA,2021-08-25,RANGING,False,False,,,False
AGHA,2025-07-11,TRENDING_UP,False,False,,,False
AGIC,2025-04-10,TRENDING_UP,False,False,,,False
AGIC,2024-08-13,RANGING,False,False,,,False
AGIC,2023-04-18,RANGING,False,True,-0.5809735973597416,0.2640264026402584,False
AGIC,2022-05-16,TRENDING_DOWN,False,False,,,False
AGIC,2025-03-04,RANGING,False,False,,,False
AGIC,2024-04-19,TRENDING_UP,False,False,,,False
AGIC,2021-10-08,RANGING,False,True,-3.896881993896243,-3.051881993896243,False
AGIC,2026-01-02,TRENDING_UP,False,True,1.7517579978672435,2.905891762196757,True
AGIC,2024-03-07,TRENDING_UP,False,False,,,False
AGIL,2020-06-23,RANGING,False,False,,,False
AGIL,2024-06-20,TRENDING_UP,False,False,,,False
AGIL,2025-08-20,TRENDING_UP,False,False,,,False
AGIL,2021-05-18,TRENDING_UP,False,True,2.3051628770823975,3.5569563259792916,True
AGIL,2024-05-30,TRENDING_UP,False,False,,,False
AGIL,2020-12-29,TRENDING_UP,False,False,,,False
AGIL,2025-03-27,TRENDING_UP,False,True,-1.6854067568703253,-0.8404067568703253,False
AGL,2023-02-13,VOLATILE,False,True,-2.844999999999997,-1.999999999999997,False
AGL,2023-10-18,TRENDING_UP,False,False,,,False
AGL,2022-03-11,TRENDING_DOWN,False,False,,,False
AGL,2022-07-21,TRENDING_DOWN,False,True,-0.845,0.0,False
AGL,2025-02-25,TRENDING_UP,False,True,-3.5129841897233227,-2.667984189723323,False
AGL,2026-01-30,TRENDING_UP,False,False,,,False
AGL,2024-04-17,TRENDING_UP,False,False,,,False
AGL,2021-01-21,TRENDING_UP,False,True,-1.6418127490039671,-0.7968127490039673,False
AGL,2025-09-18,TRENDING_UP,False,False,,,False
AGL,2024-12-06,TRENDING_UP,False,False,,,False
AGLNCPS,2025-12-29,TRENDING_UP,False,True,-0.845,0.0,False
AGP,2020-11-11,TRENDING_UP,False,True,-2.723504672897201,-1.878504672897201,False
AGP,2021-09-27,RANGING,False,False,,,False
AGP,2025-07-14,TRENDING_UP,False,True,-1.617874594864129,-0.7728745948641292,False
AGP,2023-08-22,RANGING,False,True,-1.344814883376533,-0.49981488337653296,False
AGP,2022-02-23,RANGING,False,True,-3.9380259908267616,-3.0930259908267614,False
AGP,2025-08-19,TRENDING_UP,False,False,,,False
AGP,2025-09-23,TRENDING_UP,False,True,-2.3349999999999946,-1.4899999999999949,False
AGP,2023-12-18,TRENDING_UP,False,True,-6.836792065663468,-5.991792065663469,False
AGP,2025-12-15,TRENDING_UP,False,False,,,False
AGP,2023-08-08,TRENDING_UP,False,True,-0.2951718213058414,0.5498281786941586,False
AGSML,2024-09-11,TRENDING_UP,False,False,,,False
AGSML,2025-08-21,TRENDING_UP,False,False,,,False
AGSML,2025-07-25,TRENDING_UP,False,True,0.7224279661016985,1.6949152542372923,True
AGSML,2024-05-24,TRENDING_UP,False,True,-5.746960784313722,-4.901960784313722,False
AGSML,2025-12-17,TRENDING_UP,False,False,,,False
AGTL,2020-10-20,VOLATILE,False,False,,,False
AGTL,2025-08-25,TRENDING_UP,False,True,-1.0925247524752475,-0.24752475247524752,False
AGTL,2020-02-03,RANGING,False,False,,,False
AGTL,2025-08-18,TRENDING_UP,False,False,,,False
AGTL,2025-08-06,TRENDING_UP,False,False,,,False
AGTL,2025-07-31,TRENDING_UP,False,False,,,False
AGTL,2025-02-27,TRENDING_UP,False,False,,,False
AHCL,2022-03-28,RANGING,False,True,-1.9829406050513563,-1.1379406050513563,False
AHCL,2023-03-03,RANGING,False,True,-3.7349937849596015,-2.8899937849596014,False
AHCL,2023-07-31,TRENDING_UP,False,True,1.3670667337971494,2.4533138044672347,True
AHCL,2025-07-30,TRENDING_UP,False,False,,,False
AHCL,2024-09-30,TRENDING_UP,False,False,,,False
AHCL,2022-02-17,RANGING,False,False,,,False
AHCL,2024-07-05,TRENDING_UP,False,False,,,False
AHCL,2024-10-10,TRENDING_UP,False,False,,,False
AHL,2024-03-07,TRENDING_UP,False,False,,,False
AHL,2024-05-15,TRENDING_UP,False,True,2.806726437323285,4.147031102733276,True
AHL,2024-09-05,TRENDING_UP,False,True,-1.35433786078098,-0.5093378607809799,False
AHTM,2023-12-13,TRENDING_UP,False,False,,,False
AHTM,2025-08-27,TRENDING_UP,False,True,-0.15607578166402225,0.6889242183359777,False
AHTM,2026-03-12,VOLATILE,False,False,,,False
AICL,2022-11-28,RANGING,False,False,,,False
AICL,2024-05-08,TRENDING_UP,False,False,,,False
AICL,2023-09-14,RANGING,False,True,-3.0483898305084693,-2.2033898305084696,False
AICL,2022-09-12,RANGING,False,False,,,False
AICL,2020-03-24,VOLATILE,False,True,-7.326481481481481,-6.481481481481481,False
AICL,2025-07-07,TRENDING_UP,False,False,,,False
AICL,2024-10-03,TRENDING_UP,False,False,,,False
AICL,2024-12-02,TRENDING_UP,False,False,,,False
AICL,2024-09-25,TRENDING_UP,False,False,,,False
AIRLINK,2025-02-27,TRENDING_UP,False,False,,,False
AIRLINK,2023-08-25,TRENDING_UP,False,True,0.46529430379747505,1.392405063291147,True
AIRLINK,2025-03-06,TRENDING_UP,False,False,,,False
AIRLINK,2025-10-01,TRENDING_UP,False,False,,,False
AIRLINK,2024-01-15,VOLATILE,False,True,-2.181898395721925,-1.3368983957219251,False
AIRLINK,2025-04-17,TRENDING_UP,False,False,,,False
AKBL,2020-07-29,TRENDING_UP,False,False,,,False
AKBL,2021-11-04,RANGING,False,True,-0.4504362121876375,0.39456378781236245,False
AKBL,2024-04-03,TRENDING_UP,False,False,,,False
AKBL,2025-04-09,RANGING,False,True,-2.4198031496063033,-1.574803149606303,False
AKBL,2021-06-14,TRENDING_UP,False,True,-0.48251699139103627,0.3624830086089637,False
AKBL,2023-07-24,TRENDING_UP,False,True,4.189886482939637,5.774278215223102,True
AKBL,2024-03-07,TRENDING_UP,False,False,,,False
AKBL,2026-07-03,TRENDING_UP,False,False,,,False
AKBL,2025-10-01,TRENDING_UP,False,True,2.161749999999996,3.388235294117642,True
AKDHL,2020-06-05,RANGING,False,True,12.86091621074515,15.975489659700179,True
AKDHL,2022-03-17,TRENDING_DOWN,False,True,-3.0156533380935526,-2.1706533380935524,False
AKDHL,2023-06-20,RANGING,False,True,-5.972679212388472,-5.127679212388473,False
AKDHL,2020-06-18,RANGING,False,False,,,False
AKDHL,2025-10-22,TRENDING_UP,False,True,0.015234927992545898,0.8629234446971128,True
AKDHL,2023-11-02,TRENDING_UP,False,True,2.593246746203901,3.8958785249457657,True
AKDHL,2026-01-16,TRENDING_UP,False,False,,,False
AKDSL,2024-11-07,TRENDING_UP,False,True,-1.6220472205618588,-0.7770472205618589,False
AKDSL,2025-02-28,TRENDING_UP,False,True,-2.978454380390388,-2.1334543803903876,False
AKDSL,2025-08-19,TRENDING_UP,False,False,,,False
AKDSL,2024-07-03,TRENDING_UP,False,False,,,False
AKGL,2025-08-01,TRENDING_UP,False,True,-0.845,0.0,False
