Date,Long_Count,Short_Count
2020-01-01,0,0
2020-01-02,190,32
2020-01-03,138,55
2020-01-06,52,132
2020-01-07,71,139
2020-01-08,45,161
2020-01-09,83,121
2020-01-10,94,87
2020-01-13,95,78
2020-01-14,110,83
2020-01-15,102,83
2020-01-16,103,81
2020-01-17,107,80
2020-01-20,94,97
2020-01-21,87,97
2020-01-22,83,101
2020-01-23,86,108
2020-01-24,89,95
2020-01-27,86,94
2020-01-28,80,99
2020-01-29,65,100
2020-01-30,71,94
2020-01-31,63,91
2020-02-03,38,116
2020-02-04,49,108
2020-02-06,39,113
2020-02-07,33,128
2020-02-10,26,137
2020-02-11,24,133
2020-02-12,43,133
2020-02-13,38,127
2020-02-14,38,123
2020-02-17,25,126
2020-02-18,24,137
2020-02-19,25,122
2020-02-20,28,129
2020-02-21,31,122
2020-02-24,16,146
2020-02-25,20,143
2020-02-26,15,152
2020-02-27,19,162
2020-02-28,21,154
2020-03-02,27,129
2020-03-03,25,122
2020-03-04,22,121
2020-03-05,30,113
2020-03-06,26,127
2020-03-09,23,139
2020-03-10,28,128
2020-03-11,29,126
2020-03-12,18,143
2020-03-13,18,150
2020-03-16,5,168
2020-03-17,10,181
2020-03-18,4,181
2020-03-19,3,187
2020-03-20,6,193
2020-03-24,3,174
2020-03-25,2,184
2020-03-26,6,197
2020-03-27,5,179
2020-03-30,3,201
2020-03-31,2,199
2020-04-01,5,192
2020-04-02,6,144
2020-04-03,4,100
2020-04-06,6,154
2020-04-07,4,140
2020-04-08,5,139
2020-04-09,5,107
2020-04-10,6,91
2020-04-13,8,156
2020-04-14,8,126
2020-04-15,8,129
2020-04-16,10,118
2020-04-17,9,39
2020-04-20,8,52
2020-04-21,9,81
2020-04-22,13,76
2020-04-23,11,69
2020-04-24,12,84
2020-04-27,14,99
2020-04-28,17,88
2020-04-29,20,79
2020-04-30,18,67
2020-05-04,18,60
2020-05-05,20,58
2020-05-06,20,64
2020-05-07,19,71
2020-05-08,19,66
2020-05-11,19,70
2020-05-12,27,66
2020-05-13,25,66
2020-05-14,27,63
2020-05-15,29,50
2020-05-18,23,57
2020-05-19,27,54
2020-05-20,22,58
2020-05-21,23,68
2020-05-28,29,57
2020-05-29,31,53
2020-06-01,26,58
2020-06-02,29,61
2020-06-03,21,59
2020-06-04,23,64
2020-06-05,26,52
2020-06-08,38,54
2020-06-09,32,49
2020-06-10,33,42
2020-06-11,38,41
2020-06-12,27,56
2020-06-15,26,72
2020-06-16,41,64
2020-06-17,38,73
2020-06-18,37,73
2020-06-19,28,75
2020-06-22,31,75
2020-06-23,33,77
2020-06-24,38,73
2020-06-25,30,86
2020-06-26,35,69
2020-06-29,43,66
2020-06-30,40,59
2020-07-01,50,49
2020-07-02,56,52
2020-07-03,58,45
2020-07-06,61,38
2020-07-07,64,29
2020-07-08,68,19
2020-07-09,69,15
2020-07-10,69,21
2020-07-13,70,25
2020-07-14,70,20
2020-07-15,71,16
2020-07-16,77,16
2020-07-17,81,17
2020-07-20,86,16
2020-07-21,84,24
2020-07-22,88,24
2020-07-23,88,23
2020-07-24,83,14
2020-07-27,96,20
2020-07-28,99,20
2020-07-29,108,21
2020-07-30,109,14
2020-08-03,115,15
2020-08-04,106,17
2020-08-05,101,14
2020-08-06,103,15
2020-08-07,111,12
2020-08-10,104,16
2020-08-11,114,16
2020-08-12,106,15
2020-08-13,97,15
2020-08-17,98,13
2020-08-18,107,17
2020-08-19,107,15
2020-08-20,99,16
2020-08-21,94,16
2020-08-24,114,15
2020-08-25,129,15
2020-08-26,127,19
2020-08-27,136,13
2020-08-28,130,9
2020-08-31,133,13
2020-09-01,143,11
2020-09-02,156,7
2020-09-03,163,8
2020-09-04,160,5
2020-09-07,174,5
2020-09-08,163,8
2020-09-09,161,7
2020-09-10,172,7
2020-09-11,165,9
2020-09-14,160,6
2020-09-15,157,12
2020-09-16,143,10
2020-09-17,149,9
2020-09-18,141,7
2020-09-21,125,9
2020-09-22,110,13
2020-09-23,108,14
2020-09-24,101,15
2020-09-25,96,19
2020-09-28,45,19
2020-09-29,61,21
2020-09-30,45,23
2020-10-01,37,23
2020-10-02,23,22
2020-10-05,18,31
2020-10-06,23,30
2020-10-07,56,30
2020-10-08,55,24
2020-10-09,71,25
2020-10-12,36,27
2020-10-13,47,32
2020-10-14,58,34
2020-10-15,65,35
2020-10-16,62,32
2020-10-19,67,25
2020-10-20,96,31
2020-10-21,114,21
2020-10-22,105,28
2020-10-23,107,29
2020-10-26,130,24
2020-10-27,109,23
2020-10-28,102,34
2020-10-29,60,39
2020-11-02,47,40
2020-11-03,81,39
2020-11-04,73,39
2020-11-05,97,35
2020-11-06,88,32
2020-11-09,89,31
2020-11-10,89,29
2020-11-11,77,31
2020-11-12,55,43
2020-11-13,57,39
2020-11-16,54,40
2020-11-17,57,39
2020-11-18,53,37
2020-11-19,51,34
2020-11-20,46,40
2020-11-23,34,44
2020-11-24,38,48
2020-11-25,42,47
2020-11-26,68,40
2020-11-27,70,44
2020-11-30,68,37
2020-12-01,89,30
2020-12-02,94,33
2020-12-03,91,23
2020-12-04,99,24
2020-12-07,97,27
2020-12-08,101,30
2020-12-09,109,33
2020-12-10,111,35
2020-12-11,119,25
2020-12-14,125,16
2020-12-15,127,15
2020-12-16,121,17
2020-12-17,134,13
2020-12-18,131,15
2020-12-21,131,22
2020-12-22,114,29
2020-12-23,120,19
2020-12-24,131,18
2020-12-28,137,20
2020-12-29,130,28
2020-12-30,143,21
2020-12-31,153,19
2021-01-01,153,16
2021-01-04,137,16
2021-01-05,144,10
2021-01-06,150,11
2021-01-07,140,11
2021-01-08,148,13
2021-01-11,144,14
2021-01-12,163,9
2021-01-13,174,13
2021-01-14,168,14
2021-01-15,154,13
2021-01-18,143,12
2021-01-19,146,10
2021-01-20,135,10
2021-01-21,144,12
2021-01-22,121,14
2021-01-25,145,14
2021-01-26,149,10
2021-01-27,144,14
2021-01-28,135,15
2021-01-29,141,21
2021-02-01,144,14
2021-02-02,144,16
2021-02-03,151,14
2021-02-04,146,17
2021-02-08,131,14
2021-02-09,116,16
2021-02-10,114,15
2021-02-11,102,18
2021-02-12,90,20
2021-02-15,97,19
2021-02-16,102,24
2021-02-17,107,23
2021-02-18,100,27
2021-02-19,108,22
2021-02-22,111,27
2021-02-23,96,27
2021-02-24,73,30
2021-02-25,87,31
2021-02-26,79,33
2021-03-01,64,36
2021-03-02,86,31
2021-03-03,85,32
2021-03-04,51,32
2021-03-05,68,37
2021-03-08,40,42
2021-03-09,31,46
2021-03-10,19,44
2021-03-11,14,53
2021-03-12,16,52
2021-03-15,51,49
2021-03-16,53,54
2021-03-17,63,45
2021-03-18,41,44
2021-03-19,54,42
2021-03-22,51,39
2021-03-24,50,43
2021-03-25,52,43
2021-03-26,44,44
2021-03-29,27,58
2021-03-30,31,57
2021-03-31,34,58
2021-04-01,32,64
2021-04-02,28,61
2021-04-05,16,73
2021-04-06,30,74
2021-04-07,31,74
2021-04-08,45,65
2021-04-09,48,62
2021-04-12,43,60
2021-04-13,46,61
2021-04-14,48,54
2021-04-15,44,58
2021-04-16,48,61
2021-04-19,38,65
2021-04-20,47,56
2021-04-21,47,59
2021-04-22,34,70
2021-04-23,30,62
2021-04-26,43,60
2021-04-27,46,67
2021-04-28,48,73
2021-04-29,35,68
2021-04-30,28,71
2021-05-03,27,77
2021-05-04,32,70
2021-05-05,36,76
2021-05-06,39,70
2021-05-17,61,53
2021-05-18,55,52
2021-05-19,49,48
2021-05-20,53,44
2021-05-21,68,35
2021-05-24,72,30
2021-05-25,70,31
2021-05-26,82,25
2021-05-27,83,24
2021-05-28,91,24
2021-05-31,110,20
2021-06-01,119,13
2021-06-02,119,16
2021-06-03,126,17
2021-06-04,137,9
2021-06-07,145,11
2021-06-08,141,12
2021-06-09,132,14
2021-06-10,139,14
2021-06-11,145,14
2021-06-14,149,12
2021-06-15,141,16
2021-06-16,143,16
2021-06-17,122,22
2021-06-18,134,14
2021-06-21,126,17
2021-06-22,125,17
2021-06-23,117,17
2021-06-24,129,16
2021-06-25,108,17
2021-06-28,81,24
2021-06-29,87,22
2021-06-30,105,22
2021-07-01,135,18
2021-07-02,128,16
2021-07-05,105,22
2021-07-06,83,24
2021-07-07,80,26
2021-07-08,119,19
2021-07-09,97,22
2021-07-12,89,21
2021-07-13,91,24
2021-07-14,88,27
2021-07-15,92,17
2021-07-16,92,20
2021-07-19,97,20
2021-07-23,89,25
2021-07-26,100,26
2021-07-27,91,28
2021-07-28,68,30
2021-07-29,70,30
2021-07-30,62,31
2021-08-02,82,30
2021-08-03,103,28
2021-08-04,113,28
2021-08-05,107,28
2021-08-06,87,27
2021-08-09,65,27
2021-08-10,70,35
2021-08-11,80,32
2021-08-12,72,37
2021-08-13,63,37
2021-08-16,63,47
2021-08-17,76,37
2021-08-20,88,38
2021-08-23,103,25
2021-08-24,93,35
2021-08-25,84,37
2021-08-26,71,37
2021-08-27,56,45
2021-08-30,62,43
2021-08-31,75,44
2021-09-01,76,47
2021-09-02,62,50
2021-09-03,69,56
2021-09-06,67,47
2021-09-07,55,48
2021-09-08,56,56
2021-09-09,59,55
2021-09-10,65,49
2021-09-13,55,51
2021-09-14,48,56
2021-09-15,43,60
2021-09-16,48,59
2021-09-17,44,65
2021-09-20,39,67
2021-09-21,27,74
2021-09-22,23,75
2021-09-23,26,80
2021-09-24,26,86
2021-09-27,23,85
2021-09-28,27,91
2021-09-29,10,101
2021-09-30,20,94
2021-10-01,33,95
2021-10-04,29,93
2021-10-05,32,95
2021-10-06,28,95
2021-10-07,33,101
2021-10-08,30,103
2021-10-11,21,123
2021-10-12,21,120
2021-10-13,20,123
2021-10-14,23,117
2021-10-15,24,104
2021-10-18,20,106
2021-10-20,25,104
2021-10-21,26,104
2021-10-22,28,102
2021-10-25,41,113
2021-10-26,42,119
2021-10-27,47,103
2021-10-28,49,107
2021-10-29,46,106
2021-11-01,33,68
2021-11-02,37,61
2021-11-03,32,60
2021-11-04,32,37
2021-11-05,32,50
2021-11-08,32,56
2021-11-09,28,98
2021-11-10,29,91
2021-11-11,25,103
2021-11-12,25,112
2021-11-15,28,115
2021-11-16,29,91
2021-11-17,27,110
2021-11-18,26,114
2021-11-19,39,100
2021-11-22,32,120
2021-11-23,22,132
2021-11-24,21,135
2021-11-25,15,140
2021-11-26,19,141
2021-11-29,26,125
2021-11-30,26,125
2021-12-01,21,110
2021-12-02,11,152
2021-12-03,14,152
2021-12-06,9,149
2021-12-07,16,149
2021-12-08,15,144
2021-12-09,15,150
2021-12-10,11,149
2021-12-13,8,165
2021-12-14,11,156
2021-12-15,15,121
2021-12-16,14,137
2021-12-17,19,111
2021-12-20,19,97
2021-12-21,16,91
2021-12-22,20,102
2021-12-23,19,82
2021-12-24,25,99
2021-12-27,31,110
2021-12-28,23,112
2021-12-29,21,92
2021-12-30,21,80
2021-12-31,26,67
2022-01-03,25,62
2022-01-04,31,35
2022-01-05,28,35
2022-01-06,22,66
2022-01-07,30,55
2022-01-10,36,48
2022-01-11,39,46
2022-01-12,36,47
2022-01-13,35,50
2022-01-14,37,70
2022-01-17,38,87
2022-01-18,35,99
2022-01-19,29,132
2022-01-20,32,126
2022-01-21,34,117
2022-01-24,32,118
2022-01-25,29,115
2022-01-26,33,122
2022-01-27,33,117
2022-01-28,36,113
2022-01-31,41,86
2022-02-01,42,77
2022-02-02,43,52
2022-02-03,41,57
2022-02-04,46,55
2022-02-07,43,89
2022-02-08,46,89
2022-02-09,47,80
2022-02-10,41,91
2022-02-11,45,95
2022-02-14,35,115
2022-02-15,41,103
2022-02-16,43,113
2022-02-17,33,122
2022-02-18,36,118
2022-02-21,28,122
2022-02-22,23,130
2022-02-23,27,133
2022-02-24,24,155
2022-02-25,27,159
2022-02-28,26,145
2022-03-01,28,144
2022-03-02,29,154
2022-03-03,30,149
2022-03-04,25,142
2022-03-07,20,169
2022-03-08,17,166
2022-03-09,20,170
2022-03-10,21,165
2022-03-11,21,160
2022-03-14,20,165
2022-03-15,20,166
2022-03-16,23,161
2022-03-17,19,149
2022-03-18,19,163
2022-03-21,17,151
2022-03-22,20,153
2022-03-24,21,152
2022-03-25,23,142
2022-03-28,20,122
2022-03-29,25,87
2022-03-30,28,89
2022-03-31,27,60
2022-04-01,32,57
2022-04-04,21,128
2022-04-05,25,119
2022-04-06,32,117
2022-04-07,20,113
2022-04-08,24,90
2022-04-11,34,32
2022-04-12,32,34
2022-04-13,30,41
2022-04-14,33,35
2022-04-15,32,36
2022-04-18,36,47
2022-04-19,34,77
2022-04-20,29,88
2022-04-21,26,97
2022-04-22,27,96
2022-04-25,27,99
2022-04-26,23,113
2022-04-27,23,117
2022-04-28,22,130
2022-05-06,15,130
2022-05-09,11,157
2022-05-10,9,162
2022-05-11,7,173
2022-05-12,6,170
2022-05-13,7,171
2022-05-16,10,173
2022-05-17,10,169
2022-05-18,10,172
2022-05-19,13,164
2022-05-20,12,150
2022-05-23,12,158
2022-05-24,5,162
2022-05-25,7,164
2022-05-26,10,136
2022-05-27,16,137
2022-05-30,10,117
2022-05-31,11,127
2022-06-01,11,133
2022-06-02,11,157
2022-06-03,9,166
2022-06-06,5,168
2022-06-07,8,170
2022-06-08,8,169
2022-06-09,10,151
2022-06-10,6,130
2022-06-13,9,166
2022-06-14,9,148
2022-06-15,9,156
2022-06-16,6,145
2022-06-17,15,119
2022-06-20,12,136
2022-06-21,12,76
2022-06-22,15,90
2022-06-23,13,67
2022-06-24,6,152
2022-06-27,7,116
2022-06-28,9,130
2022-06-29,10,126
2022-06-30,9,131
2022-07-01,8,119
2022-07-04,13,134
2022-07-05,14,134
2022-07-06,12,122
2022-07-07,13,118
2022-07-13,18,100
2022-07-14,18,64
2022-07-15,17,88
2022-07-18,17,136
2022-07-19,10,167
2022-07-20,10,160
2022-07-21,4,173
2022-07-22,9,157
2022-07-25,10,155
2022-07-26,12,158
2022-07-27,11,158
2022-07-28,12,149
2022-07-29,15,143
2022-08-01,16,139
2022-08-02,16,129
2022-08-03,17,88
2022-08-04,16,71
2022-08-05,20,40
2022-08-10,23,28
2022-08-11,21,40
2022-08-12,26,34
2022-08-15,30,21
2022-08-16,27,23
2022-08-17,24,29
2022-08-18,22,29
2022-08-19,23,30
2022-08-22,21,47
2022-08-23,20,40
2022-08-24,19,52
2022-08-25,18,55
2022-08-26,19,61
2022-08-29,16,68
2022-08-30,12,73
2022-08-31,16,65
2022-09-01,19,67
2022-09-02,18,81
2022-09-05,18,90
2022-09-06,19,89
2022-09-07,18,90
2022-09-08,14,96
2022-09-09,19,96
2022-09-12,18,98
2022-09-13,20,100
2022-09-14,14,103
2022-09-15,16,118
2022-09-16,18,117
2022-09-19,13,127
2022-09-20,13,134
2022-09-21,13,132
2022-09-22,13,136
2022-09-23,12,144
2022-09-26,14,136
2022-09-27,16,124
2022-09-28,16,123
2022-09-29,13,134
2022-09-30,10,128
2022-10-03,13,140
2022-10-04,15,142
2022-10-05,12,124
2022-10-06,15,107
2022-10-07,15,113
2022-10-10,17,109
2022-10-11,16,103
2022-10-12,17,123
2022-10-13,13,108
2022-10-14,16,113
2022-10-17,16,108
2022-10-18,12,117
2022-10-19,14,112
2022-10-20,18,122
2022-10-21,19,123
2022-10-24,19,119
2022-10-25,17,135
2022-10-26,9,146
2022-10-27,12,152
2022-10-28,12,152
2022-10-31,12,158
2022-11-01,17,151
2022-11-02,20,150
2022-11-03,21,133
2022-11-04,17,136
2022-11-07,19,136
2022-11-08,20,137
2022-11-10,25,109
2022-11-11,27,101
2022-11-14,24,120
2022-11-15,26,100
2022-11-16,26,110
2022-11-17,25,117
2022-11-18,29,119
2022-11-21,28,118
2022-11-22,31,116
2022-11-23,33,119
2022-11-24,34,113
2022-11-25,33,111
2022-11-28,22,145
2022-11-29,22,133
2022-11-30,23,131
2022-12-01,21,128
2022-12-02,18,122
2022-12-05,15,148
2022-12-06,18,156
2022-12-07,18,145
2022-12-08,14,140
2022-12-09,13,137
2022-12-12,12,143
2022-12-13,17,141
2022-12-14,15,145
2022-12-15,14,151
2022-12-16,16,160
2022-12-19,18,161
2022-12-20,9,182
2022-12-21,10,180
2022-12-22,12,175
2022-12-23,12,184
2022-12-26,14,172
2022-12-27,14,167
2022-12-28,9,175
2022-12-29,14,160
2022-12-30,14,142
2023-01-02,14,129
2023-01-03,16,140
2023-01-04,16,145
2023-01-05,19,130
2023-01-06,20,133
2023-01-09,16,156
2023-01-10,21,142
2023-01-11,21,147
2023-01-12,19,142
2023-01-13,20,150
2023-01-16,12,159
2023-01-17,10,175
2023-01-18,10,174
2023-01-19,20,176
2023-01-20,12,167
2023-01-23,10,167
2023-01-24,14,164
2023-01-25,20,145
2023-01-26,30,107
2023-01-27,24,131
2023-01-30,20,143
2023-01-31,23,122
2023-02-01,25,122
2023-02-02,22,120
2023-02-03,18,119
2023-02-06,22,112
2023-02-07,25,93
2023-02-08,26,74
2023-02-09,28,46
2023-02-10,24,81
2023-02-13,22,77
2023-02-14,20,89
2023-02-15,27,97
2023-02-16,22,114
2023-02-17,21,110
2023-02-20,16,125
2023-02-21,19,110
2023-02-22,21,114
2023-02-23,19,121
2023-02-24,21,136
2023-02-27,21,133
2023-02-28,17,137
2023-03-01,18,138
2023-03-02,17,142
2023-03-03,21,128
2023-03-06,17,122
2023-03-07,15,115
2023-03-08,17,115
2023-03-09,17,90
2023-03-10,19,73
2023-03-13,18,84
2023-03-14,20,81
2023-03-15,20,78
2023-03-16,23,65
2023-03-17,18,68
2023-03-20,13,66
2023-03-21,13,70
2023-03-22,11,106
2023-03-24,9,110
2023-03-27,9,108
2023-03-28,11,124
2023-03-29,12,126
2023-03-30,14,114
2023-03-31,17,109
2023-04-03,13,126
2023-04-04,14,132
2023-04-05,16,136
2023-04-06,19,99
2023-04-07,10,114
2023-04-10,14,123
2023-04-11,9,130
2023-04-12,18,129
2023-04-13,13,117
2023-04-17,17,120
2023-04-18,17,105
2023-04-19,17,95
2023-04-20,17,82
2023-04-26,21,84
2023-04-27,21,85
2023-04-28,24,80
2023-05-02,21,73
2023-05-03,22,84
2023-05-04,24,95
2023-05-05,27,91
2023-05-08,27,109
2023-05-09,19,117
2023-05-10,15,120
2023-05-11,18,108
2023-05-12,20,106
2023-05-15,23,106
2023-05-16,25,103
2023-05-17,17,110
2023-05-18,15,113
2023-05-19,21,116
2023-05-22,16,123
2023-05-23,20,109
2023-05-24,18,106
2023-05-25,22,114
2023-05-26,24,119
2023-05-29,26,123
2023-05-30,26,109
2023-05-31,22,117
2023-06-01,20,121
2023-06-02,23,113
2023-06-05,24,94
2023-06-06,30,83
2023-06-07,33,63
2023-06-08,27,82
2023-06-09,35,75
2023-06-12,30,78
2023-06-13,27,92
2023-06-14,31,97
2023-06-15,22,106
2023-06-16,24,110
2023-06-19,19,123
2023-06-20,19,123
2023-06-21,10,134
2023-06-22,15,143
2023-06-23,16,143
2023-06-26,23,110
2023-06-27,23,98
2023-07-03,37,27
2023-07-04,36,38
2023-07-05,33,48
2023-07-06,35,35
2023-07-07,28,34
2023-07-10,35,27
2023-07-11,44,19
2023-07-12,44,22
2023-07-13,39,33
2023-07-14,38,24
2023-07-17,42,27
2023-07-18,39,30
2023-07-19,37,32
2023-07-20,47,31
2023-07-21,48,23
2023-07-24,47,29
2023-07-25,53,25
2023-07-26,50,21
2023-07-27,47,20
2023-07-31,58,28
2023-08-01,60,17
2023-08-02,67,14
2023-08-03,66,22
2023-08-04,67,20
2023-08-07,64,20
2023-08-08,41,27
2023-08-09,54,26
2023-08-10,51,34
2023-08-11,59,29
2023-08-15,59,29
2023-08-16,54,31
2023-08-17,55,42
2023-08-18,49,40
2023-08-21,34,50
2023-08-22,41,54
2023-08-23,37,65
2023-08-24,46,64
2023-08-25,44,69
2023-08-28,33,73
2023-08-29,21,85
2023-08-30,20,88
2023-08-31,10,104
2023-09-01,12,100
2023-09-04,14,107
2023-09-05,14,105
2023-09-06,24,108
2023-09-07,20,114
2023-09-08,22,112
2023-09-11,24,113
2023-09-12,18,115
2023-09-13,18,117
2023-09-14,21,116
2023-09-15,23,113
2023-09-18,22,112
2023-09-19,29,111
2023-09-20,29,112
2023-09-21,34,98
2023-09-22,34,89
2023-09-25,35,86
2023-09-26,36,80
2023-09-27,36,81
2023-09-28,31,88
2023-10-02,37,84
2023-10-03,34,87
2023-10-04,41,72
2023-10-05,48,48
2023-10-06,47,45
2023-10-09,48,43
2023-10-10,52,29
2023-10-11,57,35
2023-10-12,56,37
2023-10-13,61,32
2023-10-16,57,34
2023-10-17,56,28
2023-10-18,52,30
2023-10-19,62,26
2023-10-20,66,25
2023-10-23,67,33
2023-10-24,68,30
2023-10-25,69,32
2023-10-26,69,36
2023-10-27,67,47
2023-10-30,71,45
2023-10-31,71,45
2023-11-01,83,45
2023-11-02,90,37
2023-11-03,94,30
2023-11-06,99,24
2023-11-07,96,29
2023-11-08,103,30
2023-11-10,120,23
2023-11-13,129,21
2023-11-14,132,17
2023-11-15,133,15
2023-11-16,142,21
2023-11-17,140,19
2023-11-20,142,14
2023-11-21,144,15
2023-11-22,144,9
2023-11-23,147,10
2023-11-24,150,9
2023-11-27,160,9
2023-11-28,158,10
2023-11-29,147,11
2023-11-30,153,13
2023-12-01,168,11
2023-12-04,179,9
2023-12-05,172,10
2023-12-06,188,4
2023-12-07,190,10
2023-12-08,198,9
2023-12-11,201,4
2023-12-12,203,8
2023-12-13,183,11
2023-12-14,177,6
2023-12-15,185,4
2023-12-18,163,7
2023-12-19,79,9
2023-12-20,58,11
2023-12-21,88,11
2023-12-22,71,8
2023-12-26,22,14
2023-12-27,50,12
2023-12-28,96,14
2023-12-29,103,12
2024-01-01,167,10
2024-01-02,184,141
2024-01-03,195,111
2024-01-04,200,119
2024-01-05,202,116
2024-01-08,168,129
2024-01-09,159,130
2024-01-10,154,126
2024-01-11,187,117
2024-01-12,156,137
2024-01-15,135,139
2024-01-16,118,143
2024-01-17,101,143
2024-01-18,93,164
2024-01-19,97,164
2024-01-22,112,160
2024-01-23,148,165
2024-01-24,164,167
2024-01-25,148,179
2024-01-26,134,194
2024-01-29,101,141
2024-01-30,73,151
2024-01-31,80,150
2024-02-01,82,155
2024-02-02,99,149
2024-02-06,122,121
2024-02-07,129,122
2024-02-09,81,143
2024-02-12,35,181
2024-02-13,52,185
2024-02-14,76,165
2024-02-15,62,175
2024-02-16,44,193
2024-02-19,63,196
2024-02-20,90,197
2024-02-21,115,180
2024-02-22,122,173
2024-02-23,136,151
2024-02-26,140,90
2024-02-27,133,106
2024-02-28,136,97
2024-02-29,151,106
2024-03-01,151,97
2024-03-04,153,97
2024-03-05,150,101
2024-03-06,155,99
2024-03-07,145,99
2024-03-08,150,104
2024-03-11,168,87
2024-03-12,119,99
2024-03-13,83,113
2024-03-14,124,97
2024-03-15,118,105
2024-03-18,116,94
2024-03-19,124,101
2024-03-20,139,102
2024-03-21,123,129
2024-03-22,117,129
2024-03-25,126,141
2024-03-26,145,147
2024-03-27,159,142
2024-03-28,183,128
2024-03-29,170,144
2024-04-01,131,116
2024-04-02,131,121
2024-04-03,150,110
2024-04-04,162,92
2024-04-08,177,83
2024-04-09,176,92
2024-04-15,179,85
2024-04-16,184,86
2024-04-17,174,82
2024-04-18,176,89
2024-04-19,178,100
2024-04-22,214,110
2024-04-23,222,109
2024-04-24,243,101
2024-04-25,231,97
2024-04-26,228,111
2024-04-29,165,107
2024-04-30,135,137
2024-05-02,120,137
2024-05-03,150,130
2024-05-06,174,125
2024-05-07,172,117
2024-05-08,160,116
2024-05-09,172,104
2024-05-10,182,91
2024-05-13,205,80
2024-05-14,215,74
2024-05-15,212,83
2024-05-16,205,90
2024-05-17,216,85
2024-05-20,212,93
2024-05-21,217,103
2024-05-22,203,121
2024-05-23,208,92
2024-05-24,227,95
2024-05-27,198,129
2024-05-29,173,160
2024-05-30,194,176
2024-05-31,227,164
2024-06-03,190,110
2024-06-04,176,136
2024-06-05,157,139
2024-06-06,131,140
2024-06-07,135,134
2024-06-10,121,139
2024-06-11,106,149
2024-06-12,124,152
2024-06-13,184,119
2024-06-14,189,135
2024-06-20,218,126
2024-06-21,213,123
2024-06-24,189,164
2024-06-25,195,189
2024-06-26,188,203
2024-06-27,188,194
2024-06-28,201,185
2024-07-01,165,141
2024-07-02,180,119
2024-07-03,211,104
2024-07-04,212,97
2024-07-05,208,110
2024-07-08,208,95
2024-07-09,231,103
2024-07-10,208,108
2024-07-11,204,125
2024-07-12,188,129
2024-07-15,220,121
2024-07-18,231,117
2024-07-19,187,149
2024-07-22,135,179
2024-07-23,164,184
2024-07-24,193,171
2024-07-25,168,197
2024-07-26,152,206
2024-07-29,164,156
2024-07-30,150,154
2024-07-31,132,164
2024-08-01,132,162
2024-08-02,144,153
2024-08-05,117,154
2024-08-06,141,151
2024-08-07,152,157
2024-08-08,158,145
2024-08-09,168,132
2024-08-12,139,161
2024-08-13,144,161
2024-08-15,155,149
2024-08-16,139,149
2024-08-19,131,170
2024-08-20,131,172
2024-08-21,158,154
2024-08-22,193,120
2024-08-23,199,116
2024-08-26,193,144
2024-08-27,200,157
2024-08-28,203,185
2024-08-29,206,168
2024-08-30,207,162
2024-09-02,149,118
2024-09-03,162,131
2024-09-04,176,105
2024-09-05,168,104
2024-09-06,166,105
2024-09-09,160,99
2024-09-10,171,106
2024-09-11,167,124
2024-09-12,187,104
2024-09-13,175,105
2024-09-16,156,109
2024-09-18,159,115
2024-09-19,153,123
2024-09-20,147,127
2024-09-23,134,150
2024-09-24,143,177
2024-09-25,180,169
2024-09-26,166,185
2024-09-27,147,203
2024-09-30,119,151
2024-10-01,130,138
2024-10-02,121,167
2024-10-03,120,154
2024-10-04,128,148
2024-10-07,138,141
2024-10-08,145,140
2024-10-09,154,126
2024-10-10,155,131
2024-10-11,147,146
2024-10-14,159,134
2024-10-15,156,138
2024-10-16,162,119
2024-10-17,145,121
2024-10-18,144,130
2024-10-21,173,129
2024-10-22,205,111
2024-10-23,218,107
2024-10-24,242,101
2024-10-25,242,121
2024-10-28,186,118
2024-10-29,187,109
2024-10-30,174,117
2024-10-31,156,118
2024-11-01,160,121
2024-11-04,182,105
2024-11-05,196,103
2024-11-06,203,92
2024-11-07,206,91
2024-11-08,221,66
2024-11-11,238,61
2024-11-12,242,70
2024-11-13,244,75
2024-11-14,263,59
2024-11-15,258,68
2024-11-18,248,59
2024-11-19,269,63
2024-11-20,254,55
2024-11-21,272,64
2024-11-22,243,79
2024-11-25,268,85
2024-11-26,165,128
2024-11-27,259,99
2024-11-28,328,84
2024-11-29,342,73
2024-12-02,312,41
2024-12-03,326,25
2024-12-04,340,25
