sector,symbol,start,end,kind,outcome,type,boundary_touched,boundary_breached,lfd_touched
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,1,False,False,False
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,4,True,True,True
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,4,True,True,True
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,4,True,True,True
CEMENT,ACPL,80,160,ascending,up,4,True,True,True
CEMENT,ACPL,600,680,descending,down,3,True,True,False
CEMENT,ACPL,2440,2520,ascending,down,1,False,False,False
CEMENT,ACPL,3720,3800,descending,up,1,False,False,False
CEMENT,ACPL,3880,3960,ascending,down,4,False,False,True
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,4,False,False,True
TEXTILE COMPOSITE,ADMM,520,600,descending,down,4,False,False,True
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,1,False,False,False
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,4,True,True,True
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,4,True,True,True
INSURANCE,AGIC,1280,1360,descending,up,4,False,False,True
INSURANCE,AGIC,1960,2040,symmetrical,up,4,True,False,True
INSURANCE,AGIC,2520,2600,ascending,up,4,True,True,True
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,1,False,False,False
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,3,True,True,False
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,2,True,False,False
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,4,False,False,True
CHEMICAL,AGL,40,120,descending,sequential,4,True,True,True
CHEMICAL,AGL,640,720,symmetrical,down,4,True,True,True
CHEMICAL,AGL,2640,2720,symmetrical,sequential,4,True,True,True
PHARMACEUTICALS,AGP,1840,1920,descending,up,1,False,False,False
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,4,True,True,True
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,4,True,True,True
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,4,True,True,True
FERTILIZER,AHCL,3240,3320,descending,down,2,True,False,False
INSURANCE,AICL,1800,1880,ascending,sequential,4,True,True,True
INSURANCE,AICL,3800,3880,descending,up,4,False,False,True
INSURANCE,AICL,3920,4000,ascending,down,4,True,True,True
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,4,True,True,True
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,3,True,True,False
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,4,True,True,True
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,4,True,True,True
MISCELLANEOUS,AKGL,640,720,descending,sequential,4,True,True,True
INSURANCE,ALAC,2720,2800,symmetrical,down,4,True,False,True
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,4,True,True,True
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,4,True,True,True
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,1,False,False,False
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,1,False,False,False
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,1,False,False,False
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,2,True,False,False
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,4,True,True,True
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,2,True,False,False
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,1,False,False,False
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,4,True,False,True
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,4,True,True,True
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,4,True,True,True
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,2,True,False,False
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,4,True,True,True
CHEMICAL,ARPL,4720,4800,ascending,up,4,True,False,True
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,1,False,False,False
FOOD & PERSONAL CARE PRODUCTS,ASC,80,160,symmetrical,up,4,True,True,True
ENGINEERING,ASL,0,80,ascending,down,4,True,False,True
ENGINEERING,ASL,160,240,descending,whipsaw,4,True,True,True
ENGINEERING,ASL,1320,1400,descending,down,1,False,False,False
ENGINEERING,ASL,2400,2480,descending,down,4,False,False,True
ENGINEERING,ASLPS,360,440,ascending,up,1,False,False,False
