sector,symbol,start,end,kind,outcome,variant,type
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,current,1
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,fixed_5,1
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,fixed_10,1
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,trigger,1
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,current,4
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,fixed_5,4
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,fixed_10,4
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,trigger,4
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,current,4
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,fixed_5,3
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,fixed_10,3
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,trigger,3
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,current,4
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,fixed_5,4
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,fixed_10,4
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,trigger,4
CEMENT,ACPL,80,160,ascending,up,current,4
CEMENT,ACPL,80,160,ascending,up,fixed_5,4
CEMENT,ACPL,80,160,ascending,up,fixed_10,4
CEMENT,ACPL,80,160,ascending,up,trigger,4
CEMENT,ACPL,600,680,descending,down,current,3
CEMENT,ACPL,600,680,descending,down,fixed_5,3
CEMENT,ACPL,600,680,descending,down,fixed_10,3
CEMENT,ACPL,600,680,descending,down,trigger,3
CEMENT,ACPL,2440,2520,ascending,down,current,1
CEMENT,ACPL,2440,2520,ascending,down,fixed_5,1
CEMENT,ACPL,2440,2520,ascending,down,fixed_10,1
CEMENT,ACPL,2440,2520,ascending,down,trigger,1
CEMENT,ACPL,3720,3800,descending,up,current,1
CEMENT,ACPL,3720,3800,descending,up,fixed_5,1
CEMENT,ACPL,3720,3800,descending,up,fixed_10,1
CEMENT,ACPL,3720,3800,descending,up,trigger,1
CEMENT,ACPL,3880,3960,ascending,down,current,4
CEMENT,ACPL,3880,3960,ascending,down,fixed_5,1
CEMENT,ACPL,3880,3960,ascending,down,fixed_10,1
CEMENT,ACPL,3880,3960,ascending,down,trigger,1
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,current,4
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,fixed_5,1
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,fixed_10,4
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,trigger,1
TEXTILE COMPOSITE,ADMM,520,600,descending,down,current,4
TEXTILE COMPOSITE,ADMM,520,600,descending,down,fixed_5,1
TEXTILE COMPOSITE,ADMM,520,600,descending,down,fixed_10,1
TEXTILE COMPOSITE,ADMM,520,600,descending,down,trigger,1
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,current,1
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,fixed_5,1
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,fixed_10,1
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,trigger,1
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,current,4
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,fixed_5,3
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,fixed_10,4
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,trigger,3
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,current,4
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,fixed_5,3
