symbol,date,close_before,close_after,pct_change,peer_avg_change,magnitude_category,likely_action,peers_used,sector,review_status
ABL,2007-03-26,113.9,93.0,-18.35,-3.27,DROP_OTHER,Rights/Dividend,16,COMMERCIAL BANKS,PENDING
ABL,2008-03-24,142.0,120.0,-15.49,-1.56,DROP_OTHER,Rights/Dividend,15,COMMERCIAL BANKS,PENDING
ABL,2009-01-01,32.96,29.76,-9.71,-0.71,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2009-03-20,37.33,33.3,-10.8,-3.03,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2010-03-19,63.85,57.18,-10.45,-1.16,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2011-03-09,67.04,59.82,-10.77,-0.5,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2012-03-20,67.91,60.51,-10.9,3.52,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2013-03-20,67.07,59.47,-11.33,-1.03,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABL,2014-03-20,95.62,85.0,-11.11,-0.82,DROP_OTHER,Rights/Dividend,18,COMMERCIAL BANKS,PENDING
ABOT,2005-03-17,210.0,163.9,-21.95,-2.52,DROP_OTHER,Rights/Dividend,3,PHARMACEUTICALS,PENDING
ABOT,2006-03-20,222.0,180.0,-18.92,0.77,DROP_OTHER,Rights/Dividend,4,PHARMACEUTICALS,PENDING
ABOT,2006-08-09,180.95,150.0,-17.1,-0.58,DROP_OTHER,Rights/Dividend,4,PHARMACEUTICALS,PENDING
ABOT,2007-10-17,196.0,180.0,-8.16,0.66,DROP_OTHER,Rights/Dividend,4,PHARMACEUTICALS,PENDING
ABOT,2009-08-10,114.48,101.08,-11.71,0.87,DROP_OTHER,Rights/Dividend,5,PHARMACEUTICALS,PENDING
ACPL,2009-10-09,87.03,66.46,-23.64,-0.87,DROP_25,Bonus 1:3,16,CEMENT,PENDING
ACPL,2011-10-12,55.1,50.21,-8.87,-0.19,DROP_OTHER,Rights/Dividend,13,CEMENT,PENDING
ACPL,2012-10-10,116.01,97.66,-15.82,-0.4,DROP_OTHER,Rights/Dividend,14,CEMENT,PENDING
ACPL,2013-09-19,167.31,139.21,-16.8,1.2,DROP_OTHER,Rights/Dividend,14,CEMENT,PENDING
ACPL,2014-09-22,184.14,168.52,-8.48,0.15,DROP_OTHER,Rights/Dividend,15,CEMENT,PENDING
ACPL,2017-10-13,192.31,171.86,-10.63,-3.4,DROP_OTHER,Rights/Dividend,15,CEMENT,PENDING
ACPL,2018-10-09,135.44,100.89,-25.51,-1.08,DROP_25,Bonus 1:3,16,CEMENT,PENDING
ACPL,2019-09-17,88.04,80.71,-8.33,-1.04,DROP_OTHER,Rights/Dividend,14,CEMENT,PENDING
AGIC,2006-04-20,33.75,27.25,-19.26,-1.11,DROP_OTHER,Rights/Dividend,14,INSURANCE,PENDING
