year,annual_return_%,daily_std_%,n_adverse_days_(<=-1.5%),n_trading_days
2015,1.0343484599149921,0.9217785558742224,11,249
2016,43.87144342508567,0.7433645897344863,2,248
2017,-16.104384137073822,1.1478313012707835,19,249
2018,-8.95179784156829,1.064085998536732,18,246
2019,7.209541275131751,1.1744847076318983,23,247
2020,5.689323671497578,1.530449234459119,22,251
2021,0.3629362571677982,0.9409455279982477,14,247
2022,-9.950433188844231,0.9708137329683325,16,248
2023,53.00664691946031,1.0646611990009394,10,246
2024,78.04474296872124,1.1526591899303635,11,246
2025,48.75410313544159,1.3026998517578219,12,250
2026,2.780849067981962,2.2018274505881554,18,125
