year,fixed_global_top5_share_%,annual_reranked_top5_share_%,top_sector_this_year
2015,53.055381845568675,56.70330083323748,CEMENT
2016,51.035214557850686,56.05276390174543,TECHNOLOGY & COMMUNICATION
2017,45.25987249579299,55.39289969927974,TECHNOLOGY & COMMUNICATION
2018,50.108788473704216,58.18577060800182,CHEMICAL
2019,57.32248784742371,57.32248784742371,CEMENT
2020,55.687616491256776,58.05371598114901,CEMENT
2021,58.716402459581495,61.864957754538864,TECHNOLOGY & COMMUNICATION
2022,54.28091868571757,59.14839056047424,TECHNOLOGY & COMMUNICATION
2023,56.0588724765842,59.18577680815357,TECHNOLOGY & COMMUNICATION
2024,55.47231706635664,56.32456840614287,TECHNOLOGY & COMMUNICATION
2025,57.104488274209444,57.104488274209444,TECHNOLOGY & COMMUNICATION
2026,55.65975825654238,56.81101112033705,POWER GENERATION & DISTRIBUTION
