symbol,start,end,outcome,direction,breakout_idx,entry_price,stop_price,target_price,exit_bar,exit_type,realized_R
ABL,1000,1080,down,down,1091,62.15,63.393,59.663999999999994,1097,target,2.0
ABL,3640,3720,sequential,up,3721,86.0,84.28,89.44,3726,stop,-1.0
ABOT,2520,2600,sequential,down,2604,620.0,632.4,595.1999999999999,2605,stop,-1.0
ABOT,3840,3920,down,down,3928,755.01,770.1102,724.8095999999999,3931,stop,-1.0
ACPL,80,160,up,up,161,43.8009,42.924882,45.552936,162,stop,-1.0
ACPL,600,680,down,down,695,56.7137,57.847974,54.445152,696,target,2.0
ACPL,2440,2520,down,down,2521,137.1967,139.940634,131.708832,2525,stop,-1.0
ACPL,3720,3800,up,up,3801,145.63,142.7174,151.4552,3805,target,2.0
ACPL,3880,3960,down,down,3961,168.26,171.6252,161.5296,3962,target,2.0
ADMM,160,240,down,down,241,216.0,220.32,207.35999999999999,242,target,2.0
ADMM,520,600,down,down,601,61.95,63.18900000000001,59.472,605,target,2.0
ADMM,1960,2040,up,up,2041,88.05,86.289,91.572,2042,target,2.0
ADMM,2520,2600,down,down,2613,78.0,79.56,74.88,2614,target,2.0
AGHA,1200,1280,sequential,up,1284,9.44,9.251199999999999,9.8176,1285,stop,-1.0
AGIC,1280,1360,up,up,1361,6.5442,6.413316,6.805968,1365,target,2.0
AGIC,1960,2040,up,up,2046,24.2548,23.769703999999997,25.224992,2054,stop,-1.0
AGIL,1240,1320,up,up,1324,69.91,68.5118,72.7064,1331,target,2.0
AGIL,1400,1480,down,down,1481,67.49,68.8398,64.79039999999999,1483,target,2.0
AGIL,1520,1600,up,up,1602,65.0,63.699999999999996,67.60000000000001,1603,stop,-1.0
AGIL,1920,2000,down,down,2001,70.5,71.91,67.67999999999999,2009,stop,-1.0
AGL,40,120,sequential,down,125,21.46,21.889200000000002,20.6016,126,stop,-1.0
AGL,640,720,down,down,733,11.36,11.5872,10.9056,735,stop,-1.0
AGL,2640,2720,sequential,up,2721,4.09,4.0081999999999995,4.2536,2724,target,2.0
AGP,1840,1920,up,up,1932,200.24,196.2352,208.24960000000002,1934,target,2.0
AGTL,1640,1720,up,up,1737,152.0453,149.004394,158.127112,1739,stop,-1.0
AGTL,3680,3760,sequential,down,3761,340.82,347.6364,327.18719999999996,3763,stop,-1.0
AGTL,4480,4560,sequential,down,4575,335.67,342.3834,322.2432,4579,target,2.0
AHCL,3240,3320,down,down,3323,32.05,32.690999999999995,30.767999999999997,3324,stop,-1.0
AICL,1800,1880,sequential,up,1881,68.88,67.5024,71.6352,1882,target,2.0
AICL,3800,3880,up,up,3881,44.02,43.1396,45.780800000000006,3883,target,2.0
AICL,3920,4000,down,down,4009,39.65,40.443,38.064,4013,stop,-1.0
AIRLINK,160,240,down,down,241,35.18,35.8836,33.7728,242,target,2.0
AKBL,1800,1880,up,up,1884,16.51,16.1798,17.1704,1890,stop,-1.0
AKDHL,240,320,whipsaw,up,321,422.1,413.658,438.98400000000004,322,stop,-1.0
AKDHL,880,960,whipsaw,down,965,131.04,133.6608,125.79839999999999,966,stop,-1.0
AKGL,640,720,sequential,down,725,11.0,11.22,10.559999999999999,726,stop,-1.0
ALAC,2720,2800,down,down,2801,5.0,5.1,4.8,2802,stop,-1.0
ALTN,2200,2280,whipsaw,down,2292,6.2456,6.370512,5.995775999999999,2293,stop,-1.0
ALTN,2400,2480,up,up,2481,4.8335,4.736829999999999,5.02684,2482,stop,-1.0
ALTN,2520,2600,down,down,2601,4.5212,4.611624000000001,4.340352,2602,target,2.0
ALTN,2600,2680,up,up,2681,4.5538,4.462724,4.735952,2682,target,2.0
ANL,2360,2440,down,down,2441,5.22,5.3244,5.0112,2447,target,2.0
ANL,3600,3680,down,down,3681,12.15,12.393,11.664,3684,stop,-1.0
ANTM,440,520,sequential,up,521,18.76,18.384800000000002,19.5104,523,target,2.0
APL,1400,1480,up,up,1483,166.0422,162.72135600000001,172.68388800000002,1495,target,2.0
APL,1560,1640,up,up,1644,189.8517,186.054666,197.445768,1647,target,2.0
APL,3160,3240,down,down,3241,327.2201,333.764502,314.13129599999996,3246,target,2.0
APL,3880,3960,up,up,3961,257.2351,252.090398,267.524504,3962,stop,-1.0
APL,3920,4000,sequential,up,4001,250.144,245.14112,260.14976,4003,stop,-1.0
APL,4120,4200,up,up,4216,236.0668,231.345464,245.50947200000002,4221,target,2.0
APL,4640,4720,up,up,4722,412.9,404.642,429.416,4732,stop,-1.0
ARUJ,640,720,up,up,721,22.59,22.1382,23.4936,722,target,2.0
ASC,80,160,up,up,171,55.98,54.8604,58.2192,172,stop,-1.0
ASL,0,80,down,down,87,10.4,10.608,9.984,88,stop,-1.0
ASL,160,240,whipsaw,down,241,8.61,8.7822,8.2656,242,stop,-1.0
ASL,1320,1400,down,down,1401,18.24,18.604799999999997,17.510399999999997,1402,target,2.0
ASL,2400,2480,down,down,2481,10.2,10.404,9.792,2484,stop,-1.0
ASLPS,360,440,up,up,448,5.7582,5.643036,5.9885280000000005,450,stop,-1.0
ATBA,2600,2680,up,up,2681,656.9995,643.85951,683.27948,2682,target,2.0
ATBA,4040,4120,sequential,up,4121,170.19,166.7862,176.9976,4123,stop,-1.0
ATIL,1320,1400,up,up,1413,10.46,10.2508,10.878400000000001,1427,stop,-1.0
ATIL,2480,2560,up,up,2570,41.9482,41.109235999999996,43.626128,2571,stop,-1.0
ATLH,3640,3720,sequential,down,3721,379.1,386.682,363.93600000000004,3724,stop,-1.0
ATRL,1440,1520,sequential,up,1530,131.8,129.16400000000002,137.072,1531,target,2.0
ATRL,2640,2720,up,up,2721,224.51,220.01979999999998,233.4904,2724,stop,-1.0
ATRL,5000,5080,sequential,up,5081,704.88,690.7823999999999,733.0752,5082,target,2.0
AVN,560,640,up,up,643,17.9872,17.627456000000002,18.706688000000003,644,stop,-1.0
AVN,1920,2000,down,down,2001,88.06,89.8212,84.5376,2003,stop,-1.0
AVN,2200,2280,sequential,up,2281,67.8,66.444,70.512,2282,stop,-1.0
BAFL,1840,1920,down,down,1924,8.4127,8.580954,8.076191999999999,1926,stop,-1.0
BAFL,3040,3120,down,down,3139,20.4176,20.825952,19.600896,3141,stop,-1.0
BAFL,3840,3920,sequential,up,3921,19.2615,18.87627,20.03196,3923,stop,-1.0
BAFL,4520,4600,up,up,4608,21.0833,20.661634,21.926632,4613,stop,-1.0
BAHL,4120,4200,down,down,4208,68.79,70.1658,66.03840000000001,4219,target,2.0
BCL,760,840,down,down,845,45.07,45.9714,43.267199999999995,847,target,2.0
BCL,3400,3480,up,up,3481,143.76,140.88479999999998,149.5104,3482,target,2.0
BECO,400,480,up,up,496,20.24,19.835199999999997,21.049599999999998,497,stop,-1.0
BERG,2280,2360,down,down,2362,98.86,100.8372,94.90559999999999,2363,stop,-1.0
BERG,2840,2920,down,down,2934,149.72,152.7144,143.7312,2937,stop,-1.0
BGL,3800,3880,whipsaw,down,3887,8.65,8.823,8.304,3890,stop,-1.0
BHAT,1160,1240,up,up,1250,899.09,881.1082,935.0536000000001,1251,target,2.0
BHAT,1240,1320,down,down,1321,899.54,917.5308,863.5583999999999,1322,target,2.0
BIPL,2240,2320,sequential,down,2327,10.0,10.2,9.6,2328,stop,-1.0
BIPL,3920,4000,up,up,4001,13.53,13.2594,14.0712,4003,target,2.0
BNL,1280,1360,whipsaw,down,1361,13.19,13.4538,12.6624,1362,stop,-1.0
BOK,440,520,down,down,530,13.6,13.872,13.056,537,target,2.0
BOK,3680,3760,down,down,3773,15.0,15.3,14.399999999999999,3774,target,2.0
BOK,4280,4360,sequential,up,4363,15.31,15.0038,15.922400000000001,4364,stop,-1.0
BOK,4600,4680,up,up,4702,33.6,32.928,34.944,4704,stop,-1.0
BPL,720,800,down,down,802,31.5,32.13,30.24,803,stop,-1.0
BWCL,1000,1080,whipsaw,down,1081,119.23,121.61460000000001,114.4608,1085,stop,-1.0
BWHL,0,80,up,up,81,30.575,29.9635,31.798000000000002,82,stop,-1.0
BWHL,1400,1480,up,up,1492,48.9582,47.979035999999994,50.916528,1493,target,2.0
BWHL,2280,2360,sequential,down,2373,74.0,75.48,71.03999999999999,2374,target,2.0
CENI,3480,3560,up,up,3595,26.49,25.960199999999997,27.549599999999998,3596,stop,-1.0
CEPB,840,920,down,down,921,13.79,14.0658,13.238399999999999,925,target,2.0
CEPB,1080,1160,sequential,down,1179,16.0,16.32,15.36,1185,stop,-1.0
CEPB,2200,2280,sequential,down,2284,51.52,52.5504,49.4592,2286,stop,-1.0
CEPB,2520,2600,sequential,up,2601,53.47,52.4006,55.6088,2606,stop,-1.0
CHBL,360,440,up,up,441,10.85,10.633,11.284,442,target,2.0
CHBL,1560,1640,sequential,down,1659,1.51,1.5402,1.4496,1660,stop,-1.0
CHCC,1120,1200,sequential,up,1201,10.3699,10.162502,10.784696,1202,stop,-1.0
CHCC,1560,1640,sequential,down,1642,5.3047,5.410794,5.092512,1643,stop,-1.0
CHCC,2280,2360,up,up,2361,58.85,57.673,61.204,2362,target,2.0
CLOV,1480,1560,up,up,1561,91.0,89.17999999999999,94.64,1562,stop,-1.0
CNERGY,2840,2920,sequential,up,2937,24.29,23.804199999999998,25.2616,2938,stop,-1.0
CPPL,3160,3240,up,up,3246,168.95,165.571,175.708,3247,stop,-1.0
CPPL,4480,4560,down,down,4561,124.0,126.48,119.03999999999999,4565,target,2.0
CRTM,2240,2320,sequential,down,2326,27.5,28.05,26.4,2327,target,2.0
CRTM,3560,3640,up,up,3641,18.68,18.3064,19.4272,3646,stop,-1.0
CSAP,4920,5000,up,up,5011,106.0,103.88,110.24000000000001,5014,target,2.0
CYAN,640,720,up,up,721,10.1499,9.946902,10.555896,722,target,2.0
CYAN,1840,1920,sequential,up,1928,59.0189,57.838522,61.379656000000004,1930,stop,-1.0
CYAN,4120,4200,up,up,4201,24.01,23.5298,24.9704,4203,target,2.0
DAAG,840,920,up,up,923,18.9,18.522,19.656,924,stop,-1.0
DAAG,2240,2320,down,down,2322,94.01,95.89020000000001,90.2496,2323,stop,-1.0
DBCI,1840,1920,sequential,down,1922,2.23,2.2746,2.1408,1923,stop,-1.0
DCL,680,760,up,up,768,15.6,15.288,16.224,769,target,2.0
DCL,1560,1640,down,down,1641,1.3,1.326,1.248,1642,stop,-1.0
DCL,2520,2600,down,down,2605,14.79,15.085799999999999,14.1984,2607,stop,-1.0
DCL,4760,4840,up,up,4854,9.24,9.0552,9.6096,4855,target,2.0
DCR,1240,1320,down,down,1331,10.51,10.7202,10.089599999999999,1342,stop,-1.0
DFML,3840,3920,down,down,3930,6.82,6.9564,6.5472,3931,stop,-1.0
DGKC,680,760,up,up,764,95.0,93.1,98.8,766,target,2.0
DGKC,1480,1560,down,down,1573,21.86,22.2972,20.985599999999998,1575,target,2.0
DGKC,2920,3000,down,down,3015,227.28,231.8256,218.1888,3017,stop,-1.0
DNCC,240,320,down,down,324,0.1817,0.185334,0.174432,325,target,2.0
DNCC,1440,1520,sequential,up,1522,6.15,6.027,6.396000000000001,1523,stop,-1.0
DNCC,2160,2240,sequential,up,2241,18.49,18.120199999999997,19.229599999999998,2242,stop,-1.0
DOL,680,760,down,down,761,4.61,4.7022,4.4256,764,target,2.0
DOL,3200,3280,whipsaw,up,3282,23.16,22.6968,24.0864,3283,stop,-1.0
DOL,3560,3640,down,down,3646,24.55,25.041,23.568,3650,target,2.0
DSL,2280,2360,whipsaw,down,2362,11.31,11.536200000000001,10.8576,2363,stop,-1.0
DSL,3080,3160,sequential,down,3172,4.42,4.5084,4.2432,3173,target,2.0
DSL,4000,4080,up,up,4091,6.12,5.9976,6.364800000000001,4092,stop,-1.0
DSL,4360,4440,down,down,4441,5.92,6.0384,5.683199999999999,4442,stop,-1.0
DYNO,400,480,sequential,down,481,18.0,18.36,17.28,482,stop,-1.0
DYNO,880,960,down,down,992,9.61,9.8022,9.225599999999998,995,stop,-1.0
ECOP,280,360,down,down,376,24.715,25.2093,23.726399999999998,379,target,2.0
ECOP,1040,1120,down,down,1121,4.88,4.9776,4.6848,1123,stop,-1.0
ECOP,4920,5000,up,up,5004,51.34,50.3132,53.393600000000006,5008,target,2.0
EFERT,520,600,down,down,601,66.58,67.91159999999999,63.916799999999995,606,target,2.0
EFERT,1320,1400,up,up,1401,69.02,67.6396,71.7808,1403,stop,-1.0
EFUG,1680,1760,up,up,1763,45.6791,44.765518,47.506264,1766,stop,-1.0
EFUL,760,840,sequential,down,841,104.5,106.59,100.32,843,stop,-1.0
EFUL,2760,2840,sequential,down,2841,206.66,210.7932,198.3936,2844,target,2.0
ENGRO,80,160,up,up,161,93.7758,91.900284,97.52683200000001,173,target,2.0
