sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,close_at_breakout_check,sma_at_breakout,passes_sma,R_final,risk_pct_of_price,friction_in_R,R_net_friction_cgt
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,up,3721,4.0,86.0,85.41,0.5900000000000034,ok,84.56,1.4399999999999975,83.25227851605757,2.747721483942428,3723.0,3725.0,3734.0,3723,False,False,-1.0,-0.3194444444444406,-0.1674114362347912,-1.0,-1.0,86.0,81.99719999999999,True,-1.0,0.686046511627911,0.2915254237288119,-1.2915254237288118
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,2604,3.0,620.0,641.5,21.5,skipped_risk_gt_6pct,680.64,,651.0088866238721,31.00888662387206,2619.0,,2619.0,2619,True,False,-1.0,,-1.0,-1.0,-1.0,620.0,634.4902500000001,True,-1.0,3.467741935483871,0.05767441860465117,-1.0576744186046512
CEMENT,ACPL,600,680,descending,down,down,695,3.0,56.7137,60.5249,3.8112,skipped_risk_gt_6pct,61.19,,61.5031086240948,4.789408624094797,729.0,,731.0,729,False,False,-1.0,,-0.6294722870028227,-1.0,-1.0,56.7137,61.28459,True,-1.0,6.720069401220516,0.02976159739714526,-1.0297615973971452
CEMENT,ACPL,2440,2520,ascending,down,down,2521,1.0,137.1967,144.5117,7.314999999999998,skipped_risk_gt_6pct,151.5,,152.91179660968663,15.71509660968664,,,,2611,False,True,1.5468352699931631,,0.720014663672221,,1.5468352699931631,137.1967,147.263865,True,1.5468352699931631,5.33176089512357,0.03751105946684895,1.2772989200273397
CEMENT,ACPL,3720,3800,descending,up,up,3801,1.0,145.63,142.1,3.530000000000001,ok,140.68,4.949999999999989,141.4559090909091,4.174090909090893,,,,3891,False,True,6.991501416430594,4.985858585858598,5.912664706522947,,6.991501416430594,145.63,134.48680000000002,True,6.991501416430594,2.4239511089748,0.08250991501416428,5.860266288951841
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,241,1.0,216.0,217.0,1.0,skipped_risk_gt_6pct,245.38,,242.0000146541618,26.000014654161788,248.0,,286.0,248,False,False,-1.0,,-0.1538460671351862,-1.0,-1.0,216.0,229.5075,True,-1.0,0.4629629629629629,0.43200000000000005,-1.432
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,601,1.0,61.95,63.9,1.949999999999996,skipped_risk_gt_6pct,66.16,,68.69742951907132,6.747429519071318,627.0,,,627,False,False,-1.0,,-0.214896650035637,-1.0,-1.0,61.95,66.433,True,-1.0,3.1476997578692427,0.06353846153846168,-1.0635384615384618
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,up,2041,1.0,88.05,83.5,4.549999999999997,skipped_risk_gt_6pct,81.67,,82.16516483516483,5.884835164835167,,,,2131,False,True,0.4285714285714295,,0.3313601732895134,,0.4285714285714295,88.05,86.98445,True,0.4285714285714295,5.167518455423052,0.038703296703296725,0.32558241758241835
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,up,1284,4.0,9.44,8.56,0.879999999999999,skipped_risk_gt_6pct,7.93,,8.103752611784373,1.336247388215627,1296.0,,1310.0,1296,False,False,-1.0,,-0.6735279768829524,-1.0,-1.0,9.44,8.7667,True,-1.0,9.322033898305076,0.021454545454545476,-1.0214545454545454
INSURANCE,AGIC,1960,2040,symmetrical,up,up,2046,4.0,24.2548,23.6446,0.610199999999999,skipped_risk_gt_6pct,22.75,,23.07800790493848,1.176792095061522,2054.0,,,2054,False,False,-1.0,,0.1296745624315413,-1.0,-1.0,24.2548,21.992458000000003,True,-1.0,2.515790688853336,0.07949786955096703,-1.079497869550967
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1324,1.0,69.91,68.0,1.9099999999999968,skipped_risk_gt_6pct,65.35,,66.00458606557378,3.905413934426221,1378.0,,,1378,False,False,-1.0,,-0.6836663270092713,-1.0,-1.0,69.91,68.43645000000001,True,-1.0,2.7320841081390315,0.07320418848167552,-1.0732041884816754
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,down,1481,3.0,67.49,70.03,2.5400000000000063,ok,71.09,3.6000000000000085,69.80364397680913,2.313643976809132,1506.0,,1505.0,1505,False,False,-0.1417322834645663,-0.0999999999999996,-1.0,,-0.1417322834645663,67.49,71.38575,True,-0.1417322834645663,3.7635205215587586,0.05314173228346444,-0.19487401574803073
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,down,2001,4.0,70.5,71.75,1.25,ok,72.47,1.9699999999999989,77.70389982110913,7.2038998211091325,2009.0,2009.0,2027.0,2009,True,False,-1.0,-1.0,-0.255417210912396,-1.0,-1.0,70.5,79.579,True,-1.0,1.773049645390071,0.1128,-1.1128
CHEMICAL,AGL,640,720,symmetrical,down,down,733,4.0,11.36,11.7,0.3399999999999998,skipped_risk_gt_6pct,12.07,,12.352036345531491,0.992036345531492,738.0,,743.0,738,False,False,-1.0,,-0.2217660683411087,-1.0000000000000002,-1.0000000000000002,11.36,12.020150000000001,True,-1.0000000000000002,2.9929577464788717,0.06682352941176474,-1.066823529411765
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1932,1.0,200.24,194.0,6.240000000000009,skipped_risk_gt_6pct,186.13,,187.94051160815405,12.299488391845983,1976.0,,1976.0,1976,True,False,-1.0,,-1.0,-1.0,-1.0,200.24,192.80384999999998,True,-1.0,3.1162604874151065,0.06417948717948709,-1.0641794871794872
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,up,1737,4.0,152.0453,146.999,5.046300000000002,ok,145.52,6.525299999999987,140.53302682135728,11.512273178642715,1740.0,1812.0,,1740,False,False,-1.0,-0.5107044886825153,-0.2894736728609239,-1.0,-1.0,152.0453,135.9523055,True,-1.0,3.3189450775525464,0.06026011136872558,-1.0602601113687256
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,down,3761,4.0,340.82,348.99,8.170000000000016,ok,358.55,17.730000000000018,366.6992593530952,25.879259353095165,3763.0,3781.0,3782.0,3763,False,False,-1.0,-0.5036661026508741,-0.3450639710418133,-1.0,-1.0,340.82,368.09114999999997,True,-1.0,2.3971597910920766,0.0834320685434515,-1.0834320685434515
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,down,4575,3.0,335.67,342.85,7.180000000000007,ok,352.48,16.810000000000002,350.1503264311816,14.480326431181595,4581.0,4587.0,4587.0,4581,False,False,-1.0,-0.4063057703747759,-0.4716744496375732,-1.0,-1.0,335.67,357.26595000000003,True,-1.0,2.139005570947659,0.09350139275766008,-1.09350139275766
FERTILIZER,AHCL,3240,3320,descending,down,down,3323,2.0,32.05,34.7,2.6500000000000057,skipped_risk_gt_6pct,35.19,,34.78633945656334,2.7363394565633428,,,,3413,False,True,0.7735849056603746,,0.7491760552890826,,0.7735849056603746,32.05,34.96,True,0.7735849056603746,8.268330733229348,0.024188679245282965,0.6333584905660354
INSURANCE,AICL,1800,1880,ascending,sequential,up,1881,3.0,68.88,65.51,3.3699999999999903,skipped_risk_gt_6pct,63.61,,63.59110752688172,5.288892473118274,1909.0,,1910.0,1909,False,False,-1.0,,-0.7165961530251056,-1.0,-1.0,68.88,62.87805,True,-1.0,4.892566782810672,0.040878338278931864,-1.040878338278932
INSURANCE,AICL,3800,3880,descending,up,up,3881,4.0,44.02,43.0,1.0200000000000031,ok,42.57,1.4500000000000028,38.246565934065934,5.773434065934069,3885.0,3910.0,3937.0,3885,False,False,-1.0,-0.0896551724137947,-0.0225169281428297,-1.0,-1.0,44.02,37.458800000000004,True,-1.0,2.3171285779191346,0.08631372549019582,-1.0863137254901958
INSURANCE,AICL,3920,4000,ascending,down,down,4009,4.0,39.65,40.35,0.7000000000000028,ok,41.61,1.9600000000000009,42.35029231815092,2.7002923181509217,4012.0,4021.0,4024.0,4012,False,False,-1.0,-0.1785714285714292,-0.1296155966697971,-1.0,-1.0,39.65,40.67295,True,-1.0,1.7654476670870185,0.11328571428571384,-1.1132857142857138
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,down,241,4.0,35.18,36.38,1.2000000000000028,skipped_risk_gt_6pct,37.57,,38.83049147442328,3.650491474423277,254.0,,,254,False,False,-1.0,,-0.2711963599795579,-1.0,-1.0,35.18,48.2932,True,-1.0,3.4110289937464553,0.05863333333333319,-1.058633333333333
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,up,1884,3.0,16.51,15.51,1.0000000000000018,skipped_risk_gt_6pct,15.25,,15.36786788029238,1.1421321197076215,,,,1974,False,True,3.0199999999999942,,2.644177453632159,,3.0199999999999942,16.51,13.93845,True,3.0199999999999942,6.056935190793468,0.033019999999999945,2.533979999999995
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,up,321,4.0,422.1,385.0,37.10000000000002,no_valid_consolidation,,,387.6242105263158,34.475789473684245,323.0,,323.0,323,True,False,-1.0,,-1.0,-1.0,-1.0,422.1,362.86830000000003,True,-1.0,8.789386401326704,0.022754716981132066,-1.022754716981132
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,down,965,4.0,131.04,140.5,9.460000000000008,skipped_risk_gt_6pct,154.53,,147.81416988416993,16.774169884169936,968.0,,970.0,968,False,False,-1.0,,-0.5937700684311911,-1.0,-1.0,131.04,136.54865,True,-1.0,7.2191697191697255,0.027704016913319217,-1.0277040169133191
INSURANCE,ALAC,2720,2800,symmetrical,down,down,2801,4.0,5.0,5.1,0.0999999999999996,skipped_risk_gt_6pct,5.31,,5.662165605095545,0.6621656050955451,2802.0,,2848.0,2802,False,False,-1.0,,-0.3020392458637923,-2.0000000000000098,-2.0000000000000098,5.0,5.35585,True,-2.0000000000000098,1.999999999999992,0.10000000000000041,-2.1000000000000103
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,down,2292,4.0,6.2456,6.3813,0.1357000000000008,ok,6.61,0.3644000000000007,6.785138046958373,0.5395380469583735,2293.0,2293.0,2294.0,2293,True,False,-1.0,-1.0,-0.7749221808490145,-3.001473839351495,-3.001473839351495,6.2456,7.070381,True,-3.0,2.172729601639567,0.09205011053795083,-3.0920501105379508
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,down,2601,1.0,4.5212,5.0507,0.5294999999999996,skipped_risk_gt_6pct,5.1,,4.909398545139224,0.3881985451392236,,,,2691,False,True,0.0513692162417385,,0.0700672383773245,,0.0513692162417385,4.5212,4.7800015,True,0.0513692162417385,11.711492524108635,0.01707724268177527,0.026586591123702454
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,2681,1.0,4.5538,4.209,0.3448000000000002,no_valid_consolidation,,,3.696177610441767,0.8576223895582329,,,,2771,False,True,14.079756380510432,,5.66064979075545,,14.079756380510432,4.5538,4.446003999999999,True,14.079756380510432,7.571698361807726,0.026414153132250564,11.941378770301617
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,2441,1.0,5.22,5.58,0.3600000000000003,skipped_risk_gt_6pct,5.78,,6.258194419761864,1.0381944197618642,2515.0,,2516.0,2515,False,False,-1.0,,-0.2504347885626645,-1.0,-1.0,5.22,5.73725,True,-1.0,6.896551724137938,0.028999999999999974,-1.029
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,up,521,4.0,18.76,18.3,0.4600000000000008,skipped_risk_gt_6pct,16.29,,15.418020050125312,3.3419799498746894,525.0,,535.0,525,False,False,-1.0,,0.011968952716637,-1.0000000000000002,-1.0000000000000002,18.76,10.94235,True,-1.0000000000000002,2.452025586353949,0.0815652173913042,-1.0815652173913044
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,1483,2.0,166.0422,164.4244,1.6178000000000168,ok,160.84,5.202200000000005,163.39091097228533,2.6512890277146823,1509.0,1531.0,1531.0,1509,False,False,-1.0,0.0498635192803043,0.0978392009654236,-1.0,-1.0,166.0422,150.9478195,True,-1.0,0.9743306219744239,0.20526913091852922,-1.2052691309185293
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,up,1644,1.0,189.8517,183.319,6.5327000000000055,skipped_risk_gt_6pct,176.26,,184.233357200333,5.618342799667005,,,,1734,False,True,1.1514075344038464,,1.3387933538775572,,1.1514075344038464,189.8517,170.102523,True,1.1514075344038464,3.4409489090695558,0.05812350176802848,0.9205729024752409
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,down,3241,4.0,327.2201,333.1737,5.9535999999999945,skipped_risk_gt_6pct,359.96,,365.7880972578165,38.5679972578165,3266.0,,3274.0,3266,False,False,-1.0,,-0.2298071103031858,-1.0,-1.0,327.2201,342.9659535,True,-1.0,1.8194481329233732,0.10992344127922613,-1.109923441279226
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,up,3961,4.0,257.2351,248.9871,8.24799999999999,skipped_risk_gt_6pct,241.77,,241.56416680200624,15.670933197993747,3965.0,,3976.0,3965,False,False,-1.0,,-0.6629343555194268,-1.0,-1.0,257.2351,254.031898,True,-1.0,3.206405346704237,0.062375145489815785,-1.0623751454898158
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,4216,2.0,236.0668,230.2376,5.829200000000014,ok,223.29,12.776800000000009,226.1636788273616,9.903121172638464,,,,4306,False,True,7.847251766966289,3.5801765700331827,4.619068998810681,,7.847251766966289,236.0668,235.2685885,True,7.847251766966289,2.4693010622417106,0.08099457901598828,6.589169422905357
OIL & GAS MARKETING COMPANIES,APL,4640,4720,ascending,up,up,4722,4.0,412.9,408.0,4.899999999999977,skipped_risk_gt_6pct,383.13,,387.1217155040456,25.77828449595438,4726.0,,4764.0,4726,False,False,-1.0,,-0.0213357874953343,-1.0,-1.0,412.9,372.41540000000003,True,-1.0,1.1867280213126612,0.1685306122448987,-1.1685306122448986
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,721,1.0,22.59,18.9,3.690000000000001,no_valid_consolidation,,,14.741257848019051,7.848742151980947,743.0,,797.0,743,False,False,-1.0,,-0.4892503697590347,-1.0000000000000002,-1.0000000000000002,22.59,11.2771,True,-1.0000000000000002,16.334661354581677,0.012243902439024389,-1.0122439024390246
ENGINEERING,ASL,160,240,descending,whipsaw,down,241,4.0,8.61,8.83,0.2200000000000006,skipped_risk_gt_6pct,9.19,,9.124043766090471,0.5140437660904738,242.0,,243.0,242,False,False,-1.0,,-0.3696183331723558,-1.0000000000000002,-1.0000000000000002,8.61,9.796,True,-1.0000000000000002,2.5551684088269524,0.07827272727272706,-1.0782727272727273
ENGINEERING,ASL,1320,1400,descending,down,down,1401,1.0,18.24,19.0,0.7600000000000016,skipped_risk_gt_6pct,20.15,,20.870578121106405,2.6305781211064065,,,,1491,False,True,6.499999999999984,,1.877914197021551,,6.499999999999984,18.24,19.52845,True,6.499999999999984,4.166666666666676,0.0479999999999999,5.476999999999986
ENGINEERING,ASL,2400,2480,descending,down,down,2481,4.0,10.2,10.68,0.4800000000000004,skipped_risk_gt_6pct,11.0,,11.203202029245,1.0032020292449992,2486.0,,,2486,False,False,-1.0,,-0.029904245730622,-1.0,-1.0,10.2,12.7355,True,-1.0,4.705882352941181,0.04249999999999996,-1.0425
ENGINEERING,ASLPS,360,440,ascending,up,up,448,1.0,5.7582,5.051,0.7072000000000003,no_valid_consolidation,,,4.844228571428571,0.9139714285714292,483.0,,492.0,483,False,False,-1.0,,-0.9726781080996588,,-1.0,5.7582,5.193765,True,-1.0,12.28161578270988,0.016284502262443434,-1.0162845022624434
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,up,2681,4.0,656.9995,654.7233,2.276200000000017,ok,629.32,27.67949999999996,618.2140110046948,38.78548899530517,2682.0,2771.0,,2682,False,False,-1.0,0.8773785653642593,0.6261465467907246,-1.0033828310341797,-1.0033828310341797,656.9995,534.4702575,True,-1.0033828310341797,0.3464538405280395,0.5772774800105396,-1.5806603110447193
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,4121,3.0,170.19,168.0,2.1899999999999977,ok,166.32,3.870000000000005,162.6741557377049,7.515844262295104,4123.0,4123.0,4123.0,4123,True,False,-1.0,-1.0,-1.0,-1.0,-1.0,170.19,148.226416,True,-1.0,1.2867971091133426,0.15542465753424675,-1.1554246575342468
INSURANCE,ATIL,1320,1400,ascending,up,up,1413,4.0,10.46,10.133,0.3270000000000017,ok,9.85,0.6100000000000012,9.887056475956475,0.5729435240435237,1430.0,1439.0,1439.0,1430,False,False,-1.0,-0.2296721311475411,-0.2445267188138383,-1.2198776758409755,-1.2198776758409755,10.46,9.584662,True,-1.2198776758409755,3.126195028680704,0.0639755351681954,-1.283853211009171
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,down,3721,4.0,379.1,384.8,5.699999999999989,ok,394.0,14.899999999999975,400.8588030815481,21.75880308154808,3722.0,3724.0,3726.0,3722,False,False,-1.0,-0.387919463087247,-0.2656396116246639,-1.0,-1.0,379.1,437.97004999999996,True,-1.0,1.503561065681875,0.13301754385964942,-1.1330175438596495
REFINERY,ATRL,1440,1520,ascending,sequential,up,1530,3.0,131.8,124.42,7.38000000000001,skipped_risk_gt_6pct,120.58,,124.87575834970534,6.924241650294675,1547.0,,1547.0,1547,True,False,-1.0,,-1.0,-1.0,-1.0,131.8,111.95055,True,-1.0,5.5993930197268655,0.03571815718157177,-1.0357181571815717
REFINERY,ATRL,2640,2720,ascending,up,up,2721,4.0,224.51,222.05,2.4599999999999795,no_valid_consolidation,,,201.2628842676312,23.2471157323688,2722.0,,,2722,False,False,-1.0,,-0.1032386136684589,-1.0,-1.0,224.51,211.0657,True,-1.0,1.0957195670571376,0.18252845528455436,-1.1825284552845543
REFINERY,ATRL,5000,5080,ascending,sequential,up,5081,3.0,704.88,679.0,25.879999999999995,skipped_risk_gt_6pct,660.33,,662.840962349633,42.03903765036705,5088.0,,5095.0,5088,False,False,-1.0,,-0.6365512032544434,-1.0,-1.0,704.88,645.4207,True,-1.0,3.6715469299738954,0.05447295208655334,-1.0544729520865532
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,2001,1.0,88.06,95.0,6.939999999999998,no_valid_consolidation,,,110.01091693862512,21.95091693862512,2024.0,,2026.0,2024,False,False,-1.0,,-0.4018055384502051,-1.0,-1.0,88.06,106.08709999999999,True,-1.0,7.880990233931408,0.025377521613832863,-1.0253775216138328
