sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,up,4.0,3723,86.0,85.41,86.5,False,85.41,-1.0,0.0
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,3.0,2619,620.0,641.5,625.0,False,641.5,-1.0,0.0
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,down,4.0,3930,755.01,770.0,769.7,False,770.0,-1.0000000000000002,-2.220446049250313e-16
CEMENT,ACPL,80,160,ascending,up,up,4.0,162,43.8009,42.0944,41.8669,True,41.8669,-1.133313800175798,-0.13331380017579808
CEMENT,ACPL,600,680,descending,down,down,3.0,729,56.7137,60.5249,57.4531,False,60.5249,-0.9999999999999999,1.1102230246251565e-16
CEMENT,ACPL,3880,3960,ascending,down,down,1.0,3977,168.26,172.74,162.48,False,172.74,-1.0,0.0
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,1.0,248,216.0,217.0,215.0,False,217.0,-1.0,0.0
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,1.0,627,61.95,63.9,63.35,False,63.9,-0.9999999999999999,1.1102230246251565e-16
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,down,3.0,2621,78.0,83.5,79.9,False,83.5,-1.0,0.0
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,up,4.0,1296,9.44,8.56,8.73,False,8.56,-1.0,0.0
INSURANCE,AGIC,1280,1360,descending,up,up,4.0,1367,6.5442,6.4527,6.4832,False,6.4527,-1.0000000000000002,-2.220446049250313e-16
INSURANCE,AGIC,1960,2040,symmetrical,up,up,4.0,2054,24.2548,23.6446,23.7209,False,23.6446,-1.0,0.0
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1.0,1378,69.91,68.0,69.01,False,68.0,-0.9999999999999999,1.1102230246251565e-16
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,down,4.0,2009,70.5,71.75,71.0,False,71.75,-1.0,0.0
