symbol,start,end,leg_index,entry_bar,entry_price,lfd_level,r_lfd_denom,exit_bar,exit_type,realized_R
ABL,1000,1080,0,1091,62.15,64.39,2.240000000000002,1181,horizon,4.638392857142853
ABOT,2520,2600,0,2604,620.0,641.5,21.5,2619,lfd,-1.0
ACPL,600,680,0,695,56.7137,60.5249,3.8111999999999995,729,lfd,-1.0
ACPL,600,680,1,775,56.3155,59.1597,2.8442000000000007,865,horizon,12.264081288235706
ACPL,2440,2520,0,2521,137.1967,144.5117,7.314999999999998,2611,horizon,1.5468352699931633
ACPL,3720,3800,0,3801,145.63,142.1,3.530000000000001,3891,horizon,6.991501416430594
ACPL,3880,3960,0,3961,168.26,172.74,4.480000000000018,3977,lfd,-1.0
ACPL,3880,3960,1,3978,162.79,174.25,11.460000000000008,4068,horizon,2.325479930191971
ADMM,160,240,0,241,216.0,217.0,1.0,248,lfd,-1.0
ADMM,160,240,1,249,210.0,220.0,10.0,263,lfd,-1.0
ADMM,160,240,2,264,230.0,225.0,-5.0,268,lfd,-1.0
ADMM,160,240,3,269,218.9,225.75,6.849999999999994,279,lfd,-1.0
ADMM,520,600,0,601,61.95,63.9,1.9499999999999957,627,lfd,-1.0
ADMM,520,600,1,628,63.4,64.0,0.6000000000000014,630,lfd,-1.0
ADMM,520,600,2,631,62.7,65.0,2.299999999999997,721,horizon,8.934782608695665
ADMM,1960,2040,0,2041,88.05,83.5,4.549999999999997,2131,horizon,0.4285714285714295
ADMM,2520,2600,0,2613,78.0,83.5,5.5,2621,lfd,-1.0
ADMM,2520,2600,1,2622,76.0,84.49,8.489999999999995,2712,horizon,0.11778563015312139
AGIL,1240,1320,0,1324,69.91,68.0,1.9099999999999966,1378,lfd,-1.0
AGIL,1240,1320,1,1379,67.83,67.0,0.8299999999999983,1382,lfd,-1.0
AGIL,1240,1320,2,1383,69.07,66.45,2.6199999999999903,1473,horizon,-0.3129770992366398
AGIL,1400,1480,0,1481,67.49,70.03,2.5400000000000063,1506,lfd,-1.0
AGIL,1400,1480,1,1510,66.46,67.5,1.0400000000000063,1600,horizon,4.29807692307689
AGIL,1520,1600,0,1602,65.0,61.3,3.700000000000003,1692,horizon,10.578378378378371
AGP,1840,1920,0,1932,200.24,194.0,6.240000000000009,1976,lfd,-1.0
AGP,1840,1920,1,1978,197.78,185.5,12.280000000000001,1980,lfd,-1.0
AGP,1840,1920,2,1983,203.89,187.9,15.98999999999998,1985,lfd,-1.0
AGP,1840,1920,3,1987,192.08,185.0,7.0800000000000125,1991,lfd,-1.0
AGTL,4480,4560,0,4575,335.67,342.85,7.180000000000007,4581,lfd,-1.0
AGTL,4480,4560,1,4583,332.93,343.0,10.069999999999993,4586,lfd,-1.0
AHCL,3240,3320,0,3323,32.05,34.7,2.6500000000000057,3413,horizon,0.7735849056603746
AICL,1800,1880,0,1881,68.88,65.51,3.3699999999999903,1909,lfd,-1.0
AICL,1800,1880,1,1923,66.72,64.05,2.6700000000000017,2013,horizon,7.614232209737822
AKBL,1800,1880,0,1884,16.51,15.51,1.0000000000000018,1974,horizon,3.0199999999999942
ALTN,2400,2480,0,2481,4.8335,4.6326,0.20089999999999986,2492,lfd,-1.0
ALTN,2400,2480,1,2493,5.1593,4.6163,0.5430000000000001,2497,lfd,-1.0
ALTN,2400,2480,2,2498,5.0236,4.6027,0.4209000000000005,2508,lfd,-1.0
ALTN,2400,2480,3,2509,4.4398,4.3719,0.06789999999999985,2599,horizon,5.357879234167911
ALTN,2520,2600,0,2601,4.5212,5.0507,0.5294999999999996,2691,horizon,0.051369216241738576
ALTN,2600,2680,0,2681,4.5538,4.209,0.3448000000000002,2771,horizon,14.079756380510432
ANL,2360,2440,0,2441,5.22,5.58,0.3600000000000003,2515,lfd,-1.0
ANL,2360,2440,1,2516,6.01,5.58,-0.4299999999999997,2517,lfd,-1.0
ANL,2360,2440,2,2518,5.59,6.2,0.6100000000000003,2521,lfd,-1.0
ANL,2360,2440,3,2522,6.14,6.48,0.34000000000000075,2530,lfd,-1.0
ANL,3600,3680,0,3681,12.15,12.7,0.5499999999999989,3745,lfd,-1.0
APL,1400,1480,0,1483,166.0422,164.4244,1.6178000000000168,1509,lfd,-1.0
APL,1400,1480,1,1510,164.8421,163.5365,1.3055999999999983,1531,lfd,-1.0
APL,1400,1480,2,1532,160.2394,160.5031,-0.26370000000000005,1533,lfd,-1.0
APL,1400,1480,3,1534,160.1997,159.9316,0.268100000000004,1535,lfd,-1.0
APL,1560,1640,0,1644,189.8517,183.319,6.5327000000000055,1734,horizon,1.1514075344038464
APL,4120,4200,0,4216,236.0668,230.2376,5.829200000000014,4306,horizon,7.847251766966289
ARUJ,640,720,0,721,22.59,18.9,3.6900000000000013,743,lfd,-1.0
ARUJ,640,720,1,744,17.79,18.75,-0.9600000000000009,745,lfd,-1.0
ARUJ,640,720,2,746,16.9,16.8,0.09999999999999787,749,lfd,-1.0
ARUJ,640,720,3,750,17.54,16.5,1.0399999999999991,758,lfd,-1.0
ASL,1320,1400,0,1401,18.24,19.0,0.7600000000000016,1491,horizon,6.499999999999984
ASLPS,360,440,0,448,5.7582,5.051,0.7072000000000003,483,lfd,-1.0
ASLPS,360,440,1,484,5.4686,4.8692,0.5994000000000002,492,lfd,-1.0
ASLPS,360,440,2,499,5.5831,4.9163,0.6668000000000003,522,lfd,-1.0
ASLPS,360,440,3,535,5.9265,5.2531,0.6734,540,lfd,-1.0
ATBA,4040,4120,0,4121,170.19,168.0,2.1899999999999977,4123,lfd,-1.0
ATBA,4040,4120,1,4124,167.53,161.0,6.530000000000001,4127,lfd,-1.0
ATBA,4040,4120,2,4129,167.2,158.0,9.199999999999989,4219,horizon,6.784782608695663
ATRL,1440,1520,0,1530,131.8,124.42,7.38000000000001,1547,lfd,-1.0
ATRL,1440,1520,1,1568,132.04,124.75,7.289999999999992,1575,lfd,-1.0
ATRL,5000,5080,0,5081,704.88,679.0,25.879999999999995,5088,lfd,-1.0
ATRL,5000,5080,1,5089,700.98,674.1,26.879999999999995,5093,lfd,-1.0
ATRL,5000,5080,2,5108,709.85,646.0,63.85000000000002,5120,lfd,-1.0
ATRL,5000,5080,3,5143,692.56,655.0,37.559999999999945,5187,lfd,-1.0
AVN,560,640,0,643,17.9872,17.0358,0.9514000000000031,669,lfd,-1.0
AVN,560,640,1,672,17.5778,16.4937,1.0840999999999994,762,horizon,12.913292131722175
AVN,1920,2000,0,2001,88.06,95.0,6.939999999999998,2024,lfd,-1.0
AVN,1920,2000,1,2025,103.98,96.88,-7.1000000000000085,2026,lfd,-1.0
AVN,1920,2000,2,2027,108.65,110.1,1.4499999999999886,2117,horizon,19.97931034482774
BAHL,4120,4200,0,4208,68.79,76.39,7.599999999999994,4298,horizon,1.5065789473684226
BCL,760,840,0,845,45.07,47.14,2.0700000000000003,935,horizon,7.4685990338164245
BERG,2280,2360,0,2362,98.86,111.3,12.439999999999998,2452,horizon,0.5498392282958203
BHAT,1160,1240,0,1250,899.09,799.99,99.10000000000002,1333,lfd,-1.0
BHAT,1160,1240,1,1334,847.52,799.99,47.52999999999997,1411,lfd,-1.0
BHAT,1160,1240,2,1412,895.0,792.0,103.0,1414,lfd,-1.0
BHAT,1160,1240,3,1415,765.0,726.06,38.940000000000055,1469,horizon,1.9689265536723126
BHAT,1240,1320,0,1321,899.54,927.7,28.160000000000082,1348,lfd,-1.0
BHAT,1240,1320,1,1349,868.74,934.8,66.05999999999995,1358,lfd,-1.0
BHAT,1240,1320,2,1359,858.23,935.0,76.76999999999998,1362,lfd,-1.0
BHAT,1240,1320,3,1363,856.52,973.0,116.48000000000002,1381,lfd,-1.0
BOK,440,520,0,530,13.6,14.0,0.40000000000000036,552,lfd,-1.0
BOK,440,520,1,553,13.25,14.4,1.1500000000000004,576,lfd,-1.0
BOK,440,520,2,578,13.4,14.1,0.6999999999999993,609,lfd,-1.0
BOK,440,520,3,615,13.53,13.66,0.13000000000000078,616,lfd,-1.0
BPL,720,800,0,802,31.5,32.92,1.4200000000000017,892,horizon,6.239436619718302
BWHL,1400,1480,0,1492,48.9582,45.9466,3.0116000000000014,1582,horizon,5.317339620135476
CENI,3480,3560,0,3595,26.49,25.0,1.4899999999999984,3685,horizon,7.7449664429530305
CHBL,360,440,0,441,10.85,9.9,0.9499999999999993,531,horizon,0.6842105263157904
CHCC,1560,1640,0,1642,5.3047,5.6385,0.3337999999999992,1660,lfd,-1.0
CHCC,2280,2360,0,2361,58.85,58.04,0.8100000000000023,2376,lfd,-1.0
CHCC,2280,2360,1,2377,60.21,58.0,2.210000000000001,2467,horizon,9.203619909502256
CLOV,1480,1560,0,1561,91.0,84.45,6.549999999999997,1651,horizon,4.995419847328246
CPPL,3160,3240,0,3246,168.95,160.1,8.849999999999994,3291,lfd,-1.0
CPPL,4480,4560,0,4561,124.0,126.9,2.9000000000000057,4651,horizon,7.468965517241363
CRTM,2240,2320,0,2326,27.5,28.49,0.9899999999999984,2339,lfd,-1.0
CRTM,2240,2320,1,2340,27.09,28.5,1.4100000000000001,2345,lfd,-1.0
CRTM,3560,3640,0,3641,18.68,18.0,0.6799999999999997,3649,lfd,-1.0
CRTM,3560,3640,1,3650,17.98,18.0,-0.019999999999999574,3652,lfd,-1.0
CRTM,3560,3640,2,3653,17.95,17.7,0.25,3654,lfd,-1.0
