sector,symbol,start,end,kind,outcome,direction,type_trigger,n_legs,n_reentries,cap_bound,chain_realized_R,original_realized_R_lfd,final_leg_exit_type
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,down,1.0,1,0,False,4.638392857142853,4.638392857142853,horizon
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,3.0,1,0,False,-1.0,-1.0,lfd
CEMENT,ACPL,600,680,descending,down,down,3.0,2,1,False,11.264081288235706,-1.0,horizon
CEMENT,ACPL,2440,2520,ascending,down,down,1.0,1,0,False,1.5468352699931633,1.5468352699931631,horizon
CEMENT,ACPL,3720,3800,descending,up,up,1.0,1,0,False,6.991501416430594,6.991501416430594,horizon
CEMENT,ACPL,3880,3960,ascending,down,down,1.0,2,1,False,1.325479930191971,-1.0,horizon
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,1.0,4,3,True,-4.0,-1.0,lfd
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,1.0,3,2,False,6.934782608695665,-1.0,horizon
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,up,1.0,1,0,False,0.4285714285714295,0.4285714285714295,horizon
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,down,3.0,2,1,False,-0.8822143698468786,-1.0,horizon
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1.0,3,2,False,-2.31297709923664,-1.0,horizon
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,down,3.0,2,1,False,3.2980769230768896,-0.1417322834645663,horizon
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,up,2.0,1,0,False,10.578378378378371,10.578378378378371,horizon
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,down,3.0,2,1,False,-2.0,-1.0,lfd
FERTILIZER,AHCL,3240,3320,descending,down,down,2.0,1,0,False,0.7735849056603746,0.7735849056603746,horizon
INSURANCE,AICL,1800,1880,ascending,sequential,up,3.0,2,1,False,6.614232209737822,-1.0,horizon
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,up,3.0,1,0,False,3.0199999999999942,3.0199999999999942,horizon
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,up,3.0,4,3,False,2.3578792341679113,-1.0,horizon
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,down,1.0,1,0,False,0.051369216241738576,0.0513692162417385,horizon
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,up,1.0,1,0,False,14.079756380510432,14.079756380510432,horizon
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,down,1.0,4,3,True,-4.0,-1.0,lfd
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,down,2.0,1,0,False,-1.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,up,2.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,up,1.0,1,0,False,1.1514075344038464,1.1514075344038464,horizon
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,up,2.0,1,0,False,7.847251766966289,7.847251766966289,horizon
TEXTILE COMPOSITE,ARUJ,640,720,symmetrical,up,up,1.0,4,3,True,-4.0,-1.0,lfd
ENGINEERING,ASL,1320,1400,descending,down,down,1.0,1,0,False,6.499999999999984,6.499999999999984,horizon
ENGINEERING,ASLPS,360,440,ascending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,3.0,3,2,False,4.784782608695663,-1.0,horizon
REFINERY,ATRL,1440,1520,ascending,sequential,up,3.0,2,1,False,-2.0,-1.0,lfd
REFINERY,ATRL,5000,5080,ascending,sequential,up,3.0,4,3,True,-4.0,-1.0,lfd
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,up,3.0,2,1,False,11.913292131722175,-1.0,horizon
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,1.0,3,2,False,17.97931034482774,-1.0,horizon
COMMERCIAL BANKS,BAHL,4120,4200,ascending,down,down,1.0,1,0,False,1.5065789473684226,1.5065789473684226,horizon
ENGINEERING,BCL,760,840,ascending,down,down,1.0,1,0,False,7.4685990338164245,7.468599033816424,horizon
CHEMICAL,BERG,2280,2360,symmetrical,down,down,3.0,1,0,False,0.5498392282958203,-0.2098070739549839,horizon
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,up,2.0,4,3,False,-1.0310734463276874,-1.0,horizon
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,down,1.0,4,3,True,-4.0,-1.0,lfd
COMMERCIAL BANKS,BOK,440,520,descending,down,down,3.0,4,3,True,-4.0,-1.0,lfd
OIL & GAS MARKETING COMPANIES,BPL,720,800,descending,down,down,2.0,1,0,False,6.239436619718302,6.239436619718302,horizon
AUTOMOBILE PARTS & ACCESSORIES,BWHL,1400,1480,ascending,up,up,1.0,1,0,False,5.317339620135476,5.317339620135476,horizon
INSURANCE,CENI,3480,3560,symmetrical,up,up,3.0,1,0,False,7.7449664429530305,7.7449664429530305,horizon
TEXTILE COMPOSITE,CHBL,360,440,descending,up,up,1.0,1,0,False,0.6842105263157904,0.6842105263157904,horizon
CEMENT,CHCC,1560,1640,descending,sequential,down,3.0,1,0,False,-1.0,-1.0,lfd
CEMENT,CHCC,2280,2360,symmetrical,up,up,1.0,2,1,False,8.203619909502256,-1.0,horizon
FOOD & PERSONAL CARE PRODUCTS,CLOV,1480,1560,descending,up,up,1.0,1,0,False,4.995419847328246,4.995419847328246,horizon
PAPER & BOARD,CPPL,3160,3240,symmetrical,up,up,2.0,1,0,False,-1.0,-1.0,lfd
PAPER & BOARD,CPPL,4480,4560,ascending,down,down,2.0,1,0,False,7.468965517241363,7.468965517241363,horizon
TEXTILE COMPOSITE,CRTM,2240,2320,descending,sequential,down,3.0,2,1,False,-2.0,-1.0,lfd
TEXTILE COMPOSITE,CRTM,3560,3640,descending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
ENGINEERING,CSAP,4920,5000,descending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
INSURANCE,CYAN,640,720,descending,up,up,1.0,1,0,False,405.3372781064736,405.3372781064736,horizon
INSURANCE,CYAN,4120,4200,descending,up,up,1.0,2,1,False,13.893617021276519,-1.0,horizon
CHEMICAL,DAAG,840,920,symmetrical,up,up,2.0,4,3,True,-4.0,-0.1636363636363637,lfd
CEMENT,DCL,2520,2600,ascending,down,down,1.0,1,0,False,4.416666666666654,4.416666666666654,horizon
CEMENT,DGKC,680,760,descending,up,up,1.0,4,3,True,-4.0,-1.0,lfd
CEMENT,DGKC,1480,1560,symmetrical,down,down,1.0,3,2,False,-3.0,-1.0,lfd
CEMENT,DGKC,2920,3000,ascending,down,down,3.0,1,0,False,5.752717391304349,5.752717391304349,horizon
CHEMICAL,DOL,3560,3640,symmetrical,down,down,2.0,4,3,False,-0.9371727748691114,-1.0,horizon
ENGINEERING,DSL,3080,3160,ascending,sequential,down,3.0,4,3,True,-4.0,-1.0,lfd
ENGINEERING,DSL,4000,4080,descending,up,up,3.0,1,0,False,1.5087719298245612,1.5087719298245612,horizon
ENGINEERING,DSL,4360,4440,descending,down,down,1.0,3,2,False,0.9310344827586206,-1.0,horizon
MISCELLANEOUS,ECOP,4920,5000,ascending,up,up,2.0,1,0,False,-0.08552631578947519,-0.0855263157894751,horizon
FERTILIZER,EFERT,520,600,descending,down,down,1.0,3,2,False,-1.575471698113219,-1.0,horizon
INSURANCE,EFUG,1680,1760,symmetrical,up,up,1.0,1,0,False,0.4483792184724689,0.4483792184724689,horizon
FERTILIZER,ENGRO,80,160,descending,up,up,1.0,1,0,False,6.9140693568468805,6.9140693568468805,horizon
FERTILIZER,ENGRO,1280,1360,descending,up,up,2.0,1,0,False,4.3116899748988216,4.3116899748988216,horizon
FERTILIZER,ENGRO,1320,1400,ascending,up,up,2.0,1,0,False,4.399513184584149,4.399513184584149,horizon
FERTILIZER,ENGRO,1840,1920,symmetrical,sequential,down,3.0,2,1,False,-2.0,-1.0,lfd
FERTILIZER,ENGRO,1880,1960,ascending,up,up,1.0,1,0,False,3.9946524064171123,3.994652406417112,horizon
POWER GENERATION & DISTRIBUTION,EPQL,960,1040,descending,up,up,2.0,4,3,True,-4.0,-1.0,lfd
AUTOMOBILE PARTS & ACCESSORIES,EXIDE,4160,4240,ascending,down,down,1.0,1,0,False,3.040184551272508,3.040184551272508,horizon
TEXTILE COMPOSITE,FASM,120,200,descending,down,down,1.0,1,0,False,0.8611111111111075,0.8611111111111075,horizon
TEXTILE COMPOSITE,FASM,360,440,symmetrical,up,up,1.0,1,0,False,57.82812499999994,57.82812499999994,horizon
FERTILIZER,FATIMA,1240,1320,symmetrical,up,up,1.0,1,0,False,3.965034965034967,3.965034965034967,horizon
FOOD & PERSONAL CARE PRODUCTS,FCEPL,720,800,descending,up,up,1.0,1,0,False,14.626984126984073,14.626984126984071,horizon
FOOD & PERSONAL CARE PRODUCTS,FCEPL,2920,3000,descending,up,up,2.0,1,0,False,2.937046004842619,-0.1549636803874078,horizon
FOOD & PERSONAL CARE PRODUCTS,FCEPL,3280,3360,symmetrical,sequential,up,3.0,2,1,False,-0.6250000000000002,-1.0,horizon
CEMENT,FECTC,3520,3600,symmetrical,up,up,2.0,4,3,True,-4.0,-1.0,lfd
CEMENT,FECTC,4240,4320,descending,down,down,3.0,2,1,False,-2.0,-0.6575757575757587,lfd
FERTILIZER,FFC,400,480,ascending,down,down,2.0,4,3,True,-4.0,-1.0,lfd
FERTILIZER,FFC,3520,3600,symmetrical,up,up,2.0,1,0,False,4.311403508771927,4.311403508771927,horizon
CEMENT,FLYNG,160,240,descending,down,down,1.0,1,0,False,20.571428571428594,20.571428571428594,horizon
CEMENT,FLYNG,1320,1400,symmetrical,down,down,3.0,4,3,True,-4.0,-1.0,lfd
CEMENT,FLYNG,3680,3760,descending,down,down,1.0,1,0,False,4.4210526315789584,4.4210526315789584,horizon
TEXTILE COMPOSITE,GATM,1000,1080,ascending,up,up,2.0,4,3,False,23.644859813084103,-1.0,horizon
TEXTILE COMPOSITE,GFIL,1720,1800,ascending,down,down,1.0,2,1,False,-1.35,-1.0,horizon
GLASS & CERAMICS,GHGL,40,120,descending,down,down,3.0,1,0,False,-1.0,-1.0,lfd
GLASS & CERAMICS,GHGL,3200,3280,descending,down,down,3.0,1,0,False,1.3790849673202632,1.3790849673202632,horizon
GLASS & CERAMICS,GHGL,3880,3960,ascending,down,down,2.0,4,3,False,0.1313131313131266,-1.0,horizon
AUTOMOBILE ASSEMBLER,GHNI,920,1000,symmetrical,down,down,1.0,1,0,False,2.587621627043836,2.587621627043836,horizon
AUTOMOBILE ASSEMBLER,GHNI,1360,1440,descending,up,up,2.0,1,0,False,5.344363216621776,5.344363216621776,horizon
AUTOMOBILE ASSEMBLER,GHNI,4040,4120,symmetrical,down,down,2.0,1,0,False,-1.0,-1.0,lfd
PHARMACEUTICALS,GLAXO,1480,1560,ascending,down,down,2.0,2,1,False,-0.6470588235294092,-1.0,horizon
PHARMACEUTICALS,GLAXO,3400,3480,symmetrical,down,down,1.0,1,0,False,7.431451612903259,7.431451612903259,horizon
GLASS & CERAMICS,GVGL,720,800,symmetrical,down,down,1.0,4,3,True,-4.0,-1.0,lfd
CEMENT,GWLC,2720,2800,descending,down,down,2.0,1,0,False,16.337278106508826,16.337278106508826,horizon
COMMERCIAL BANKS,HBL,2040,2120,descending,up,up,1.0,2,1,False,10.29879518072288,-1.0,horizon
COMMERCIAL BANKS,HBL,3800,3880,descending,sequential,down,3.0,1,0,False,-1.0,-1.0,lfd
AUTOMOBILE ASSEMBLER,HINO,1840,1920,descending,up,up,3.0,3,2,False,-0.30600038399333385,-1.0,horizon
COMMERCIAL BANKS,HMB,1080,1160,ascending,down,down,1.0,1,0,False,3.9244444444444513,3.9244444444444513,horizon
COMMERCIAL BANKS,HMB,4960,5040,descending,up,up,2.0,3,2,False,-1.8642297650130546,-1.0,horizon
OIL & GAS MARKETING COMPANIES,HTL,1560,1640,descending,down,down,2.0,1,0,False,8.589285714285715,8.589285714285715,horizon
POWER GENERATION & DISTRIBUTION,HUBC,1320,1400,descending,up,up,1.0,1,0,False,1.9722222222222276,1.972222222222228,horizon
TECHNOLOGY & COMMUNICATION,HUMNL,3640,3720,symmetrical,down,down,2.0,1,0,False,1.246153846153848,1.246153846153848,horizon
PHARMACEUTICALS,IBLHL,3920,4000,symmetrical,down,down,3.0,4,3,True,-4.0,-1.0,lfd
INSURANCE,IGIL,2120,2200,descending,down,down,2.0,1,0,False,2.664041994750661,2.664041994750661,horizon
TEXTILE COMPOSITE,ILP,800,880,ascending,down,down,2.0,1,0,False,5.3618090452261224,5.361809045226122,horizon
