symbol,date,prev,close,chg
AHCL,2025-03-27,109.69,11.58,0.8944297565867445
BECO,2025-11-17,71.41,8.14,0.8860103626943006
BELA,2023-11-20,1.3,2.06,0.5846153846153846
BNL,2025-12-08,128.56,14.15,0.889934660858743
CLCPS,2024-06-06,1.0,2.0,1.0
CLOV,2026-04-20,70.01,6.89,0.901585487787459
CLVLR,2022-08-05,0.3,0.08,0.7333333333333333
DATM,2023-01-23,0.5,0.88,0.76
DATM,2023-01-25,1.08,2.08,0.9259259259259258
FLYNGR1,2022-03-17,0.09,0.01,0.888888888888889
FNBM,2020-04-01,1.02,0.25,0.7549019607843137
FNBM,2020-04-02,0.25,1.0,3.0
GCIL,2021-08-11,54.22,13.79,0.7456658059756548
GCIL,2022-11-14,8.58,34.74,3.048951048951049
HSMPSR,2021-12-24,1.01,2.01,0.9900990099009899
HSMPSR,2022-01-14,0.36,0.07,0.8055555555555556
KASBM,2020-03-13,0.86,1.38,0.6046511627906975
KASBM,2020-03-19,0.7,1.15,0.6428571428571428
KASBM,2021-02-11,1.65,2.65,0.6060606060606061
KML,2025-10-06,144.24,14.3,0.9008596783139212
KOHC,2025-08-25,549.99,108.18,0.8033055146457209
KTML,2025-09-15,297.39,57.56,0.8064494434917112
LCI,2025-07-21,1799.84,368.98,0.7949928882567339
LUCK,2025-04-28,1751.45,358.88,0.7950954923063748
MARI,2024-09-16,3536.83,415.9,0.8824088237206764
MDTL,2020-04-20,0.8,1.24,0.5499999999999999
META,2022-09-16,123.06,25.03,0.7966032829514058
MFFL,2020-11-19,499.7,220.16,0.5594156493896337
NRSL,2021-08-17,18.72,39.47,1.108440170940171
PAKRI,2022-04-20,32.0,11.0,0.65625
PHDL,2024-07-12,695.02,1.01,0.9985468044085063
PHDL,2024-07-15,1.01,1.96,0.9405940594059405
PHDL,2024-07-18,1.96,2.96,0.5102040816326531
PIL,2020-09-10,1.21,1.84,0.5206611570247935
PPVC,2020-04-02,1.39,2.1,0.510791366906475
SJTM,2020-03-19,10.69,25.0,1.3386342376052387
SMBL,2021-05-21,1.59,2.59,0.6289308176100628
SPLC,2020-03-12,0.53,0.98,0.8490566037735848
SYS,2025-06-02,544.1,103.4,0.8099614041536483
THCCL,2025-07-14,195.37,39.98,0.7953626452372422
UBL,2025-06-23,524.19,261.81,0.500543695988096
UNITYR3,2021-12-24,1.15,1.79,0.5565217391304349
UNITYR3,2022-01-05,1.48,2.27,0.5337837837837838
WHALE,2022-07-15,7.3,15.2,1.0821917808219177
