symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-100,2005-01-03,6232.5,"6,232.50",6257.44,6208.98,6221.59,ksestocks.com/MarketSummary,2026-07-03T11:29:42.739304+00:00,1,1,1,,1,,6257.44,6208.98,6221.59,
KSE-100,2005-01-04,6230.79,"6,230.79",6301.6,6221.81,6297.75,ksestocks.com/MarketSummary,2026-07-03T11:29:45.849699+00:00,1,1,1,,1,,6301.6,6221.81,6297.75,
KSE-100,2005-01-05,6321.87,"6,321.87",6359.12,6283.1,6285.68,ksestocks.com/MarketSummary,2026-07-03T11:29:49.589584+00:00,1,1,1,,1,,6359.12,6283.1,6285.68,
KSE-100,2005-01-06,6321.87,"6,321.87",6359.12,6306.77,6353.45,ksestocks.com/MarketSummary,2026-07-03T11:29:52.948527+00:00,1,1,1,,1,,6359.12,6306.77,6353.45,
KSE-100,2005-01-07,6361.85,"6,361.85",6398.11,6235.57,6318.9,ksestocks.com/MarketSummary,2026-07-03T11:29:56.949175+00:00,1,1,1,,1,,6398.11,6235.57,6318.9,
KSE-100,2005-01-10,6364.88,"6,364.88",6500.73,6364.88,6484.14,ksestocks.com/MarketSummary,2026-07-03T11:30:01.197480+00:00,1,1,1,,1,,6500.73,6364.88,6484.14,
KSE-100,2005-01-11,6515.16,"6,515.16",6710.03,6515.16,6709.93,ksestocks.com/MarketSummary,2026-07-03T11:30:05.377742+00:00,1,1,1,,1,,6710.03,6515.16,6709.93,
KSE-100,2005-01-12,6714.24,"6,714.24",6784.33,6651.4,6657.57,ksestocks.com/MarketSummary,2026-07-03T11:30:09.198409+00:00,1,1,1,,1,,6784.33,6651.4,6657.57,
KSE-100,2005-01-13,6681.9,"6,681.90",6709.88,6418.29,6426.17,ksestocks.com/MarketSummary,2026-07-03T11:30:13.250092+00:00,1,1,1,,1,,6709.88,6418.29,6426.17,
KSE-100,2005-01-14,6440.93,"6,440.93",6589.53,6370.37,6559.98,ksestocks.com/MarketSummary,2026-07-03T11:30:16.938734+00:00,1,1,1,,1,,6589.53,6370.37,6559.98,
KSE-100,2005-01-17,6559.61,"6,559.61",6654.15,6532.45,6633.01,ksestocks.com/MarketSummary,2026-07-03T11:30:20.743191+00:00,1,1,1,,1,,6654.15,6532.45,6633.01,
KSE-100,2005-01-18,6647.34,"6,647.34",6665.22,6594.78,6603.55,ksestocks.com/MarketSummary,2026-07-03T11:30:24.946089+00:00,1,1,1,,1,,6665.22,6594.78,6603.55,
KSE-100,2005-01-19,6617.63,"6,617.63",6763.32,6613.08,6746.4,ksestocks.com/MarketSummary,2026-07-03T11:30:29.621243+00:00,1,1,1,,1,,6763.32,6613.08,6746.4,
KSE-100,2005-01-24,6807.64,"6,807.64",6891.74,6807.64,6861.97,ksestocks.com/MarketSummary,2026-07-03T11:30:39.080042+00:00,1,1,1,,1,,6891.74,6807.64,6861.97,
KSE-100,2005-01-25,6886.65,"6,886.65",6937.22,6843.95,6887.58,ksestocks.com/MarketSummary,2026-07-03T11:30:43.278088+00:00,1,1,1,,1,,6937.22,6843.95,6887.58,
KSE-100,2005-01-26,6900.49,"6,900.49",6987.69,6831.85,6904.56,ksestocks.com/MarketSummary,2026-07-03T11:30:48.350345+00:00,1,1,1,,1,,6987.69,6831.85,6904.56,
KSE-100,2005-01-27,6933.88,"6,933.88",6973.47,6863.64,6952.82,ksestocks.com/MarketSummary,2026-07-03T11:30:52.284971+00:00,1,1,1,,1,,6973.47,6863.64,6952.82,
KSE-100,2005-01-28,6951.93,"6,951.93",6999.11,6722.9,6798.01,ksestocks.com/MarketSummary,2026-07-03T11:30:55.960294+00:00,1,1,1,,1,,6999.11,6722.9,6798.01,
KSE-100,2005-01-31,6788.07,"6,788.07",6841.58,6688.95,6747.39,ksestocks.com/MarketSummary,2026-07-03T11:31:00.427085+00:00,1,1,1,,1,,6841.58,6688.95,6747.39,
KSE-100,2005-02-01,6764.31,"6,764.31",6896.7,6762.65,6869.28,ksestocks.com/MarketSummary,2026-07-03T11:31:05.284074+00:00,1,1,1,,1,,6896.7,6762.65,6869.28,
KSE-100,2005-02-02,6899.4,"6,899.40",6977.05,6893.77,6949.88,ksestocks.com/MarketSummary,2026-07-03T11:31:09.331064+00:00,1,1,1,,1,,6977.05,6893.77,6949.88,
KSE-100,2005-02-03,6973.93,"6,973.93",7040.21,6973.48,7014.71,ksestocks.com/MarketSummary,2026-07-03T11:31:12.908836+00:00,1,1,1,,1,,7040.21,6973.48,7014.71,
KSE-100,2005-02-04,7022.37,"7,022.37",7043.07,6959.03,6968.46,ksestocks.com/MarketSummary,2026-07-03T11:31:16.504142+00:00,1,1,1,,1,,7043.07,6959.03,6968.46,
