symbol,anchor_index,anchor_date,outcome,breakout_direction,support_level,resistance_level,height_pct,duration_days
786,3,2005-01-13,REJECTED_INSUFFICIENT_TOUCHES,,6.3,26.09,3.141269841269841,7854
786,6,2005-01-24,VALID,up,9.5,8.0,0.15789473684210525,935
786,10,2005-02-07,EXPIRED_NO_BREAKOUT,,7.5,8.5,0.13333333333333333,60
786,14,2005-02-16,VALID,up,9.5,8.5,0.10526315789473684,912
786,17,2005-02-23,VALID,up,9.5,8.5,0.10526315789473684,905
786,22,2005-04-18,VALID,up,9.5,8.5,0.10526315789473684,851
786,23,2005-05-09,REJECTED_INSUFFICIENT_TOUCHES,,5.95,26.09,3.384873949579832,7738
786,30,2005-09-06,VALID,up,9.5,8.0,0.15789473684210525,710
786,34,2005-11-02,EXPIRED_NO_BREAKOUT,,5.5,26.09,3.7436363636363637,60
786,40,2005-12-01,EXPIRED_NO_BREAKOUT,,2.0,9.85,3.925,60
786,43,2005-12-08,EXPIRED_NO_BREAKOUT,,6.6,26.09,2.9530303030303036,60
786,45,2005-12-15,VALID,up,9.5,8.5,0.10526315789473684,610
786,48,2006-01-16,REJECTED_TOO_SHORT,,7.6,8.5,0.118421052631579,4
786,61,2006-02-06,REJECTED_INSUFFICIENT_TOUCHES,,2.0,15.25,6.625,7465
786,66,2006-02-17,VALID,up,12.8,8.5,0.33593750000000006,636
786,68,2006-02-21,EXPIRED_NO_BREAKOUT,,9.5,14.5,0.5263157894736842,60
786,81,2006-04-20,REJECTED_INSUFFICIENT_TOUCHES,,10.0,26.09,1.609,7392
786,95,2006-06-13,REJECTED_INSUFFICIENT_TOUCHES,,2.0,15.0,6.5,7338
786,101,2006-09-28,EXPIRED_NO_BREAKOUT,,9.5,14.55,0.5315789473684212,60
786,104,2006-10-17,VALID,up,11.1,8.5,0.2342342342342342,283
786,108,2006-12-13,EXPIRED_NO_BREAKOUT,,2.0,12.65,5.325,60
786,116,2007-01-26,EXPIRED_NO_BREAKOUT,,8.25,26.09,2.1624242424242426,60
786,126,2007-03-21,EXPIRED_NO_BREAKOUT,,9.5,11.0,0.15789473684210525,60
786,129,2007-03-30,EXPIRED_NO_BREAKOUT,,9.5,11.0,0.15789473684210525,60
786,133,2007-04-18,VALID,up,9.5,8.5,0.10526315789473684,64
786,136,2007-05-30,EXPIRED_NO_BREAKOUT,,9.5,12.0,0.2631578947368421,60
786,140,2007-06-19,EXPIRED_NO_BREAKOUT,,9.5,11.95,0.2578947368421052,60
786,142,2007-06-21,REJECTED_TOO_SHORT,,9.5,8.5,0.10526315789473684,0
786,151,2007-07-12,EXPIRED_NO_BREAKOUT,,2.0,16.15,7.074999999999999,60
786,157,2007-07-27,REJECTED_TOO_SHORT,,11.1,8.5,0.2342342342342342,0
786,161,2007-08-02,EXPIRED_NO_BREAKOUT,,11.65,26.09,1.2394849785407724,60
786,165,2007-08-09,EXPIRED_NO_BREAKOUT,,2.0,13.7,5.85,60
786,170,2007-08-17,REJECTED_TOO_SHORT,,9.5,8.5,0.10526315789473684,0
786,184,2007-09-13,REJECTED_INSUFFICIENT_TOUCHES,,2.0,19.5,8.75,6881
786,186,2007-09-25,VALID,up,17.6,8.5,0.5170454545454546,141
786,189,2007-10-01,REJECTED_INSUFFICIENT_TOUCHES,,2.0,19.95,8.975,6863
786,194,2007-10-18,VALID,up,16.0,8.5,0.46875,97
786,198,2007-10-24,VALID,up,9.5,19.0,1.0,42
786,200,2007-10-26,VALID,up,9.5,19.0,1.0,40
786,207,2007-11-15,REJECTED_TOO_SHORT,,12.65,8.5,0.32806324110671936,0
786,216,2007-12-10,REJECTED_INSUFFICIENT_TOUCHES,,2.0,21.5,9.75,6793
786,221,2007-12-17,REJECTED_INSUFFICIENT_TOUCHES,,18.05,26.09,0.44542936288088636,6786
786,224,2007-12-31,EXPIRED_NO_BREAKOUT,,2.0,20.8,9.4,60
786,230,2008-01-23,REJECTED_TOO_SHORT,,16.0,8.5,0.46875,0
786,236,2008-02-13,REJECTED_TOO_SHORT,,17.5,8.5,0.5142857142857142,0
786,243,2008-02-25,EXPIRED_NO_BREAKOUT,,2.0,26.0,12.0,60
786,246,2008-02-29,REJECTED_TOO_SHORT,,23.5,8.5,0.6382978723404256,19
786,247,2008-03-03,VALID,up,9.5,27.3,1.8736842105263158,31
786,251,2008-03-07,REJECTED_TOO_SHORT,,24.0,8.5,0.6458333333333334,4
786,253,2008-03-11,REJECTED_TOO_SHORT,,24.0,8.5,0.6458333333333334,0
786,255,2008-03-13,VALID,up,9.5,27.0,1.8421052631578947,21
786,257,2008-03-19,REJECTED_TOO_SHORT,,23.75,8.5,0.6421052631578947,0
786,277,2008-04-21,REJECTED_INSUFFICIENT_TOUCHES,,2.0,46.35,22.175,6660
786,291,2008-05-12,REJECTED_INSUFFICIENT_TOUCHES,,28.5,26.09,0.08456140350877193,6639
786,298,2008-05-21,REJECTED_INSUFFICIENT_TOUCHES,,2.0,37.59,17.795,6630
786,304,2008-05-29,REJECTED_TOO_SHORT,,25.65,8.5,0.6686159844054581,4
786,306,2008-06-02,REJECTED_TOO_SHORT,,25.65,8.5,0.6686159844054581,0
786,309,2008-06-05,EXPIRED_NO_BREAKOUT,,2.0,30.6,14.3,60
786,316,2008-06-16,REJECTED_TOO_SHORT,,25.575,8.5,0.667644183773216,0
786,319,2008-06-24,REJECTED_INSUFFICIENT_TOUCHES,,2.0,31.85,14.925,6596
786,330,2009-03-31,VALID,up,5.0,1.9,0.62,3458
786,336,2009-04-08,REJECTED_INSUFFICIENT_TOUCHES,,2.0,7.4,2.7,6308
786,338,2009-04-10,REJECTED_INSUFFICIENT_TOUCHES,,5.21,26.09,4.007677543186181,6306
786,344,2009-04-23,EXPIRED_NO_BREAKOUT,,4.25,8.5,1.0,60
786,350,2009-05-04,EXPIRED_NO_BREAKOUT,,4.15,8.5,1.0481927710843373,60
786,351,2009-05-05,VALID,down,9.5,5.98,0.37052631578947365,108
786,361,2009-05-20,EXPIRED_NO_BREAKOUT,,4.5,8.5,0.8888888888888888,60
786,366,2009-06-03,REJECTED_INSUFFICIENT_TOUCHES,,4.62,26.09,4.647186147186146,6252
786,369,2009-06-24,VALID,down,9.5,6.19,0.3484210526315789,48
786,379,2009-07-22,EXPIRED_NO_BREAKOUT,,4.01,8.5,1.119700748129676,60
786,381,2009-07-27,EXPIRED_NO_BREAKOUT,,2.0,6.49,2.245,60
786,386,2009-08-04,REJECTED_TOO_SHORT,,4.2,8.5,1.0238095238095237,9
786,389,2009-08-11,REJECTED_TOO_SHORT,,9.5,6.28,0.3389473684210526,0
786,391,2009-08-13,EXPIRED_NO_BREAKOUT,,4.0,8.5,1.125,60
786,395,2009-08-21,REJECTED_TOO_SHORT,,9.5,5.98,0.37052631578947365,0
786,396,2009-08-25,REJECTED_INSUFFICIENT_TOUCHES,,4.4,26.09,4.929545454545454,6169
786,401,2009-09-14,REJECTED_TOO_SHORT,,9.5,6.015000000000001,0.36684210526315786,0
786,406,2009-09-28,VALID,down,4.5,8.5,0.8888888888888888,30
786,414,2009-10-09,EXPIRED_NO_BREAKOUT,,2.0,6.79,2.395,60
786,423,2009-10-28,EXPIRED_NO_BREAKOUT,,3.8,8.5,1.236842105263158,60
786,424,2009-10-30,EXPIRED_NO_BREAKOUT,,2.0,5.2,1.6,60
786,428,2009-11-06,REJECTED_INSUFFICIENT_TOUCHES,,2.0,5.08,1.54,6096
786,430,2009-11-11,VALID,down,4.0,8.5,1.125,27
786,434,2009-11-17,VALID,down,4.005,4.95,0.23595505617977536,24
786,435,2009-11-19,REJECTED_TOO_SHORT,,4.01,8.5,1.119700748129676,19
786,442,2009-12-08,EXPIRED_NO_BREAKOUT,,3.81,8.5,1.2309711286089238,60
786,444,2009-12-11,REJECTED_TOO_SHORT,,4.005,4.9,0.223470661672909,0
786,447,2009-12-17,EXPIRED_NO_BREAKOUT,,3.52,8.5,1.4147727272727273,60
786,449,2009-12-21,EXPIRED_NO_BREAKOUT,,2.0,5.5,1.75,60
786,452,2009-12-24,VALID,down,4.029999999999999,8.5,1.1091811414392063,53
786,458,2010-01-08,VALID,down,4.005,4.98,0.24344569288389528,38
786,459,2010-01-11,VALID,down,4.0,8.5,1.125,35
786,462,2010-01-14,EXPIRED_NO_BREAKOUT,,2.0,5.69,1.8450000000000002,60
786,470,2010-02-02,VALID,down,3.5,4.98,0.422857142857143,36
786,471,2010-02-03,REJECTED_TOO_SHORT,,4.005,4.75,0.18601747815230965,12
786,474,2010-02-10,REJECTED_TOO_SHORT,,4.005,4.75,0.18601747815230965,5
786,479,2010-02-18,REJECTED_INSUFFICIENT_TOUCHES,,3.25,26.09,7.027692307692307,5992
786,481,2010-02-22,REJECTED_TOO_SHORT,,4.005,4.99,0.2459425717852685,16
786,483,2010-03-05,REJECTED_TOO_SHORT,,4.005,4.99,0.2459425717852685,5
786,491,2010-03-19,REJECTED_INSUFFICIENT_TOUCHES,,2.0,4.23,1.1150000000000002,5963
786,491,2010-03-19,REJECTED_INSUFFICIENT_TOUCHES,,2.55,26.09,9.231372549019609,5963
786,496,2010-04-02,REJECTED_INSUFFICIENT_TOUCHES,,2.0,3.98,0.99,5949
786,498,2010-04-16,VALID,up,2.35,1.9,0.19148936170212774,983
786,503,2010-04-27,REJECTED_INSUFFICIENT_TOUCHES,,2.0,3.88,0.94,5924
786,503,2010-04-27,VALID,up,2.11,1.9,0.09952606635071089,945
786,512,2010-05-19,EXPIRED_NO_BREAKOUT,,1.21,2.79,1.3057851239669422,60
786,513,2010-05-25,REJECTED_HEIGHT_FLOOR,,1.91,1.9,0.005235602094240842,1567
786,519,2010-06-09,REJECTED_INSUFFICIENT_TOUCHES,,1.5,26.09,16.393333333333334,5881
786,524,2010-06-22,EXPIRED_NO_BREAKOUT,,1.05,4.98,3.7428571428571433,60
786,525,2010-06-23,VALID,down,4.005,2.09,0.4781523096129838,239
786,529,2010-06-29,EXPIRED_NO_BREAKOUT,,1.15,4.98,3.3304347826086964,60
786,530,2010-06-30,EXPIRED_NO_BREAKOUT,,1.21,2.93,1.4214876033057853,60
786,536,2010-07-08,EXPIRED_NO_BREAKOUT,,1.21,3.3,1.7272727272727273,60
786,545,2010-07-23,EXPIRED_NO_BREAKOUT,,2.0,2.44,0.21999999999999997,60
786,547,2010-07-27,REJECTED_INSUFFICIENT_TOUCHES,,1.68,26.09,14.529761904761905,5833
786,549,2010-07-30,REJECTED_INSUFFICIENT_TOUCHES,,2.0,2.69,0.345,5830
786,558,2010-08-17,EXPIRED_NO_BREAKOUT,,1.21,2.25,0.859504132231405,60
786,558,2010-08-17,REJECTED_INSUFFICIENT_TOUCHES,,0.5,26.09,51.18,5812
786,565,2010-08-31,VALID,down,4.005,2.05,0.48813982521847693,248
786,567,2010-09-02,REJECTED_INSUFFICIENT_TOUCHES,,1.0,26.09,25.09,5796
