test,n_hi,n_lo,hi_mean,hi_median,lo_mean,lo_median,mean_delta,mwu_two_p,mwu_one_p,t_stat,t_p,cliffs_delta,insufficient_n_flag,survives_bonferroni,family
"[ALL ERAS] ROC_5 quartile (n=279,659)",69915,69915,1.3478208528797513,-0.4164029753551878,0.7234655792396377,-0.2100840336134409,0.6243552736401136,0.16738378548469968,0.08369189274234984,9.619117689510004,6.745603467530831e-22,0.004263411181615329,False,False,ROC_5 quartile
"[ALL ERAS] ROC_10 quartile (n=279,659)",69915,69915,1.4250381218523565,-0.3283009940761049,0.6261495257004005,-0.24630541871920658,0.798888596151956,6.594502053155873e-05,3.2972510265779366e-05,12.275893203339365,1.2724504707350551e-34,0.012322357147147134,False,True,ROC_10 quartile
"[ALL ERAS] Volume multiplier @ 1.5x (n=279,504)",30949,248555,1.2727224704056428,-0.3986377676284945,0.6755390053275742,-0.3257728282430617,0.5971834650780686,0.8312769366088768,0.5843615608304707,7.374751357359587,1.6825144181484316e-13,-0.0007414980465015875,False,False,vol_multiplier@1.5x
"[ALL ERAS] Combined ROC_10-Q4 + vol>1.5x (n=279,504)",18153,261351,1.6088804318733658,-0.5315026021481608,0.6814287250708136,-0.3221352968246677,0.9274517068025522,0.14081031486254902,0.9295948553982198,8.362356384374593,6.557420039176659e-17,-0.0065265820680573405,False,False,combined_vol@1.5x
"[Development] ROC_5 quartile (n=100,686)",25172,25172,0.9054856515298202,-0.3458823349258814,0.300672765251147,-0.5303214891412559,0.6048128862786732,2.92923894491696e-05,1.46461947245848e-05,6.34143276035505,2.2958075794357492e-10,0.021506101268150335,False,True,ROC_5 quartile
"[Development] ROC_10 quartile (n=100,686)",25172,25172,0.9119658125933598,-0.3749924398209761,0.3098339976372025,-0.537913705032909,0.6021318149561574,8.67060718787612e-05,4.33530359393806e-05,6.286063190818887,3.2829499744463597e-10,0.02019978599989103,False,True,ROC_10 quartile
"[Development] Volume multiplier @ 1.5x (n=100,686)",10819,89867,0.9358611202825531,-0.4048885755186685,0.1626757027591824,-0.5730413958262074,0.7731854175233707,9.928808258832754e-05,4.964404129416377e-05,6.784255763097396,1.2189272737676577e-11,0.02286870052751233,False,True,vol_multiplier@1.5x
"[Development] Combined ROC_10-Q4 + vol>1.5x (n=100,686)",5960,94726,1.2459299774451595,-0.4787215011178881,0.18282748321076828,-0.560744740308247,1.0631024942343912,0.08682798117607694,0.04341399058803847,6.195136814675878,6.188257905838223e-10,0.013202820087098166,False,False,combined_vol@1.5x
"[Validation] ROC_5 quartile (n=75,066)",18767,18767,0.9472350265116292,-0.689013035381759,0.1722851826426276,-0.5612594113620761,0.7749498438690016,0.0021015894582674176,0.0010507947291337088,6.045805937879989,1.5007112234965968e-09,0.01833060108590656,False,True,ROC_5 quartile
"[Validation] ROC_10 quartile (n=75,066)",18767,18767,0.9347720334562052,-0.6749156355455623,0.4027150948834911,-0.3821906529192773,0.5320569385727141,0.3625542228060361,0.18127711140301805,4.113220699556594,3.9101499595380206e-05,0.0054268410892757135,False,False,ROC_10 quartile
"[Validation] Volume multiplier @ 1.5x (n=75,058)",7528,67530,-0.2521755755225282,-0.9819970189482492,0.23995008573428012,-0.7218883501731801,-0.4921256612568083,3.2258827397025434e-05,0.999983870625878,-3.177911081810039,0.0014885855836907996,-0.029162360712513657,False,False,vol_multiplier@1.5x
"[Validation] Combined ROC_10-Q4 + vol>1.5x (n=75,058)",4471,70587,0.06831135029770653,-1.2320328542094556,0.198337250625771,-0.7246376811594305,-0.1300259003280645,0.001051334959382877,0.9994743338451975,-0.5950088742463951,0.5518656469228664,-0.029172601775283913,False,False,combined_vol@1.5x
"[OOS] ROC_5 quartile (n=103,907)",25977,25977,1.9999295899908744,-0.27883960831544163,1.6239686586979594,0.39682539682538837,0.3759609312929151,4.6215102589609925e-09,0.999999997689253,3.266968353229774,0.0010877761700420789,-0.02968798539287809,False,False,ROC_5 quartile
"[OOS] ROC_10 quartile (n=103,907)",25977,25977,2.166744041327534,-0.12832263978001884,1.2649758662847153,0.18862840204796627,0.9017681750428186,0.37344532668968855,0.8132774937206539,7.8454459318549645,4.3987059148211005e-15,-0.0045089235019049045,False,False,ROC_10 quartile
"[OOS] Volume multiplier @ 1.5x (n=103,760)",12602,91158,2.472844311123702,-0.08820287088189463,1.5038240286063738,0.19101289831903162,0.9690202825173284,0.0528789044567939,0.9735605672052616,6.651485792293904,3.006947635793288e-11,-0.010622436954731085,False,False,vol_multiplier@1.5x
"[OOS] Combined ROC_10-Q4 + vol>1.5x (n=103,760)",7664,96096,2.714294113583252,-0.2855919416010756,1.5343617291248193,0.18767888515238262,1.1799323844584326,0.0014231158075279427,0.9992884430718996,6.345873299750803,2.3279728446026438e-10,-0.0218602943681232,False,False,combined_vol@1.5x
