symbol,anchor_index,anchor_date,outcome,breakout_direction,support_level,resistance_level,height_pct,duration_days
786,3,2005-01-13,REJECTED_INSUFFICIENT_TOUCHES,,6.3,26.09,3.141269841269841,7854
786,14,2005-02-16,VALID,up,9.5,8.5,0.10526315789473684,912
786,23,2005-05-09,REJECTED_INSUFFICIENT_TOUCHES,,5.95,26.09,3.384873949579832,7738
786,40,2005-12-01,EXPIRED_NO_BREAKOUT,,2.0,9.85,3.925,60
786,48,2006-01-16,REJECTED_TOO_SHORT,,7.6,8.5,0.118421052631579,4
786,68,2006-02-21,EXPIRED_NO_BREAKOUT,,9.5,14.5,0.5263157894736842,60
786,101,2006-09-28,EXPIRED_NO_BREAKOUT,,9.5,14.55,0.5315789473684212,60
786,116,2007-01-26,EXPIRED_NO_BREAKOUT,,8.25,26.09,2.1624242424242426,60
786,133,2007-04-18,VALID,up,9.5,8.5,0.10526315789473684,64
786,142,2007-06-21,REJECTED_TOO_SHORT,,9.5,8.5,0.10526315789473684,0
786,161,2007-08-02,EXPIRED_NO_BREAKOUT,,11.65,26.09,1.2394849785407724,60
786,184,2007-09-13,REJECTED_INSUFFICIENT_TOUCHES,,2.0,19.5,8.75,6881
786,194,2007-10-18,VALID,up,16.0,8.5,0.46875,97
786,207,2007-11-15,REJECTED_TOO_SHORT,,12.65,8.5,0.32806324110671936,0
786,224,2007-12-31,EXPIRED_NO_BREAKOUT,,2.0,20.8,9.4,60
786,243,2008-02-25,EXPIRED_NO_BREAKOUT,,2.0,26.0,12.0,60
786,251,2008-03-07,REJECTED_TOO_SHORT,,24.0,8.5,0.6458333333333334,4
786,257,2008-03-19,REJECTED_TOO_SHORT,,23.75,8.5,0.6421052631578947,0
786,298,2008-05-21,REJECTED_INSUFFICIENT_TOUCHES,,2.0,37.59,17.795,6630
786,309,2008-06-05,EXPIRED_NO_BREAKOUT,,2.0,30.6,14.3,60
786,330,2009-03-31,VALID,up,5.0,1.9,0.62,3458
786,344,2009-04-23,EXPIRED_NO_BREAKOUT,,4.25,8.5,1.0,60
786,361,2009-05-20,EXPIRED_NO_BREAKOUT,,4.5,8.5,0.8888888888888888,60
786,379,2009-07-22,EXPIRED_NO_BREAKOUT,,4.01,8.5,1.119700748129676,60
786,389,2009-08-11,REJECTED_TOO_SHORT,,9.5,6.28,0.3389473684210526,0
786,396,2009-08-25,REJECTED_INSUFFICIENT_TOUCHES,,4.4,26.09,4.929545454545454,6169
786,414,2009-10-09,EXPIRED_NO_BREAKOUT,,2.0,6.79,2.395,60
786,428,2009-11-06,REJECTED_INSUFFICIENT_TOUCHES,,2.0,5.08,1.54,6096
786,435,2009-11-19,REJECTED_TOO_SHORT,,4.01,8.5,1.119700748129676,19
786,447,2009-12-17,EXPIRED_NO_BREAKOUT,,3.52,8.5,1.4147727272727273,60
