date,sector,signal_type,strength,description,buy_ratio,buy_ratio_3d,consec_buy_days,vol_zscore,ret_5d_pct,smart_net_vol,confidence_note,outcome,fwd_5d_actual,fwd_10d_actual,action,trigger
2026-06-02,TECH. & COMM.,DISTRIBUTION_WARNING,MODERATE,Persistent selling pressure — avoid or watch for short,0.313,0.393,0.0,0.29,1.64,-18330563.0,Insufficient historical data — building baseline,LOSS,1.41,,,
2026-06-01,TECH. & COMM.,DISTRIBUTION_WARNING,MODERATE,,0.313,0.393,0.0,0.29,5.99,,,LOSS,1.22,,🔴 AVOID,Persistent selling pressure
2026-06-03,TECH. & COMM.,DISTRIBUTION_WARNING,MODERATE,,0.508,0.366,0.0,0.22,4.52,,,BREAKEVEN,0.63,,🔴 AVOID,Persistent selling pressure
2026-06-03,TEXTILE COMP.,DISTRIBUTION_WARNING,STRONG,,0.462,0.343,0.0,-0.18,-0.11,,,LOSS,3.93,,🔴 AVOID,Persistent selling pressure
2026-06-04,TEXTILE COMP.,DISTRIBUTION_WARNING,STRONG,,0.091,0.199,0.0,-0.31,-7.16,,,BREAKEVEN,-0.0,,🔴 AVOID,Persistent selling pressure
2026-06-05,TEXTILE COMP.,DISTRIBUTION_WARNING,STRONG,,0.492,0.348,0.0,-0.3,-1.72,,,LOSS,7.62,,🔴 AVOID,Persistent selling pressure
2026-06-08,OIL & GAS EXP.,SUSTAINED_ACCUMULATION,MODERATE,,0.552,0.634,3.0,-0.21,-0.33,,,WIN,3.13,,🟢 BUY BIAS,3+ day buy streak
2026-06-08,OIL & GAS EXP.,ACCUMULATION_DIVERGENCE,MODERATE,,0.552,0.634,3.0,-0.21,-0.33,,,WIN,3.13,,🟢 BUY BIAS,Strong buying into flat sector
2026-06-08,POWER GEN.,SUSTAINED_ACCUMULATION,MODERATE,,0.572,0.584,3.0,-0.27,1.99,,,WIN,4.27,,🟢 BUY BIAS,3+ day buy streak
2026-06-08,TEXTILE COMP.,DISTRIBUTION_WARNING,STRONG,,0.426,0.337,0.0,-0.29,10.73,,,WIN,-4.75,,🔴 AVOID,Persistent selling pressure
2026-06-09,CEMENT,DISTRIBUTION_WARNING,MODERATE,,0.301,0.396,0.0,-0.09,-2.88,,,LOSS,7.64,,🔴 AVOID,Persistent selling pressure
2026-06-09,TEXTILE COMP.,DISTRIBUTION_WARNING,MODERATE,,0.224,0.381,0.0,-0.05,-0.0,,,LOSS,4.09,,🔴 AVOID,Persistent selling pressure
2026-06-15,CEMENT,DISTRIBUTION_WARNING,MODERATE,,0.487,0.391,0.0,3.7,7.64,,,WIN,-1.05,,🔴 AVOID,Persistent selling pressure
2026-06-15,POWER GEN.,VOLUME_SPIKE_BUYING,MODERATE,,0.636,0.567,1.0,3.8,3.29,,,WIN,3.96,,🟢 BUY BIAS,Volume surge + buying
2026-06-15,TEXTILE COMP.,DISTRIBUTION_WARNING,MODERATE,,0.49,0.388,0.0,3.7,4.09,,,LOSS,12.64,,🔴 AVOID,Persistent selling pressure
2026-06-16,FERTILIZER,VOLUME_SPIKE_BUYING,MODERATE,,0.664,0.56,1.0,3.03,2.15,,,BREAKEVEN,0.11,,🟢 BUY BIAS,Volume surge + buying
2026-06-16,TEXTILE COMP.,DISTRIBUTION_WARNING,STRONG,,0.302,0.326,0.0,2.27,4.09,,,WIN,-17.99,,🔴 AVOID,Persistent selling pressure
2026-06-17,TEXTILE COMP.,DISTRIBUTION_WARNING,MODERATE,,0.37,0.388,0.0,2.95,-5.26,,,LOSS,4.6,,🔴 AVOID,Persistent selling pressure
2026-06-18,FERTILIZER,SUSTAINED_ACCUMULATION,MODERATE,,0.554,0.592,3.0,1.9,3.0,,,PENDING,,,🟢 BUY BIAS,3+ day buy streak
2026-06-18,TEXTILE COMP.,DISTRIBUTION_WARNING,MODERATE,,0.445,0.372,0.0,3.33,-0.12,,,PENDING,,,🔴 AVOID,Persistent selling pressure
2026-06-24,POWER GEN.,DISTRIBUTION_WARNING,MODERATE,,0.599,0.357,1.0,3.19,3.55,,,PENDING,,,🔴 AVOID,Persistent selling pressure
