Sector,Stage2_StartDate,Stocks_In_Stage2_On_Date,Hist_Rank,Total_Sectors_Then,Ranking_Percentile_On_Date,In_Top35_YesNo,Momentum_Label,Hist_30d_Perf_Pct,Current_30d_Perf_Pct,Current_Percentile,Current_Momentum
AUTOMOBILE ASSEMBLER,2020-10-20,2,17,22,27.3,No,Recovering,-7.56,4.75,82.8,Cooling Down
POWER GENERATION & DISTRIBUTION,2020-10-20,2,13,22,45.5,No,Recovering,-6.57,-1.28,10.3,Recovering
PHARMACEUTICALS,2020-10-20,1,11,22,54.5,No,Stabilising,-4.67,-0.01,20.7,Recovering
PAPER & BOARD,2020-10-20,5,5,22,81.8,Yes,Recovering,-3.13,5.12,86.2,Cooling Down
OIL & GAS MARKETING COMPANIES,2020-10-20,4,6,22,77.3,Yes,Stabilising,-3.16,2.59,72.4,Cooling Down
MISCELLANEOUS,2020-10-20,1,7,22,72.7,Yes,Stabilising,-3.77,1.26,44.8,Heating Up
TRANSPORT,2020-10-20,1,9,22,63.6,No,Recovering,-4.01,0.0,27.6,Heating Up
TECHNOLOGY & COMMUNICATION,2020-10-20,3,20,22,13.6,No,Stabilising,-11.81,3.08,75.9,Heating Up
INSURANCE,2020-10-20,1,2,22,95.5,Yes,Recovering,-1.5,0.08,34.5,Heating Up
PROPERTY,2020-10-20,1,21,22,9.1,No,Recovering,-13.39,5.13,89.7,Cooling Down
GLASS & CERAMICS,2020-10-20,1,4,22,86.4,Yes,Recovering,-2.84,0.73,37.9,Heating Up
FERTILIZER,2020-10-20,2,1,22,100.0,Yes,Heating Up,0.34,2.26,65.5,Heating Up
ENGINEERING,2020-10-20,2,18,22,22.7,No,Recovering,-8.04,3.93,79.3,Cooling Down
COMMERCIAL BANKS,2020-10-20,4,10,22,59.1,No,Recovering,-4.14,1.81,58.6,Heating Up
TEXTILE COMPOSITE,2020-10-20,2,3,22,90.9,Yes,Recovering,-2.12,-0.4,17.2,Recovering
CHEMICAL,2020-10-20,1,16,22,31.8,No,Recovering,-7.23,1.71,55.2,Heating Up
CEMENT,2020-10-20,9,8,22,68.2,Yes,Stabilising,-3.78,9.25,100.0,Heating Up
CABLE & ELECTRICAL GOODS,2020-10-20,2,14,22,40.9,No,Recovering,-6.69,2.12,62.1,Cooling Down
FOOD & PERSONAL CARE PRODUCTS,2020-10-20,3,15,22,36.4,No,Stabilising,-7.11,1.63,51.7,Cooling Down
REFINERY,2020-10-20,2,22,22,4.5,No,Recovering,-14.92,-4.06,6.9,Recovering
AUTOMOBILE PARTS & ACCESSORIES,2020-10-21,1,13,22,45.5,No,Recovering,-4.81,-0.69,13.8,Recovering
OIL & GAS EXPLORATION COMPANIES,2020-12-01,1,1,22,100.0,Yes,Cooling Down,10.65,5.51,93.1,Cooling Down
LEATHER & TANNERIES,2024-10-28,1,11,28,64.3,No,Rolling Over,2.19,5.96,96.6,Cooling Down
INV. BANKS / INV. COS. / SECURITIES COS.,2024-10-28,3,25,28,14.3,No,Recovering,-2.3,0.0,31.0,Cooling Down
SYNTHETIC & RAYON,2024-11-08,1,25,28,14.3,No,Recovering,-0.88,0.75,41.4,Cooling Down
CLOSE - END MUTUAL FUND,2024-11-12,1,5,28,85.7,Yes,Cooling Down,15.93,2.42,69.0,Cooling Down
TOBACCO,2024-11-29,1,28,28,3.6,No,Stabilising,-2.62,0.0,24.1,Cooling Down
VANASPATI & ALLIED INDUSTRIES,2024-12-11,1,1,28,100.0,Yes,Cooling Down,37.72,1.59,48.3,Heating Up
