sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,lfd_hit_bar,rolling_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,down,1091,1.0,62.15,64.39,2.240000000000002,skipped_risk_gt_6pct,66.56,,,,1181,False,True,4.638392857142853,
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,up,3721,4.0,86.0,85.41,0.5900000000000034,ok,84.56,1.4399999999999977,3723.0,3725.0,3723,False,False,-1.0,-0.3194444444444406
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,2604,3.0,620.0,641.5,21.5,skipped_risk_gt_6pct,680.64,,2619.0,,2619,False,False,-1.0,
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,down,3928,4.0,755.01,770.0,14.990000000000009,ok,797.9,42.889999999999986,3930.0,3943.0,3930,False,False,-1.0,-0.22755887153182547
CEMENT,ACPL,80,160,ascending,up,up,161,4.0,43.8009,42.0944,1.7064999999999984,skipped_risk_gt_6pct,39.7,,162.0,,162,False,False,-1.0,
CEMENT,ACPL,600,680,descending,down,down,695,3.0,56.7137,60.5249,3.8111999999999995,skipped_risk_gt_6pct,61.19,,729.0,,729,False,False,-1.0,
CEMENT,ACPL,2440,2520,ascending,down,down,2521,1.0,137.1967,144.5117,7.314999999999998,skipped_risk_gt_6pct,151.5,,,,2611,False,True,1.5468352699931633,
CEMENT,ACPL,3720,3800,descending,up,up,3801,1.0,145.63,142.1,3.530000000000001,ok,140.68,4.949999999999989,,,3891,False,True,6.991501416430594,4.985858585858598
CEMENT,ACPL,3880,3960,ascending,down,down,3961,1.0,168.26,172.74,4.480000000000018,skipped_risk_gt_6pct,181.8,,3977.0,,3977,False,False,-1.0,
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,241,1.0,216.0,217.0,1.0,skipped_risk_gt_6pct,245.38,,248.0,,248,False,False,-1.0,
TEXTILE COMPOSITE,ADMM,520,600,descending,down,down,601,1.0,61.95,63.9,1.9499999999999957,skipped_risk_gt_6pct,66.16,,627.0,,627,False,False,-1.0,
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,up,2041,1.0,88.05,83.5,4.549999999999997,skipped_risk_gt_6pct,81.67,,,,2131,False,True,0.4285714285714295,
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,down,2613,3.0,78.0,83.5,5.5,skipped_risk_gt_6pct,84.84,,2621.0,,2621,False,False,-1.0,
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,up,1284,4.0,9.44,8.56,0.879999999999999,skipped_risk_gt_6pct,7.93,,1296.0,,1296,False,False,-1.0,
INSURANCE,AGIC,1280,1360,descending,up,up,1361,4.0,6.5442,6.4527,0.09149999999999991,no_valid_consolidation,,,1367.0,,1367,False,False,-1.0,
INSURANCE,AGIC,1960,2040,symmetrical,up,up,2046,4.0,24.2548,23.6446,0.610199999999999,skipped_risk_gt_6pct,22.75,,2054.0,,2054,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,up,1324,1.0,69.91,68.0,1.9099999999999966,skipped_risk_gt_6pct,65.35,,1378.0,,1378,False,False,-1.0,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,down,1481,3.0,67.49,70.03,2.5400000000000063,ok,71.09,3.6000000000000085,1506.0,,1506,False,False,-1.0,-0.6361111111111113
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,up,1602,2.0,65.0,61.3,3.700000000000003,skipped_risk_gt_6pct,60.69,,,,1692,False,True,10.578378378378371,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,down,2001,4.0,70.5,71.75,1.25,ok,72.47,1.9699999999999989,2009.0,2009.0,2009,True,False,-1.0,-1.0
CHEMICAL,AGL,40,120,descending,sequential,down,125,4.0,21.46,23.75,2.289999999999999,skipped_risk_gt_6pct,24.78,,152.0,,152,False,False,-1.0,
CHEMICAL,AGL,640,720,symmetrical,down,down,733,4.0,11.36,11.7,0.33999999999999986,skipped_risk_gt_6pct,12.07,,738.0,,738,False,False,-1.0,
CHEMICAL,AGL,2640,2720,symmetrical,sequential,up,2721,4.0,4.09,3.94,0.1499999999999999,ok,3.88,0.20999999999999996,2730.0,2731.0,2730,False,False,-1.0,-0.5238095238095233
PHARMACEUTICALS,AGP,1840,1920,descending,up,up,1932,1.0,200.24,194.0,6.240000000000009,skipped_risk_gt_6pct,186.13,,1976.0,,1976,False,False,-1.0,
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,up,1737,4.0,152.0453,146.999,5.046300000000002,ok,145.52,6.525299999999987,1740.0,1812.0,1740,False,False,-1.0,-0.5107044886825153
