sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,down,1091,1.0,62.15,64.39,2.240000000000002,skipped_risk_gt_6pct,66.56,,66.97873873873874,4.828738738738743,,,,1181,False,True,4.638392857142853,,2.151700591428943
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,up,3721,4.0,86.0,85.41,0.5900000000000034,ok,84.56,1.4399999999999977,83.25227851605757,2.7477214839424278,3723.0,3725.0,3734.0,3723,False,False,-1.0,-0.3194444444444406,-0.16741143623479127
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,down,2604,3.0,620.0,641.5,21.5,skipped_risk_gt_6pct,680.64,,651.0088866238721,31.00888662387206,2619.0,,2619.0,2619,True,False,-1.0,,-1.0
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,down,3928,4.0,755.01,770.0,14.990000000000009,ok,797.9,42.889999999999986,800.1312470625098,45.12124706250984,3930.0,3943.0,3947.0,3930,False,False,-1.0,-0.22755887153182547,-0.21630607829785228
CEMENT,ACPL,80,160,ascending,up,up,161,4.0,43.8009,42.0944,1.7064999999999984,skipped_risk_gt_6pct,39.7,,40.03824375,3.762656249999999,162.0,,,162,False,False,-1.0,,-0.13604750633279275
CEMENT,ACPL,600,680,descending,down,down,695,3.0,56.7137,60.5249,3.8111999999999995,skipped_risk_gt_6pct,61.19,,61.5031086240948,4.789408624094797,729.0,,731.0,729,False,False,-1.0,,-0.6294722870028227
CEMENT,ACPL,2440,2520,ascending,down,down,2521,1.0,137.1967,144.5117,7.314999999999998,skipped_risk_gt_6pct,151.5,,152.91179660968663,15.71509660968664,,,,2611,False,True,1.5468352699931633,,0.720014663672221
CEMENT,ACPL,3720,3800,descending,up,up,3801,1.0,145.63,142.1,3.530000000000001,ok,140.68,4.949999999999989,141.4559090909091,4.174090909090893,,,,3891,False,True,6.991501416430594,4.985858585858598,5.912664706522947
CEMENT,ACPL,3880,3960,ascending,down,down,3961,1.0,168.26,172.74,4.480000000000018,skipped_risk_gt_6pct,181.8,,181.5212488732279,13.261248873227913,3977.0,,,3977,False,False,-1.0,,-0.05127722181376183
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,down,241,1.0,216.0,217.0,1.0,skipped_risk_gt_6pct,245.38,,242.0000146541618,26.000014654161788,248.0,,286.0,248,False,False,-1.0,,-0.15384606713518623
