id,created_date,direction,symbol,sector,sector_momentum,stock_perf_30d,stock_perf_10d,latest_close,support_level,resistance_level,entry_price,stop_loss,target_1r,target_2r,risk_pct,atr_pct,status,outcome,notes,quality_score,quality_checks,range_width_pct,range_window,sector_rank,breadth_score,source,actual_exit,actual_pl_pkr,actual_pl_pct,actual_rr,holding_days,exit_date,actual_entry,trade_source,reason_notes,quantity,trade_execution
261,2026-05-07,SHORT,BAFL,COMMERCIAL BANKS,Rolling Over,-44.14,-2.37,59.82,57.01,61.2,56.72,61.81,51.63,46.54,8.97,4.63,Pending,,,2,"{""Support tested >=2x"": false, ""Rising lows"": false, ""Volatility contracting"": true, ""Price near resistance"": true}",7.35,5,19,87.9,System,,,,,,,,System,,,Paper
262,2026-05-08,LONG,HTL,OIL & GAS MARKETING COMPANIES,Cooling Down,20.51,-11.54,43.84,41.5,45.5,45.73,41.09,50.37,55.01,10.15,4.96,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": false, ""Volatility contracting"": true, ""Price pulled back"": true}",9.64,5,2,84.6,System,,,,,,,,System,,,Paper
263,2026-05-08,SHORT,BAFL,COMMERCIAL BANKS,Rolling Over,-46.64,-7.67,59.08,57.01,61.2,56.72,61.81,51.63,46.54,8.97,4.91,Pending,,,2,"{""Support tested >=2x"": false, ""Rising lows"": false, ""Volatility contracting"": true, ""Price near resistance"": true}",7.35,5,22,84.6,System,,,,,,,,System,,,Paper
264,2026-05-11,LONG,HTL,OIL & GAS MARKETING COMPANIES,Cooling Down,20.51,-11.54,43.84,41.5,45.5,45.73,41.09,50.37,55.01,10.15,4.96,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": false, ""Volatility contracting"": true, ""Price pulled back"": true}",9.64,5,2,84.7,System,,,,,,,,System,,,Paper
265,2026-05-11,SHORT,BAFL,COMMERCIAL BANKS,Rolling Over,-46.64,-7.67,59.08,57.01,61.2,56.72,61.81,51.63,46.54,8.97,4.91,Pending,,,2,"{""Support tested >=2x"": false, ""Rising lows"": false, ""Volatility contracting"": true, ""Price near resistance"": true}",7.35,5,22,84.7,System,,,,,,,,System,,,Paper
267,2026-05-12,LONG,KOHE,POWER GENERATION & DISTRIBUTION,Cooling Down,18.87,14.99,16.57,15.65,17.5,17.59,15.49,19.69,21.79,11.94,3.19,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": false, ""Volatility contracting"": true, ""Price pulled back"": true}",11.82,5,1,86.8,System,,,,,,,,System,,,Paper
268,2026-05-12,LONG,MDTL,TECHNOLOGY & COMMUNICATION,Cooling Down,15.56,2.95,5.94,5.67,6.12,6.15,5.61,6.69,7.23,8.78,2.47,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": false, ""Volatility contracting"": true, ""Price pulled back"": true}",7.94,5,3,86.8,System,,,,,,,,System,,,Paper
269,2026-05-13,LONG,HCAR,AUTOMOBILE ASSEMBLER,Cooling Down,49.88,23.37,224.16,217.22,239.9,241.1,215.05,267.15,293.2,10.8,4.3,Pending,,,3,"{""Resistance tested >=2x"": false, ""Declining highs"": true, ""Volatility contracting"": true, ""Price pulled back"": true}",10.44,5,6,90.0,System,,,,,,,,System,,,Paper
270,2026-05-13,LONG,WTL,TECHNOLOGY & COMMUNICATION,Cooling Down,16.38,-6.9,1.35,1.32,1.41,1.42,1.31,1.53,1.64,7.75,1.72,Pending,,,3,"{""Resistance tested >=2x"": false, ""Declining highs"": true, ""Volatility contracting"": true, ""Price pulled back"": true}",6.82,5,3,90.0,System,,,,,,,,System,,,Paper
272,2026-05-14,LONG,NML,TEXTILE COMPOSITE,Cooling Down,21.5,-2.03,146.55,145.8,156.0,156.78,144.34,169.22,181.66,7.93,2.71,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": true, ""Volatility contracting"": true, ""Price pulled back"": false}",7.0,5,8,87.5,System,,,,,,,,System,,,Paper
273,2026-05-14,LONG,AIRLINK,TECHNOLOGY & COMMUNICATION,Cooling Down,20.25,6.87,149.11,140.0,155.01,155.79,138.6,172.98,190.17,11.03,2.46,Pending,,,2,"{""Resistance tested >=2x"": false, ""Declining highs"": false, ""Volatility contracting"": true, ""Price pulled back"": true}",10.72,5,3,87.5,System,,,,,,,,System,,,Paper
