symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse,entry_high,return_5d_breakout,return_10d_breakout,return_20d_breakout
AGHA,2021-02-02,pivot,38.04,0.11,0.787,0.787,0.787,0.013,0.4,uptrend,-0.0111,-0.015,-0.0769,0.0939,-0.1032,39.04,-0.0211,-0.025,-0.06
AGHA,2021-02-10,pivot,38.02,0.32,0.494,0.494,0.494,0.435,0.4,uptrend,-0.015,0.0493,-0.1848,0.0939,-0.2023,39.02,-0.025,0.039299999999999995,-0.06
AGHA,2021-06-25,pivot,33.77,0.05,0.405,0.405,0.405,0.541,0.19,uptrend,-0.0406,-0.0609,-0.0554,0.0119,-0.0809,34.77,-0.0506,-0.06,-0.06
AGHA,2021-06-28,pivot,33.7,3.13,0.412,0.412,0.412,0.588,0.27,uptrend,-0.0522,-0.0633,-0.0469,0.0175,-0.0758,34.7,-0.06,-0.06,-0.0569
AGHA,2022-08-26,pivot,15.18,0.86,0.312,0.563,0.563,0.25,1.42,uptrend,0.0376,-0.0159,-0.1007,0.0899,-0.1198,16.18,0.0276,-0.0259,-0.06
AGHA,2022-09-14,pivot,15.48,1.46,0.35,0.95,0.95,0.6,0.47,uptrend,-0.0693,0.0181,0.0032,0.0971,-0.1061,16.48,-0.06,0.008100000000000001,-0.0068000000000000005
AGHA,2023-05-04,pivot,11.47,0.35,0.743,0.743,0.743,0.086,0.82,uptrend,-0.034,-0.0603,-0.0917,-0.0042,-0.1129,12.47,-0.044000000000000004,-0.06,-0.06
AGHA,2023-05-05,pivot,11.49,2.84,0.474,0.93,0.93,0.456,0.51,uptrend,-0.0298,-0.0477,-0.1057,-0.0051,-0.1287,12.49,-0.0398,-0.0577,-0.06
AGHA,2023-07-31,pivot,10.47,1.05,0.69,0.69,0.69,0.167,0.22,uptrend,0.0631,0.1002,-0.0269,0.1317,-0.0724,11.47,0.0531,0.0902,-0.0369
AGHA,2023-08-03,pivot,11.48,3.22,0.438,0.438,0.438,0.427,1.05,uptrend,-0.1067,-0.0167,-0.2108,0.0167,-0.225,12.48,-0.06,-0.0267,-0.06
AGHA,2023-08-18,pivot,11.77,2.24,0.659,0.659,0.659,0.0,0.25,uptrend,-0.1113,-0.2075,-0.2042,-0.0167,-0.2385,12.77,-0.06,-0.06,-0.06
