symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse
AGHA,2021-02-02,pivot,38.04,0.11,0.787,0.787,0.787,0.013,0.4,uptrend,-0.0111,-0.015,-0.0769,0.0939,-0.1032
AGHA,2023-05-04,pivot,11.47,0.35,0.743,0.743,0.743,0.086,0.82,uptrend,-0.034,-0.0603,-0.0917,-0.0042,-0.1129
AGHA,2023-12-13,pivot,15.55,2.59,0.711,0.711,0.711,0.011,0.91,uptrend,-0.0966,-0.1414,-0.1333,-0.005,-0.1869
AGL,2020-08-26,pivot,5.32,0.31,0.8,0.8,0.8,0.0,0.64,uptrend,0.0218,-0.0073,-0.0491,0.1564,-0.0545
AGL,2022-03-28,pivot,5.89,0.68,0.625,0.708,0.708,0.083,0.06,uptrend,0.0739,0.2332,0.1461,0.3054,-0.0033
AGL,2022-07-20,pivot,6.59,4.96,0.878,0.878,0.878,0.02,0.19,uptrend,-0.0548,0.1941,0.1689,0.3052,-0.0815
AGL,2022-08-25,pivot,7.33,0.18,0.895,0.947,0.947,0.053,0.17,uptrend,-0.0453,-0.0586,-0.1425,0.0093,-0.2011
AGL,2023-10-03,pivot,8.15,1.02,0.742,0.742,0.742,0.0,0.75,uptrend,-0.0764,-0.0465,-0.2029,,-0.2208
AGP,2020-06-12,pivot,112.63,2.29,0.757,0.757,0.757,0.099,0.38,uptrend,0.0109,-0.0657,0.0262,0.0617,-0.0969
AGP,2020-09-04,pivot,117.12,1.72,0.709,0.709,0.709,0.291,1.2,uptrend,-0.0182,-0.0285,-0.1098,0.0072,-0.1224
AGP,2020-12-22,pivot,111.65,2.76,0.786,0.835,0.835,0.049,0.3,uptrend,-0.0005,0.0115,0.0038,0.0268,-0.0325
AGP,2021-01-04,pivot,113.51,0.56,0.877,0.881,0.881,0.004,0.53,uptrend,-0.0106,-0.0028,0.145,0.1968,-0.0286
AGP,2021-01-12,pivot,113.16,1.03,0.815,0.815,0.815,0.085,3.03,uptrend,0.0022,0.0411,0.0846,0.2193,-0.0088
AGP,2021-01-19,pivot,113.99,0.87,0.781,0.781,0.781,0.156,0.15,uptrend,0.0356,0.1747,0.1342,0.2129,-0.0096
AGP,2021-02-10,pivot,122.58,2.05,0.808,0.808,0.808,0.081,0.3,uptrend,0.0441,-0.0206,-0.1146,0.0555,-0.1405
AGP,2021-09-14,pivot,137.74,0.65,0.749,0.77,0.77,0.021,2.59,uptrend,-0.1546,-0.125,-0.2149,-0.0096,-0.2826
