symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse
AGHA,2021-02-02,pivot,38.04,0.11,0.787,0.787,0.787,0.013,0.4,uptrend,-0.0111,-0.015,-0.0769,0.0939,-0.1032
AGHA,2021-02-10,pivot,38.02,0.32,0.494,0.494,0.494,0.435,0.4,uptrend,-0.015,0.0493,-0.1848,0.0939,-0.2023
AGHA,2021-03-05,pivot,34.41,0.47,0.493,0.72,0.72,0.227,0.54,downtrend,-0.1349,-0.1,-0.1217,0.0166,-0.1686
AGHA,2021-03-26,pivot,31.03,0.03,0.789,0.789,0.789,0.053,0.19,downtrend,-0.0101,-0.0136,-0.0525,0.0209,-0.0624
AGHA,2021-05-26,pivot,29.89,0.47,0.556,0.556,0.556,0.0,1.25,downtrend,0.1036,0.1056,0.1318,0.2036,-0.0629
AGHA,2021-06-25,pivot,33.77,0.05,0.405,0.405,0.405,0.541,0.19,uptrend,-0.0406,-0.0609,-0.0554,0.0119,-0.0809
AGHA,2021-06-28,pivot,33.7,3.13,0.412,0.412,0.412,0.588,0.27,uptrend,-0.0522,-0.0633,-0.0469,0.0175,-0.0758
AGHA,2021-08-16,pivot,31.56,1.77,0.75,0.75,0.75,0.171,1.15,downtrend,0.0035,0.0028,-0.086,0.039,-0.0878
AGHA,2021-08-20,pivot,31.74,0.74,0.756,0.756,0.756,0.025,0.91,downtrend,-0.0346,-0.0453,-0.0896,0.0092,-0.1141
AGHA,2021-08-27,pivot,31.22,0.72,0.739,0.826,0.826,0.087,1.69,downtrend,-0.0148,-0.0606,-0.1186,0.0208,-0.1786
AGHA,2021-09-02,pivot,31.53,1.68,0.424,0.424,0.424,0.576,1.76,downtrend,-0.0653,-0.0913,-0.1407,-0.0059,-0.1863
AGHA,2021-09-06,pivot,30.98,0.84,0.686,0.686,0.686,0.314,0.82,downtrend,-0.0522,-0.0722,-0.1209,-0.0045,-0.1715
AGHA,2021-09-07,pivot,30.81,1.0,0.486,0.486,0.486,0.286,1.08,downtrend,-0.058,-0.0994,-0.1186,0.0026,-0.1657
AGHA,2021-09-14,pivot,29.59,2.11,0.408,0.408,0.408,0.592,0.68,downtrend,-0.0633,-0.0707,-0.084,0.0417,-0.1323
AGHA,2021-09-22,pivot,27.25,4.48,0.756,0.756,0.756,0.193,1.63,downtrend,-0.0264,-0.03,-0.0179,0.0246,-0.0818
AGHA,2021-09-24,pivot,26.89,1.07,0.516,0.858,0.858,0.342,0.46,downtrend,-0.0327,-0.0337,-0.0412,0.0192,-0.0867
AGHA,2021-09-30,pivot,26.81,0.02,0.394,0.734,0.734,0.34,0.26,downtrend,-0.0087,-0.0371,0.0894,0.0944,-0.0732
AGHA,2021-10-01,pivot,26.95,0.54,0.597,0.597,0.597,0.306,0.82,downtrend,-0.0116,-0.0164,0.1802,0.1802,-0.0658
AGHA,2021-10-06,pivot,26.93,2.53,0.728,0.728,0.728,0.272,2.03,downtrend,-0.0545,,0.12,0.2145,-0.0651
AGHA,2021-10-11,pivot,26.97,3.18,0.669,0.669,0.669,0.331,1.49,downtrend,-0.0433,0.0418,0.0269,0.2145,-0.0651
AGHA,2021-11-12,pivot,27.76,1.67,0.487,0.487,0.487,0.423,0.23,downtrend,0.0256,-0.0791,-0.203,0.0573,-0.2343
AGHA,2021-11-26,pivot,25.73,1.66,0.467,0.467,0.467,0.167,0.46,downtrend,-0.1306,-0.1555,-0.0494,0.0528,-0.1887
AGHA,2021-12-10,pivot,21.79,1.35,0.437,0.739,0.739,0.303,0.56,downtrend,0.0762,0.1102,0.1551,0.2292,-0.0414
AGHA,2021-12-31,pivot,26.33,4.49,0.596,0.596,0.596,0.339,1.43,downtrend,-0.0242,-0.0305,-0.1147,0.0383,-0.143
AGHA,2022-01-20,pivot,23.95,3.88,0.705,0.705,0.705,0.295,2.01,downtrend,-0.0225,-0.0143,-0.0539,0.0204,-0.0605
AGHA,2022-01-26,pivot,23.79,0.55,0.562,0.562,0.562,0.187,0.33,downtrend,0.0238,-0.0058,-0.0817,0.0417,-0.0988
AGHA,2022-01-27,pivot,23.67,0.9,0.87,0.87,0.87,0.111,0.22,downtrend,0.0054,-0.0108,-0.1504,0.0408,-0.1512
AGHA,2022-02-14,pivot,23.68,1.62,0.5,0.5,0.5,0.5,0.41,downtrend,-0.0428,-0.1266,-0.2443,-0.0059,-0.2752
AGHA,2022-02-15,pivot,23.3,1.29,0.542,0.958,0.958,0.417,0.3,downtrend,-0.0758,-0.1163,-0.1989,-0.0013,-0.2709
AGHA,2022-02-18,pivot,23.0,0.88,0.5,0.5,0.5,0.275,0.39,downtrend,-0.1358,-0.1358,-0.2017,-0.0043,-0.2621
