symbol,date,support_source,support_level,touch_depth_pct,lower_wick_ratio,close_position,recovery_ratio,body_ratio,volume_ma_ratio,trend_state,return_5d,return_10d,return_20d,max_favorable,max_adverse,hit_6pct_sl
AGHA,2021-02-02,pivot,38.04,0.11,0.787,0.787,0.787,0.013,0.4,uptrend,-0.0111,-0.015,-0.0769,0.0939,-0.1032,True
AGHA,2021-02-10,pivot,38.02,0.32,0.494,0.494,0.494,0.435,0.4,uptrend,-0.015,0.0493,-0.1848,0.0939,-0.2023,True
AGHA,2021-06-25,pivot,33.77,0.05,0.405,0.405,0.405,0.541,0.19,uptrend,-0.0406,-0.0609,-0.0554,0.0119,-0.0809,True
AGHA,2021-06-28,pivot,33.7,3.13,0.412,0.412,0.412,0.588,0.27,uptrend,-0.0522,-0.0633,-0.0469,0.0175,-0.0758,True
AGHA,2022-08-26,pivot,15.18,0.86,0.312,0.563,0.563,0.25,1.42,uptrend,0.0376,-0.0159,-0.1007,0.0899,-0.1198,True
AGHA,2022-09-14,pivot,15.48,1.46,0.35,0.95,0.95,0.6,0.47,uptrend,-0.0693,0.0181,0.0032,0.0971,-0.1061,True
AGHA,2023-05-04,pivot,11.47,0.35,0.743,0.743,0.743,0.086,0.82,uptrend,-0.034,-0.0603,-0.0917,-0.0042,-0.1129,True
AGHA,2023-05-05,pivot,11.49,2.84,0.474,0.93,0.93,0.456,0.51,uptrend,-0.0298,-0.0477,-0.1057,-0.0051,-0.1287,True
AGHA,2023-07-31,pivot,10.47,1.05,0.69,0.69,0.69,0.167,0.22,uptrend,0.0631,0.1002,-0.0269,0.1317,-0.0724,True
AGHA,2023-08-03,pivot,11.48,3.22,0.438,0.438,0.438,0.427,1.05,uptrend,-0.1067,-0.0167,-0.2108,0.0167,-0.225,True
AGHA,2023-08-18,pivot,11.77,2.24,0.659,0.659,0.659,0.0,0.25,uptrend,-0.1113,-0.2075,-0.2042,-0.0167,-0.2385,True
AGHA,2023-08-23,pivot,11.19,7.06,0.527,0.527,0.527,0.473,0.18,uptrend,-0.1015,-0.1818,-0.1271,-0.0071,-0.1968,True
AGHA,2023-10-09,pivot,10.59,2.74,0.4,0.689,0.689,0.289,0.39,uptrend,0.1312,0.3926,0.4874,0.5535,-0.0047,False
AGHA,2023-11-03,pivot,15.82,5.18,0.541,0.541,0.541,0.165,1.22,uptrend,-0.1096,-0.1246,-0.0377,0.0024,-0.1437,True
AGHA,2023-12-07,pivot,15.73,1.4,0.516,0.516,0.516,0.25,0.71,uptrend,-0.0341,-0.0854,-0.1034,-0.0062,-0.192,True
AGHA,2023-12-13,pivot,15.55,2.59,0.711,0.711,0.711,0.011,0.91,uptrend,-0.0966,-0.1414,-0.1333,-0.005,-0.1869,True
AGHA,2024-06-07,pivot,10.37,1.0,,0.889,0.889,,0.44,uptrend,-0.0177,-0.0606,-0.0709,0.0401,-0.0765,True
AGHA,2024-09-03,pivot,12.96,2.6,,0.558,0.558,,3.22,uptrend,-0.0659,-0.1203,-0.2796,0.0383,-0.3246,True
AGHA,2024-09-23,pivot,12.57,1.72,,0.691,0.691,,0.31,uptrend,-0.1621,-0.203,-0.0803,-0.0186,-0.2528,True
AGHA,2024-10-11,pivot,10.87,3.28,,0.902,0.902,,0.86,uptrend,0.0656,0.0358,0.0528,0.1371,-0.0153,False
AGHA,2024-10-29,pivot,12.19,0.25,,0.573,0.573,,1.31,uptrend,-0.033,-0.1241,-0.2705,0.023,-0.2743,True
AGHA,2025-06-03,pivot,8.39,0.44,,0.875,0.875,,1.9,uptrend,-0.0284,-0.0634,-0.0262,0.0262,-0.1475,True
AGHA,2025-07-03,pivot,8.68,0.12,,0.522,0.522,,1.75,uptrend,0.0099,-0.012,0.0044,0.1358,-0.0679,True
AGHA,2025-07-08,pivot,8.72,0.04,,0.5,0.5,,0.88,uptrend,0.01,-0.0189,0.0133,0.1522,-0.0544,False
AGHA,2025-07-11,pivot,9.02,0.11,,0.608,0.608,,4.13,uptrend,-0.1046,-0.079,-0.079,0.0636,-0.1272,True
AGHA,2025-07-16,pivot,8.92,0.75,,0.545,0.545,,0.44,uptrend,-0.056,0.0054,-0.0323,0.1163,-0.084,True
AGHA,2025-07-21,pivot,8.54,0.35,,0.604,0.604,,0.52,uptrend,0.1034,0.02,0.02,0.1535,-0.0378,False
AGHA,2025-07-25,pivot,8.66,0.15,,0.786,0.786,,0.58,uptrend,-0.0066,-0.0099,-0.0132,0.1433,-0.0298,False
AGHA,2025-08-08,pivot,8.92,0.45,,0.455,0.455,,0.41,uptrend,-0.0044,-0.0165,0.0099,0.056,-0.033,False
AGHA,2025-08-28,pivot,8.88,0.19,,0.5,0.5,,1.07,uptrend,-0.012,0.062,0.0891,0.1793,-0.0272,False
AGHA,2025-12-17,pivot,8.55,0.58,,0.462,0.462,,1.47,uptrend,-0.072,-0.0259,0.0169,0.081,-0.099,True
AGHA,2026-01-12,pivot,8.95,0.3,,0.5,0.5,,1.24,uptrend,-0.0416,-0.0896,-0.0512,-0.0032,-0.1354,True
AGHA,2026-04-28,pivot,7.75,1.89,,0.821,0.821,,0.35,uptrend,-0.0076,,,0.0546,-0.1066,True
AGHA,2026-04-30,pivot,7.19,2.13,,0.609,0.609,,0.59,uptrend,,,,0.108,-0.036,False
AGL,2020-05-04,pivot,3.08,2.6,0.611,0.611,0.611,0.222,0.7,uptrend,0.1667,0.4151,0.2201,0.6447,-0.0535,False
AGL,2020-05-21,pivot,4.13,0.73,0.414,0.414,0.414,0.483,0.33,uptrend,-0.0843,0.0251,0.0524,0.1913,-0.1298,True
AGL,2020-06-25,pivot,4.5,1.93,0.579,0.579,0.579,0.421,0.28,uptrend,0.0348,0.1217,0.1478,0.2696,-0.0413,False
AGL,2020-08-03,pivot,5.22,0.38,0.411,0.804,0.804,0.393,1.85,uptrend,-0.0729,-0.0608,-0.0694,0.0382,-0.1354,True
AGL,2020-08-13,pivot,5.08,1.97,0.586,0.586,0.586,0.69,0.35,uptrend,0.0057,0.019,0.0949,0.2068,-0.0228,False
AGL,2020-08-26,pivot,5.32,0.31,0.8,0.8,0.8,0.0,0.64,uptrend,0.0218,-0.0073,-0.0491,0.1564,-0.0545,False
AGL,2020-12-21,pivot,5.17,3.29,0.414,0.414,0.414,0.586,0.46,uptrend,-0.0416,-0.0208,-0.0227,0.0302,-0.0718,True
AGL,2022-01-13,pivot,4.34,0.85,0.4,0.4,0.4,0.0,0.84,uptrend,-0.1111,-0.1222,-0.1089,-0.0089,-0.1444,True
AGL,2022-01-20,pivot,3.85,0.09,0.6,0.6,0.6,0.4,0.36,uptrend,-0.0366,-0.0049,-0.0659,0.0415,-0.0829,True
AGL,2022-02-11,pivot,3.96,0.51,0.4,0.4,0.4,0.2,0.44,uptrend,-0.0396,0.1906,0.4876,0.6411,-0.0693,True
AGL,2022-03-24,pivot,5.73,1.4,0.543,0.848,0.848,0.304,0.27,uptrend,0.2144,0.1015,0.1637,0.3011,-0.0426,False
AGL,2022-03-28,pivot,5.89,0.68,0.625,0.708,0.708,0.083,0.06,uptrend,0.0739,0.2332,0.1461,0.3054,-0.0033,False
AGL,2022-04-28,pivot,6.15,2.49,0.437,0.437,0.437,0.563,0.58,uptrend,-0.2068,-0.2099,-0.1451,-0.0309,-0.2361,True
AGL,2022-07-15,pivot,7.0,2.81,0.606,0.606,0.606,0.121,0.39,uptrend,-0.1038,0.0351,0.1388,0.2356,-0.1304,True
AGL,2022-07-18,pivot,6.82,1.81,0.4,0.44,0.44,0.04,0.34,uptrend,-0.0791,0.095,0.1755,0.2676,-0.1079,True
AGL,2022-07-20,pivot,6.59,4.96,0.878,0.878,0.878,0.02,0.19,uptrend,-0.0548,0.1941,0.1689,0.3052,-0.0815,True
AGL,2022-07-26,pivot,6.26,0.59,0.444,0.444,0.444,0.5,0.05,uptrend,0.2703,0.3,0.1719,0.3766,-0.0313,False
AGL,2022-07-27,pivot,6.21,0.21,0.474,0.474,0.474,0.316,0.11,uptrend,0.2249,0.2599,0.1185,0.3389,-0.0395,False
AGL,2022-07-29,pivot,6.67,0.1,0.661,0.661,0.661,0.339,1.02,uptrend,0.0658,0.0477,-0.0774,0.1368,-0.0968,True
AGL,2022-08-25,pivot,7.33,0.18,0.895,0.947,0.947,0.053,0.17,uptrend,-0.0453,-0.0586,-0.1425,0.0093,-0.2011,True
AGL,2022-08-26,pivot,7.38,4.29,0.577,0.577,0.577,0.269,0.18,uptrend,-0.0726,-0.0594,-0.1623,-0.0237,-0.2084,True
AGL,2022-08-29,pivot,7.09,1.22,0.613,0.677,0.677,0.065,1.6,uptrend,-0.0397,-0.0506,-0.1012,0.0123,-0.1792,True
AGL,2023-03-15,pivot,5.05,0.73,0.545,0.727,0.727,0.182,1.91,uptrend,-0.0421,-0.0612,-0.0975,0.0535,-0.1052,True
AGL,2023-04-17,pivot,4.68,0.0,0.417,0.417,0.417,0.5,0.06,uptrend,,-0.0208,0.0271,0.0917,-0.0417,False
AGL,2023-04-18,pivot,4.67,1.36,0.308,0.923,0.923,0.615,0.15,uptrend,-0.0042,0.0506,0.0295,0.1055,-0.0295,False
AGL,2023-04-20,pivot,4.67,1.57,0.424,0.848,0.848,0.424,1.33,uptrend,-0.0325,-0.0325,-0.0183,0.0629,-0.0568,False
AGL,2023-05-12,pivot,4.72,0.28,0.619,0.619,0.619,0.048,0.38,uptrend,0.002,-0.0569,-0.0366,0.0528,-0.0833,True
AGL,2023-08-01,pivot,6.62,1.01,0.525,0.525,0.525,0.225,0.41,uptrend,-0.1597,-0.0489,-0.1295,0.1007,-0.1799,True
AGL,2023-08-04,pivot,6.36,3.98,0.5,0.5,0.5,0.382,0.17,uptrend,0.0233,0.031,-0.0543,0.186,-0.1209,True
AGL,2023-08-28,pivot,6.42,4.98,0.586,0.614,0.614,0.029,0.44,uptrend,-0.1029,0.0426,0.1868,0.2691,-0.1662,True
AGL,2023-08-29,pivot,6.15,0.05,0.545,0.545,0.545,0.455,0.19,uptrend,-0.0789,0.0501,0.2352,0.3096,-0.1396,True
AGL,2023-09-11,pivot,6.96,0.91,0.475,0.475,0.475,0.275,0.64,uptrend,0.1301,0.1055,0.0603,0.2041,-0.0616,True
AGL,2023-09-18,pivot,7.76,0.82,0.489,0.611,0.611,0.122,3.21,uptrend,-0.0616,-0.0349,-0.0709,0.0221,-0.1105,True
AGL,2023-09-21,pivot,8.09,1.65,0.464,0.464,0.464,0.429,0.9,uptrend,0.0388,-0.0425,-0.0328,0.0667,-0.0716,True
AGL,2023-10-03,pivot,8.15,1.02,0.742,0.742,0.742,0.0,0.75,uptrend,-0.0764,-0.0465,-0.2029,,-0.2208,True
AGL,2023-10-16,pivot,7.98,0.38,0.375,0.525,0.525,0.15,0.84,uptrend,-0.0659,-0.1629,-0.0731,0.0036,-0.218,True
AGL,2023-12-13,pivot,14.68,0.54,0.4,0.4,0.4,0.071,0.38,uptrend,-0.2207,-0.1314,0.0667,0.0777,-0.2544,True
AGL,2023-12-20,pivot,11.62,0.83,0.505,0.505,0.505,0.35,1.7,uptrend,0.0693,0.1697,0.2534,0.4024,-0.0518,False
AGL,2024-01-05,pivot,14.26,3.25,,0.445,0.445,,0.5,uptrend,0.1295,0.047,-0.0282,0.1812,-0.098,True
AGL,2024-01-16,pivot,15.93,0.65,,0.606,0.606,,0.28,uptrend,-0.0488,-0.1671,-0.2337,-0.0089,-0.2687,True
AGL,2024-02-09,pivot,14.51,4.87,,0.617,0.617,,0.12,uptrend,-0.0577,0.0753,0.2524,0.3433,-0.1655,True
AGL,2024-03-01,pivot,15.3,0.02,,0.848,0.848,,0.36,uptrend,0.1473,0.0628,0.6644,0.7147,-0.0056,False
AGL,2024-03-13,pivot,17.31,1.77,,0.53,0.53,,0.38,uptrend,0.0844,0.5022,0.2717,0.5994,-0.0861,True
AGL,2024-03-15,pivot,17.49,5.93,,0.419,0.419,,0.42,uptrend,0.2133,0.4878,0.2389,0.5994,-0.0556,False
AGL,2024-03-26,pivot,23.16,1.73,,0.964,0.964,,2.65,uptrend,0.0384,-0.0773,-0.0218,0.1406,-0.1383,True
AGL,2024-03-29,pivot,24.15,0.37,,0.961,0.961,,2.87,uptrend,-0.1599,-0.1707,-0.1235,0.0707,-0.1911,True
AGL,2024-04-09,pivot,22.31,0.9,,0.553,0.553,,1.85,uptrend,-0.027,-0.0308,-0.0034,0.1477,-0.0823,True
AGL,2024-04-19,pivot,21.94,0.85,,0.799,0.799,,0.88,uptrend,-0.018,0.0834,-0.0637,0.1629,-0.0851,True
AGL,2024-05-03,pivot,23.58,3.19,,0.43,0.43,,0.83,uptrend,-0.0599,-0.101,-0.209,0.1079,-0.2468,True
AGL,2024-07-11,pivot,23.34,4.81,,0.508,0.508,,3.64,uptrend,-0.1542,-0.0454,-0.1126,-0.0263,-0.1599,True
AGL,2024-07-12,pivot,22.24,0.63,,0.726,0.726,,1.11,uptrend,-0.0746,-0.0234,-0.0702,0.0286,-0.1125,True
AGL,2024-08-01,pivot,23.27,0.6,,0.824,0.824,,0.31,uptrend,-0.0166,-0.0899,0.3557,0.3975,-0.1263,True
AGL,2024-08-29,pivot,31.56,1.61,,0.437,0.437,,1.02,uptrend,-0.0549,0.1144,0.0055,0.2443,-0.0774,True
AGL,2024-09-20,pivot,34.12,2.12,,0.469,0.469,,0.16,uptrend,-0.0575,0.0873,0.0805,0.1312,-0.0853,True
