symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
ABL,1000,1080,down,1091,2010-05-07,breakout_idx
ABL,3640,3720,sequential,3721,2021-01-25,breakout_idx (first chronological)
ABOT,2520,2600,sequential,2604,2016-01-12,breakout_idx (first chronological)
ABOT,3840,3920,down,3928,2021-08-12,breakout_idx
ACPL,80,160,up,161,2005-10-05,breakout_idx
ACPL,600,680,down,695,2007-12-31,breakout_idx
ACPL,2440,2520,down,2521,2015-09-14,breakout_idx
ACPL,3720,3800,up,3801,2020-12-08,breakout_idx
ACPL,3880,3960,down,3961,2021-08-05,breakout_idx
ADMM,160,240,down,241,2006-03-02,breakout_idx
ADMM,520,600,down,601,2008-01-07,breakout_idx
ADMM,1960,2040,up,2041,2014-11-07,breakout_idx
ADMM,2520,2600,down,2613,2017-07-03,breakout_idx
AGHA,1200,1280,sequential,1284,2026-01-08,breakout_idx (first chronological)
AGIC,1280,1360,up,1361,2012-02-22,breakout_idx
AGIC,1960,2040,up,2046,2015-07-10,breakout_idx
AGIC,2520,2600,up,2601,2018-02-12,breakout_idx
AGIL,1240,1320,up,1324,2010-11-24,breakout_idx
AGIL,1400,1480,down,1481,2011-08-04,breakout_idx
AGIL,1520,1600,up,1602,2012-03-28,breakout_idx
AGIL,1920,2000,down,2001,2014-02-26,breakout_idx
AGL,40,120,sequential,125,2010-10-18,breakout_idx (first chronological)
AGL,640,720,down,733,2013-06-21,breakout_idx
AGL,2640,2720,sequential,2721,2022-01-31,breakout_idx (first chronological)
AGP,1840,1920,up,1932,2025-12-30,breakout_idx
AGTL,1640,1720,up,1737,2012-11-23,breakout_idx
AGTL,3680,3760,sequential,3761,2021-03-18,breakout_idx (first chronological)
AGTL,4480,4560,sequential,4575,2024-08-12,breakout_idx (first chronological)
AHCL,3240,3320,down,3323,2018-09-07,breakout_idx
AICL,1800,1880,sequential,1881,2012-11-22,breakout_idx (first chronological)
AICL,3800,3880,up,3881,2021-01-13,breakout_idx
AICL,3920,4000,down,4009,2021-07-28,breakout_idx
AIRLINK,160,240,down,241,2022-09-13,breakout_idx
AKBL,1800,1880,up,1884,2012-10-19,breakout_idx
AKDHL,240,320,whipsaw,321,2021-09-21,breakout_idx (first chronological)
AKDHL,880,960,whipsaw,965,2024-11-26,breakout_idx (first chronological)
AKGL,640,720,sequential,725,2013-05-27,breakout_idx (first chronological)
ALAC,2720,2800,down,2801,2024-03-21,breakout_idx
ALTN,2200,2280,whipsaw,2292,2021-09-06,breakout_idx (first chronological)
ALTN,2400,2480,up,2481,2022-08-12,breakout_idx
ALTN,2520,2600,down,2601,2023-02-17,breakout_idx
ALTN,2600,2680,up,2681,2023-07-12,breakout_idx
ANL,2360,2440,down,2441,2015-03-02,breakout_idx
ANL,3600,3680,down,3681,2020-03-02,breakout_idx
ANTM,440,520,sequential,521,2013-04-05,breakout_idx (first chronological)
APL,1400,1480,up,1483,2011-05-20,breakout_idx
APL,1560,1640,up,1644,2012-01-17,breakout_idx
APL,3160,3240,down,3241,2018-07-05,breakout_idx
APL,3880,3960,up,3961,2021-06-07,breakout_idx
APL,3920,4000,sequential,4001,2021-08-05,breakout_idx (first chronological)
APL,4120,4200,up,4216,2022-06-16,breakout_idx
APL,4640,4720,up,4722,2024-07-08,breakout_idx
ARPL,4720,4800,up,4801,2025-08-07,breakout_idx
ARUJ,640,720,up,721,2014-10-15,breakout_idx
ASC,80,160,up,171,2016-04-28,breakout_idx
ASL,0,80,down,87,2012-12-18,breakout_idx
ASL,160,240,whipsaw,241,2013-08-06,breakout_idx (first chronological)
ASL,1320,1400,down,1401,2018-05-07,breakout_idx
ASL,2400,2480,down,2481,2022-09-21,breakout_idx
ASLPS,360,440,up,448,2015-01-05,breakout_idx
ATBA,2600,2680,up,2681,2017-01-18,breakout_idx
ATBA,4040,4120,sequential,4121,2023-02-21,breakout_idx (first chronological)
ATIL,1320,1400,up,1413,2011-07-13,breakout_idx
ATIL,2480,2560,up,2570,2016-09-16,breakout_idx
ATLH,3640,3720,sequential,3721,2022-05-17,breakout_idx (first chronological)
ATRL,1440,1520,sequential,1530,2011-05-26,breakout_idx (first chronological)
ATRL,2560,2640,whipsaw,2641,2015-11-24,breakout_idx (first chronological)
ATRL,2640,2720,up,2721,2016-03-18,breakout_idx
ATRL,5000,5080,sequential,5081,2025-10-02,breakout_idx (first chronological)
AVN,560,640,up,643,2016-09-19,breakout_idx
AVN,1920,2000,down,2001,2022-03-08,breakout_idx
AVN,2200,2280,sequential,2281,2023-04-27,breakout_idx (first chronological)
BAFL,1840,1920,down,1924,2013-01-02,breakout_idx
