symbol,start,end,breakout_date,R_final,cum_R,drawdown
PAKD,40,120,2005-07-11,-1.3333333333333368,-1.3333333333333368,0.0
SHFA,40,120,2005-08-12,-1.0,-2.3333333333333366,-0.9999999999999998
BWHL,0,80,2005-08-22,-1.0,-3.3333333333333366,-1.9999999999999998
ENGRO,80,160,2005-08-23,6.9140693568468805,3.580736023513544,0.0
GHGL,40,120,2005-10-05,-1.0,2.580736023513544,-1.0
ACPL,80,160,2005-10-05,-1.133313800175798,1.4474222233377458,-2.133313800175798
PECO,0,80,2005-12-07,7.093333333333332,8.540755556671078,0.0
POWER,160,240,2006-02-17,-1.0952848722986253,7.445470684372452,-1.0952848722986257
ADMM,160,240,2006-03-02,-1.0,6.445470684372452,-2.0952848722986257
MTL,200,280,2006-05-03,-1.0,5.445470684372452,-3.0952848722986257
DNCC,240,320,2006-06-13,-1.0000000000000009,4.445470684372451,-4.095284872298627
ECOP,280,360,2006-07-13,-1.0000000000000009,3.4454706843724505,-5.0952848722986275
STPL,120,200,2006-10-05,1.1315933315113422,4.577064015883793,-3.963691540787285
OGDC,360,440,2006-10-11,-1.0000000000000002,3.577064015883793,-4.963691540787285
TELE,360,440,2006-10-16,-1.0,2.577064015883793,-5.963691540787285
NCL,360,440,2006-10-16,-1.0,1.577064015883793,-6.963691540787285
FFC,360,440,2006-10-17,-1.0,0.577064015883793,-7.963691540787285
POL,360,440,2006-10-18,-1.0,-0.42293598411620703,-8.963691540787284
PPP,80,160,2006-11-30,-1.0,-1.422935984116207,-9.963691540787284
FFC,400,480,2006-12-15,-1.0000000000000002,-2.422935984116207,-10.963691540787284
SSGC,400,480,2006-12-15,-1.0,-3.422935984116207,-11.963691540787284
PPL,400,480,2006-12-19,-1.0,-4.422935984116207,-12.963691540787284
POL,400,480,2007-01-05,-1.0,-5.422935984116207,-13.963691540787284
SHEL,480,560,2007-04-18,-1.105568065506655,-6.528504049622862,-15.06925960629394
OGDC,480,560,2007-04-18,-1.0,-7.528504049622862,-16.06925960629394
SEPL,320,400,2007-04-26,-1.0,-8.528504049622862,-17.06925960629394
CHBL,360,440,2007-05-18,0.6842105263157904,-7.844293523307072,-16.38504907997815
OGDC,520,600,2007-06-21,-1.0,-8.844293523307073,-17.385049079978153
PPL,520,600,2007-06-29,-1.0826446280991735,-9.926938151406246,-18.467693708077324
SSGC,520,600,2007-07-06,-1.0,-10.926938151406246,-19.467693708077324
JGICL,400,480,2007-07-17,-1.0,-11.926938151406246,-20.467693708077324
SNGP,560,640,2007-08-09,-1.0,-12.926938151406246,-21.467693708077324
FABL,600,680,2007-10-04,-1.0,-13.926938151406246,-22.467693708077324
ACPL,600,680,2007-12-31,-1.0,-14.926938151406246,-23.467693708077324
ADMM,520,600,2008-01-07,-1.0,-15.926938151406246,-24.467693708077324
SSGC,680,760,2008-02-07,-1.0,-16.926938151406247,-25.467693708077327
PICT,680,760,2008-02-11,-1.0,-17.926938151406247,-26.467693708077327
DGKC,680,760,2008-02-12,-1.0,-18.926938151406247,-27.467693708077327
MARI,680,760,2008-02-20,-0.2478217787952318,-19.17475993020148,-27.715515486872555
DCL,680,760,2008-02-21,-1.0,-20.17475993020148,-28.715515486872555
JSBL,160,240,2008-03-04,-1.0,-21.17475993020148,-29.715515486872555
BOK,440,520,2008-03-06,-1.0000000000000002,-22.17475993020148,-30.715515486872555
HINOON,680,760,2008-03-24,-1.0,-23.17475993020148,-31.715515486872555
DYNO,400,480,2008-03-27,-1.0,-24.17475993020148,-32.715515486872555
SITC,520,600,2008-03-31,-1.0,-25.17475993020148,-33.715515486872555
FLYNG,160,240,2008-04-22,20.571428571428594,-4.603331358772884,-13.144086915443962
PAKD,600,680,2008-04-22,-1.0,-5.603331358772884,-14.144086915443962
FASM,120,200,2009-03-24,0.8611111111111075,-4.742220247661777,-13.282975804332855
SHFA,720,800,2009-04-01,1.5227272727272732,-3.2194929749345036,-11.760248531605582
HMB,880,960,2009-04-24,-1.0,-4.219492974934504,-12.760248531605582
SSGC,920,1000,2009-05-19,-1.0,-5.219492974934504,-13.760248531605582
TRG,960,1040,2009-05-26,-1.0000000000000009,-6.2194929749345045,-14.760248531605583
CEPB,840,920,2009-06-09,-1.0,-7.2194929749345045,-15.760248531605583
PNSC,920,1000,2009-06-15,-1.4366883116883102,-8.656181286622814,-17.19693684329389
GWLC,960,1040,2009-06-15,-1.03448275862069,-9.690664045243505,-18.23141960191458
SEL,880,960,2009-06-18,-3.0,-12.690664045243505,-21.23141960191458
SHEL,960,1040,2009-07-13,-1.0,-13.690664045243505,-22.23141960191458
LOTCHEM,1000,1080,2009-08-04,34.7500000000001,21.059335954756595,0.0
PAEL,1000,1080,2009-08-05,-1.142979574346521,19.916356380410072,-1.1429795743465228
MEBL,1000,1080,2009-08-24,-1.411764705882355,18.504591674527717,-2.554744280228878
EFUL,760,840,2009-09-03,-1.0,17.504591674527717,-3.554744280228878
CYAN,640,720,2009-09-16,405.3372781064736,422.8418697810013,0.0
FFL,280,360,2009-09-25,-1.0,421.8418697810013,-1.0
SITC,800,880,2009-10-01,-1.0,420.8418697810013,-2.0
PKGS,1000,1080,2009-10-09,-1.0000000000000002,419.8418697810013,-3.0
PPP,320,400,2009-11-03,-1.0000000000000002,418.8418697810013,-4.0
ECOP,1040,1120,2009-12-08,-1.0000000000000002,417.8418697810013,-5.0
RICL,840,920,2009-12-09,-1.0,416.8418697810013,-6.0
NATF,680,760,2010-01-28,-1.0,415.8418697810013,-7.0
CHCC,1120,1200,2010-02-09,-2.070866141732295,413.77100363926905,-9.070866141732267
GLPL,640,720,2010-02-09,-2.2998982706002065,411.4711053686689,-11.370764412332449
SEARL,1040,1120,2010-02-11,-1.0,410.4711053686689,-12.370764412332449
NCPL,0,80,2010-02-23,-1.0,409.4711053686689,-13.370764412332449
HMB,1080,1160,2010-03-01,3.9244444444444513,413.39554981311335,-9.446319967887973
MWMP,760,840,2010-04-15,-1.5957446808510651,411.7998051322623,-11.042064648739029
ABL,1000,1080,2010-05-07,4.638392857142853,416.4381979894051,-6.403671791596196
PSO,1160,1240,2010-05-07,2.928841786525364,419.3670397759305,-3.474830005070828
PSO,1200,1280,2010-05-31,-1.0000000000000002,418.3670397759305,-4.474830005070828
GLPL,720,800,2010-06-23,-1.0,417.3670397759305,-5.474830005070828
CEPB,1080,1160,2010-06-30,-1.0,416.3670397759305,-6.474830005070828
GHNI,920,1000,2010-08-10,2.587621627043836,418.95466140297435,-3.887208378026969
MERIT,720,800,2010-08-10,-1.0,417.95466140297435,-4.887208378026969
NCL,1280,1360,2010-09-16,-1.0000000000000062,416.95466140297435,-5.887208378026969
PNSC,1240,1320,2010-10-01,-1.0,415.95466140297435,-6.887208378026969
ENGRO,1280,1360,2010-10-13,4.3116899748988216,420.26635137787315,-2.5755184031281715
MCB,1280,1360,2010-10-15,-1.0,419.26635137787315,-3.5755184031281715
AGL,40,120,2010-10-18,-1.065502183406113,418.200849194467,-4.641020586534296
NBP,1320,1400,2010-11-08,3.4741867285003147,421.67503592296737,-1.1668338580339537
ENGRO,1320,1400,2010-11-22,4.399513184584149,426.0745491075515,0.0
HUBC,1320,1400,2010-11-23,1.972222222222228,428.0467713297737,0.0
AGIL,1240,1320,2010-11-24,-1.0,427.0467713297737,-1.0
PKGI,640,720,2010-11-25,-1.0,426.0467713297737,-2.0
PNSC,1280,1360,2010-11-30,-1.0,425.0467713297737,-3.0
WAVES,920,1000,2010-12-24,-1.0,424.0467713297737,-4.0
SILK,1320,1400,2011-01-06,-0.6315068493150683,423.41526448045863,-4.6315068493150875
PKGS,1320,1400,2011-01-07,-1.0,422.41526448045863,-5.6315068493150875
MLCF,1360,1440,2011-01-18,-1.0000000000000002,421.41526448045863,-6.6315068493150875
NETSOL,1200,1280,2011-01-18,-1.0,420.41526448045863,-7.6315068493150875
SEARL,1280,1360,2011-01-25,-1.0,419.41526448045863,-8.631506849315087
IBLHL,360,440,2011-01-28,-1.0,418.41526448045863,-9.631506849315087
BPL,720,800,2011-02-10,6.239436619718302,424.6547011001769,-3.3920702295968113
JGICL,1120,1200,2011-03-09,3.732235417623521,428.38693651780045,0.0
DYNO,880,960,2011-04-18,-1.0,427.38693651780045,-1.0
SHFA,1120,1200,2011-05-02,-1.0000000000000002,426.38693651780045,-2.0
WAHN,1080,1160,2011-05-03,-1.402061855670099,424.9848746621303,-3.4020618556701265
APL,1400,1480,2011-05-20,-1.0,423.9848746621303,-4.4020618556701265
ATRL,1440,1520,2011-05-26,-1.0,422.9848746621303,-5.4020618556701265
PSO,1480,1560,2011-07-11,-3.0,419.9848746621303,-8.402061855670127
ATIL,1320,1400,2011-07-13,-1.2198776758409755,418.76499698628936,-9.621939531511089
FEROZ,1240,1320,2011-07-15,-1.0,417.76499698628936,-10.621939531511089
GHGL,1360,1440,2011-07-27,-1.0,416.76499698628936,-11.621939531511089
DGKC,1480,1560,2011-08-03,-1.6576576576576585,415.1073393286317,-13.279597189168726
AGIL,1400,1480,2011-08-04,-0.1417322834645663,414.96560704516713,-13.421329472633317
GLAXO,1480,1560,2011-08-05,-1.0,413.96560704516713,-14.421329472633317
SHEZ,600,680,2011-08-10,-0.9999999999999998,412.96560704516713,-15.421329472633317
BCL,760,840,2011-09-09,7.468599033816424,420.43420607898355,-7.9527304388169
CHCC,1560,1640,2011-12-07,-1.0,419.43420607898355,-8.9527304388169
MEBL,1560,1640,2011-12-07,-1.0,418.43420607898355,-9.9527304388169
DOL,680,760,2011-12-09,-2.0000000000000018,416.43420607898355,-11.9527304388169
DCL,1560,1640,2011-12-12,-1.0000000000000009,415.43420607898355,-12.9527304388169
NATF,1120,1200,2012-01-03,-1.0,414.43420607898355,-13.9527304388169
PSO,1600,1680,2012-01-16,-1.0,413.43420607898355,-14.9527304388169
MTL,1560,1640,2012-01-16,2.911991189580124,416.3461972685637,-12.040739249236765
APL,1560,1640,2012-01-17,1.1514075344038464,417.49760480296754,-10.889331714832906
AGIC,1280,1360,2012-02-22,-1.0000000000000002,416.49760480296754,-11.889331714832906
UPFL,400,480,2012-02-23,14.610651974288334,431.10825677725586,0.0
POL,1640,1720,2012-02-28,-1.4796747967479686,429.6285819805079,-1.479674796747986
PIL,1040,1120,2012-03-06,-1.0,428.6285819805079,-2.479674796747986
AGIL,1520,1600,2012-03-28,10.578378378378371,439.20696035888625,0.0
SEARL,1560,1640,2012-04-18,4.381162079510711,443.58812243839697,0.0
KAPCO,1680,1760,2012-05-29,-1.0,442.58812243839697,-1.0
PRL,1680,1760,2012-06-05,-1.0,441.58812243839697,-2.0
LOTCHEM,1720,1800,2012-06-21,-1.0000000000000002,440.58812243839697,-3.0
POL,1720,1800,2012-07-03,7.855345911949666,448.4434683503466,0.0
GHNI,1360,1440,2012-07-05,5.344363216621776,453.7878315669684,0.0
UBL,1600,1680,2012-07-06,-1.0000000000000002,452.7878315669684,-1.0
JSBL,1200,1280,2012-07-25,-1.176470588235296,451.6113609787331,-2.176470588235304
CHBL,1560,1640,2012-07-25,-1.3448275862068964,450.2665333925262,-3.5212981744422223
GATM,840,920,2012-08-02,-1.0,449.2665333925262,-4.521298174442222
NBP,1760,1840,2012-08-16,-1.0,448.2665333925262,-5.521298174442222
JLICL,1560,1640,2012-08-28,-1.25,447.0165333925262,-6.771298174442222
EFUG,1680,1760,2012-08-31,0.4483792184724689,447.4649126109987,-6.322918955969726
FASM,360,440,2012-09-03,57.82812499999994,505.2930376109986,0.0
SILK,1760,1840,2012-09-19,-1.0,504.2930376109986,-1.0
AKBL,1800,1880,2012-10-19,3.0199999999999942,507.3130376109986,0.0
MCB,1800,1880,2012-10-30,-1.0,506.3130376109986,-1.0
AICL,1800,1880,2012-11-22,-1.0,505.3130376109986,-2.0
AGTL,1640,1720,2012-11-23,-1.0,504.3130376109986,-3.0
SILK,1800,1880,2012-11-28,-1.0,503.3130376109986,-4.0
ASL,0,80,2012-12-18,-1.0000000000000002,502.3130376109986,-5.0
ENGRO,1840,1920,2013-01-02,-1.0,501.3130376109986,-6.0
BAFL,1840,1920,2013-01-02,-1.0,500.3130376109986,-7.0
ENGRO,1880,1960,2013-02-18,3.994652406417112,504.3076900174157,-3.005347593582883
FLYNG,1320,1400,2013-02-28,-1.0000000000000002,503.3076900174157,-4.005347593582883
MSOT,840,920,2013-03-04,-1.0,502.3076900174157,-5.005347593582883
ANTM,440,520,2013-04-05,-1.0000000000000002,501.3076900174157,-6.005347593582883
SHNI,1080,1160,2013-05-06,-0.9999999999999998,500.3076900174157,-7.005347593582883
SNBL,1920,2000,2013-05-07,4.11757857974389,504.42526859715963,-2.8877690138389767
DBCI,1840,1920,2013-05-07,-1.0000000000000009,503.42526859715963,-3.8877690138389767
GATM,1000,1080,2013-05-09,-1.0,502.42526859715963,-4.887769013838977
AKGL,640,720,2013-05-27,-1.0,501.42526859715963,-5.887769013838977
ZAHID,560,640,2013-05-31,-1.0799999999999983,500.34526859715965,-6.967769013838961
AGL,640,720,2013-06-21,-1.0000000000000002,499.34526859715965,-7.967769013838961
