sector,symbol,start,end,kind,outcome,up_idx,down_idx,gap
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,,1091.0,
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,3721.0,3735.0,14.0
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,2620.0,2604.0,16.0
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,,3928.0,
CEMENT,ACPL,80,160,ascending,up,161.0,,
CEMENT,ACPL,600,680,descending,down,,695.0,
CEMENT,ACPL,2440,2520,ascending,down,,2521.0,
CEMENT,ACPL,3720,3800,descending,up,3801.0,,
CEMENT,ACPL,3880,3960,ascending,down,,3961.0,
TEXTILE COMPOSITE,ADMM,160,240,symmetrical,down,,241.0,
TEXTILE COMPOSITE,ADMM,520,600,descending,down,,601.0,
TEXTILE COMPOSITE,ADMM,1960,2040,descending,up,2041.0,,
TEXTILE COMPOSITE,ADMM,2520,2600,ascending,down,,2613.0,
ENGINEERING,AGHA,1200,1280,symmetrical,sequential,1284.0,1310.0,26.0
INSURANCE,AGIC,1280,1360,descending,up,1361.0,,
INSURANCE,AGIC,1960,2040,symmetrical,up,2046.0,,
INSURANCE,AGIC,2520,2600,ascending,up,2601.0,,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1240,1320,descending,up,1324.0,,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1400,1480,descending,down,,1481.0,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1520,1600,symmetrical,up,1602.0,,
AUTOMOBILE PARTS & ACCESSORIES,AGIL,1920,2000,symmetrical,down,,2001.0,
CHEMICAL,AGL,40,120,descending,sequential,152.0,125.0,27.0
CHEMICAL,AGL,640,720,symmetrical,down,,733.0,
CHEMICAL,AGL,2640,2720,symmetrical,sequential,2721.0,2734.0,13.0
PHARMACEUTICALS,AGP,1840,1920,descending,up,1932.0,,
AUTOMOBILE ASSEMBLER,AGTL,1640,1720,descending,up,1737.0,,
AUTOMOBILE ASSEMBLER,AGTL,3680,3760,descending,sequential,3785.0,3761.0,24.0
AUTOMOBILE ASSEMBLER,AGTL,4480,4560,descending,sequential,4587.0,4575.0,12.0
FERTILIZER,AHCL,3240,3320,descending,down,,3323.0,
INSURANCE,AICL,1800,1880,ascending,sequential,1881.0,1918.0,37.0
INSURANCE,AICL,3800,3880,descending,up,3881.0,,
INSURANCE,AICL,3920,4000,ascending,down,,4009.0,
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,,241.0,
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,1884.0,,
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,321.0,323.0,2.0
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,970.0,965.0,5.0
MISCELLANEOUS,AKGL,640,720,descending,sequential,753.0,725.0,28.0
INSURANCE,ALAC,2720,2800,symmetrical,down,,2801.0,
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,2294.0,2292.0,2.0
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,2481.0,,
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,,2601.0,
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,2681.0,,
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,,2441.0,
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,,3681.0,
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,521.0,538.0,17.0
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,1483.0,,
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,1644.0,,
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,,3241.0,
OIL & GAS MARKETING COMPANIES,APL,3880,3960,descending,up,3961.0,,
OIL & GAS MARKETING COMPANIES,APL,3920,4000,descending,sequential,4001.0,4027.0,26.0
OIL & GAS MARKETING COMPANIES,APL,4120,4200,symmetrical,up,4216.0,,
