symbol,sector,tier,n_rows,n_placeholder_dropped,coverage,min_positive_close
ABL,COMMERCIAL BANKS,liquid,5030,0,0.955,20.8
ABOT,PHARMACEUTICALS,liquid,5130,1,0.946,67.15
ACPL,CEMENT,liquid,5181,0,0.955,17.2075
ADMM,TEXTILE COMPOSITE,mid,4332,0,0.799,14.5
AGHA,ENGINEERING,liquid,1407,0,0.98,6.03
AGIC,INSURANCE,mid,4322,1,0.797,5.7357
AGIL,AUTOMOBILE PARTS & ACCESSORIES,mid,4714,4,0.869,18.08
AGL,CHEMICAL,liquid,3819,0,0.932,1.9
AGLNCPS,CHEMICAL,thin,156,6,0.045,2.0
AGP,PHARMACEUTICALS,liquid,2062,0,0.979,47.21
AGTL,AUTOMOBILE ASSEMBLER,liquid,5052,0,0.931,77.8955
AHCL,FERTILIZER,liquid,5110,1,0.942,9.55
AHTM,TEXTILE COMPOSITE,thin,932,22,0.172,11.0
AICL,INSURANCE,liquid,5224,0,0.963,21.7
AIRLINK,TECHNOLOGY & COMMUNICATION,liquid,1189,0,0.981,18.09
AKBL,COMMERCIAL BANKS,liquid,5279,0,0.973,8.76
AKDHL,MISCELLANEOUS,mid,1340,0,0.815,82.51
AKGL,MISCELLANEOUS,thin,1667,22,0.307,0.4867
ALAC,INSURANCE,thin,3334,5,0.615,0.2356
ALIFE,INSURANCE,liquid,599,0,0.939,19.97
ALTN,POWER GENERATION & DISTRIBUTION,thin,3428,5,0.632,1.4352
ANL,TEXTILE COMPOSITE,liquid,5255,0,0.969,2.8
ANLNV,TEXTILE COMPOSITE,thin,56,5,0.015,7.0
ANTM,TEXTILE COMPOSITE,thin,1782,9,0.329,2.01
APL,OIL & GAS MARKETING COMPANIES,liquid,5222,0,0.97,48.3356
ARPAK,MISCELLANEOUS,thin,1136,24,0.209,0.3982
ARPL,CHEMICAL,liquid,5032,0,0.928,72.5647
ARUJ,TEXTILE COMPOSITE,thin,2061,8,0.38,3.5
ASC,FOOD & PERSONAL CARE PRODUCTS,liquid,2695,0,0.982,4.88
ASIC,INSURANCE,thin,290,5,0.067,12.5
ASL,ENGINEERING,liquid,3423,0,0.975,4.99
ASLCPS,ENGINEERING,thin,338,11,0.121,10.4
ASLPS,ENGINEERING,thin,1440,29,0.41,3.3673
ASTL,ENGINEERING,liquid,2627,0,0.982,14.13
ATBA,AUTOMOBILE PARTS & ACCESSORIES,liquid,4955,0,0.913,36.189
ATIL,INSURANCE,mid,4471,1,0.824,3.7635
ATLH,AUTOMOBILE ASSEMBLER,mid,4691,0,0.865,57.0
ATRL,REFINERY,liquid,5273,0,0.972,40.95
AVN,TECHNOLOGY & COMMUNICATION,liquid,3073,0,0.982,8.2966
BAFL,COMMERCIAL BANKS,liquid,5270,0,0.972,3.9947
BAHL,COMMERCIAL BANKS,liquid,5273,0,0.972,12.6816
BAPL,CHEMICAL,mid,3900,3,0.72,1.288
BCL,ENGINEERING,mid,3880,2,0.715,22.0
BECO,ENGINEERING,liquid,1511,1,0.918,1.1667
BELA,AUTOMOBILE PARTS & ACCESSORIES,thin,975,6,0.18,0.249
BERG,CHEMICAL,mid,4776,0,0.88,11.02
BGL,GLASS & CERAMICS,mid,4782,0,0.882,0.163
BHAT,TEXTILE COMPOSITE,thin,1477,8,0.272,67.2
BIFO,CHEMICAL,mid,4305,0,0.794,8.25
BIPL,COMMERCIAL BANKS,liquid,4902,0,0.954,2.6
BNL,FOOD & PERSONAL CARE PRODUCTS,thin,1957,1,0.365,2.7873
BOK,COMMERCIAL BANKS,liquid,4706,1,0.909,2.81
