sector,symbol,start,end,kind,outcome,direction,breakout_idx,type_trigger,entry_price,lfd_level,r_lfd_denom,rolling_status,rolling_stop,r_rolling_denom,opposite_stop,r_opposite_denom,lfd_hit_bar,rolling_hit_bar,opposite_hit_bar,anchor_bar,simultaneous_hit,horizon_reached,realized_R_lfd,realized_R_rolling,realized_R_opposite,realistic_realized_R,realized_R_realistic,R_final,tier,breakout_date
INSURANCE,CYAN,640,720,descending,up,up,721,1.0,10.1499,10.133,0.0169000000000014,skipped_risk_gt_6pct,9.4,,9.175973988439308,0.9739260115606924,,,,811,False,True,405.3372781064736,,7.03359384459064,,405.3372781064736,405.3372781064736,mid,2009-09-16
TEXTILE COMPOSITE,MSOT,960,1040,descending,up,up,1041,1.0,28.35,27.0,1.3500000000000014,no_valid_consolidation,,,24.69712023646152,3.652879763538479,,,,1131,False,True,76.7777777777777,,28.374873171187023,,76.7777777777777,76.7777777777777,thin,2013-11-04
TEXTILE COMPOSITE,FASM,360,440,symmetrical,up,up,441,1.0,47.99,47.35,0.6400000000000006,ok,46.59,1.3999999999999986,45.7395652173913,2.2504347826087,,,,531,False,True,57.82812499999994,26.43571428571431,16.445710973724854,,57.82812499999994,57.82812499999994,thin,2012-09-03
CEMENT,LUCK,2040,2120,descending,up,up,2121,1.0,239.98,237.5,2.4799999999999898,ok,228.64,11.340000000000003,224.8740207259885,15.105979274011446,,,,2211,False,True,39.48387096774209,8.634920634920631,6.482201400108037,,39.48387096774209,39.48387096774209,liquid,2013-10-28
CHEMICAL,LOTCHEM,1000,1080,descending,up,up,1084,1.0,3.03,2.91,0.1199999999999996,skipped_risk_gt_6pct,2.79,,2.822403490216816,0.2075965097831837,,,,1174,False,True,34.7500000000001,,20.08704291009129,,34.7500000000001,34.7500000000001,liquid,2009-08-04
CEMENT,FLYNG,160,240,descending,down,down,241,1.0,11.8,12.15,0.3499999999999996,ok,12.37,0.5699999999999985,12.565153774464118,0.7651537744641175,,,,331,False,True,20.571428571428594,12.631578947368457,9.409873204954897,,20.571428571428594,20.571428571428594,liquid,2008-04-22
COMMERCIAL BANKS,NBP,4840,4920,descending,up,up,4921,1.0,64.69,62.56,2.1299999999999955,skipped_risk_gt_6pct,58.9,,59.20467623005766,5.48532376994234,,,,5011,False,True,19.85446009389676,,7.709663417086599,,19.85446009389676,19.85446009389676,liquid,2025-01-29
CEMENT,GWLC,2720,2800,descending,down,down,2814,2.0,56.8,58.49,1.6900000000000048,skipped_risk_gt_6pct,60.59,,60.845605461020966,4.045605461020969,,,,2904,False,True,16.337278106508826,,6.824689225387836,,16.337278106508826,16.337278106508826,liquid,2017-05-30
MISCELLANEOUS,PSEL,920,1000,ascending,up,up,1002,1.0,551.25,525.0,26.25,skipped_risk_gt_6pct,495.0,,504.9795965153601,46.27040348463993,,,,1092,False,True,15.914285714285716,,9.028449473942402,,15.914285714285716,15.914285714285716,thin,2016-05-27
FOOD & PERSONAL CARE PRODUCTS,FCEPL,720,800,descending,up,up,808,1.0,99.36,98.1,1.2600000000000051,ok,93.75,5.609999999999999,96.01525423728812,3.344745762711866,,,,898,False,True,14.626984126984071,3.2852049910873458,5.510134792743487,,14.626984126984071,14.626984126984071,liquid,2014-11-25
