sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,10,False,4.505229283990341,97.84256579089067,4.604569849097096
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,20,False,6.999195494770719,152.0054147108482,4.604569849097096
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,30,False,5.551086082059527,120.55601856377598,4.604569849097096
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,60,False,4.5374094931617055,98.5414412608257,4.604569849097096
COMMERCIAL BANKS,ABL,1000,1080,ascending,down,90,False,16.71761866452132,363.06580663119826,4.604569849097096
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,10,False,-1.744186046511628,-109.17065089025355,1.597669366526919
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,20,False,-6.244186046511633,-390.83093018710804,1.597669366526919
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,30,False,-7.209302325581398,-451.23869034638153,1.597669366526919
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,60,False,-15.17441860465116,-949.7846627452055,1.597669366526919
COMMERCIAL BANKS,ABL,3640,3720,descending,sequential,90,False,-18.069767441860474,-1131.007943223027,1.597669366526919
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,10,False,2.477419354838712,132.72648887322055,1.8665598524233746
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,20,False,-3.9451612903225866,-211.36002069264168,1.8665598524233746
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,30,False,-5.9564516129032175,-319.1138824276057,1.8665598524233746
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,60,False,-4.853225806451618,-260.00911785125044,1.8665598524233746
PHARMACEUTICALS,ABOT,2520,2600,descending,sequential,90,False,-8.709677419354838,-466.6165624449156,1.8665598524233746
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,10,False,-1.6754744970265265,-45.82387917636923,3.656334922187353
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,20,False,-4.684706162832281,-128.12573964175357,3.656334922187353
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,30,False,-0.08741606071442341,-2.3908110874626316,3.656334922187353
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,60,False,-0.654295969589814,-17.894858745554696,3.656334922187353
PHARMACEUTICALS,ABOT,3840,3920,ascending,down,90,False,5.1337068383200215,140.40581477281216,3.656334922187353
CEMENT,ACPL,80,160,ascending,up,10,False,-1.8182274793440283,-34.45000020372131,5.277873638873367
CEMENT,ACPL,80,160,ascending,up,20,False,14.15587350944844,268.21167913505036,5.277873638873367
CEMENT,ACPL,80,160,ascending,up,30,False,8.506446214575506,161.17184299227222,5.277873638873367
CEMENT,ACPL,80,160,ascending,up,60,False,18.96125422080368,359.25934416366994,5.277873638873367
CEMENT,ACPL,80,160,ascending,up,90,False,16.55856386512606,313.7355116493602,5.277873638873367
CEMENT,ACPL,600,680,descending,down,10,False,-0.20048065987582253,-3.0019355694788556,6.678379839798711
CEMENT,ACPL,600,680,descending,down,20,False,3.5106156008160276,52.56687527557342,6.678379839798711
