symbol,n_candidates,win_rate,mean_R,total_R,sector
ABL,2,50.0,1.8191964285714266,3.638392857142853,COMMERCIAL BANKS
ABOT,2,0.0,-1.0,-2.0,PHARMACEUTICALS
ACPL,5,40.0,1.0810045772495918,5.405022886247959,CEMENT
ADMM,4,25.0,-0.6428571428571426,-2.5714285714285703,TEXTILE COMPOSITE
AGHA,1,0.0,-1.0,-1.0,ENGINEERING
AGIC,2,0.0,-1.0,-2.0,INSURANCE
AGIL,4,25.0,2.109161523728451,8.436646094913804,AUTOMOBILE PARTS & ACCESSORIES
AGL,3,0.0,-1.021834061135371,-3.065502183406113,CHEMICAL
AGP,1,0.0,-1.0,-1.0,PHARMACEUTICALS
AGTL,3,0.0,-1.0,-3.0,AUTOMOBILE ASSEMBLER
AHCL,1,100.0,0.7735849056603746,0.7735849056603746,FERTILIZER
AICL,3,0.0,-1.0,-3.0,INSURANCE
AIRLINK,1,0.0,-1.0,-1.0,TECHNOLOGY & COMMUNICATION
AKBL,1,100.0,3.0199999999999942,3.0199999999999942,COMMERCIAL BANKS
AKDHL,2,0.0,-1.0,-2.0,MISCELLANEOUS
AKGL,1,0.0,-1.0,-1.0,MISCELLANEOUS
ALAC,1,0.0,-2.0000000000000098,-2.0000000000000098,INSURANCE
ALTN,4,50.0,2.529421518650462,10.117686074601847,POWER GENERATION & DISTRIBUTION
ANL,2,0.0,-1.0,-2.0,TEXTILE COMPOSITE
ANTM,1,0.0,-1.0000000000000002,-1.0000000000000002,TEXTILE COMPOSITE
APL,7,28.57142857142857,0.5712370430528765,3.998659301370135,OIL & GAS MARKETING COMPANIES
ARUJ,1,0.0,-1.0000000000000002,-1.0000000000000002,TEXTILE COMPOSITE
ASC,1,0.0,-0.6055045871559636,-0.6055045871559636,FOOD & PERSONAL CARE PRODUCTS
ASL,4,25.0,0.874999999999996,3.499999999999984,ENGINEERING
ASLPS,1,0.0,-1.0,-1.0,ENGINEERING
ATBA,2,0.0,-1.0016914155170897,-2.0033828310341795,AUTOMOBILE PARTS & ACCESSORIES
ATIL,2,0.0,-1.8525605019707239,-3.7051210039414477,INSURANCE
ATLH,1,0.0,-1.0,-1.0,AUTOMOBILE ASSEMBLER
ATRL,3,0.0,-1.0,-3.0,REFINERY
AVN,3,0.0,-1.0,-3.0,TECHNOLOGY & COMMUNICATION
BAFL,4,0.0,-1.0,-4.0,COMMERCIAL BANKS
BAHL,1,100.0,1.5065789473684226,1.5065789473684226,COMMERCIAL BANKS
BCL,2,50.0,3.234299516908212,6.468599033816424,ENGINEERING
BECO,1,0.0,-1.0000000000000002,-1.0000000000000002,ENGINEERING
BERG,2,0.0,-0.604903536977492,-1.209807073954984,CHEMICAL
BGL,1,0.0,-1.0,-1.0,GLASS & CERAMICS
BHAT,2,0.0,-1.0,-2.0,TEXTILE COMPOSITE
BIPL,2,0.0,-1.000000000000001,-2.000000000000002,COMMERCIAL BANKS
BNL,1,0.0,-1.0,-1.0,FOOD & PERSONAL CARE PRODUCTS
BOK,4,0.0,-0.8925925925925932,-3.5703703703703726,COMMERCIAL BANKS
BPL,1,100.0,6.239436619718302,6.239436619718302,OIL & GAS MARKETING COMPANIES
BWCL,1,0.0,-1.1559792027729647,-1.1559792027729647,CEMENT
BWHL,3,33.33333333333333,1.105779873378492,3.317339620135476,AUTOMOBILE PARTS & ACCESSORIES
CENI,1,100.0,7.7449664429530305,7.7449664429530305,INSURANCE
CEPB,4,0.0,-1.0,-4.0,PAPER & BOARD
CHBL,2,50.0,-0.330308529945553,-0.660617059891106,TEXTILE COMPOSITE
CHCC,3,0.0,-1.3569553805774317,-4.070866141732295,CEMENT
CLOV,1,100.0,4.995419847328246,4.995419847328246,FOOD & PERSONAL CARE PRODUCTS
CNERGY,1,0.0,-1.0000000000000002,-1.0000000000000002,REFINERY
CPPL,2,50.0,3.2344827586206817,6.468965517241363,PAPER & BOARD
CRTM,2,0.0,-1.0,-2.0,TEXTILE COMPOSITE
CSAP,1,0.0,-1.0,-1.0,ENGINEERING
CYAN,3,33.33333333333333,134.44575936882453,403.3372781064736,INSURANCE
DAAG,2,0.0,-0.5818181818181818,-1.1636363636363636,CHEMICAL
DBCI,1,0.0,-1.0000000000000009,-1.0000000000000009,CEMENT
DCL,4,25.0,0.3541666666666632,1.4166666666666528,CEMENT
DCR,1,0.0,-1.0,-1.0,REAL ESTATE INVESTMENT TRUST
DFML,1,0.0,-1.0000000000000002,-1.0000000000000002,AUTOMOBILE ASSEMBLER
DGKC,3,33.33333333333333,1.03168657788223,3.09505973364669,CEMENT
DNCC,3,0.0,-1.0142857142857147,-3.042857142857144,CEMENT
DOL,3,0.0,-2.0000000000000004,-6.000000000000002,CHEMICAL
DSL,4,25.0,-0.3728070175438598,-1.4912280701754392,ENGINEERING
DYNO,2,0.0,-1.0,-2.0,CHEMICAL
ECOP,3,0.0,-0.695175438596492,-2.085526315789476,MISCELLANEOUS
EFERT,2,0.0,-1.0,-2.0,FERTILIZER
EFUG,1,100.0,0.4483792184724689,0.4483792184724689,INSURANCE
EFUL,2,0.0,-1.0803738317757023,-2.1607476635514047,INSURANCE
ENGRO,6,66.66666666666666,2.93665415379116,17.61992492274696,FERTILIZER
EPCL,1,0.0,-1.0,-1.0,CHEMICAL
EPCLPS,1,0.0,-1.0,-1.0,CHEMICAL
EPQL,3,0.0,-1.1341664871076615,-3.402499461322985,POWER GENERATION & DISTRIBUTION
EXIDE,2,50.0,1.020092275636254,2.040184551272508,AUTOMOBILE PARTS & ACCESSORIES
