sector,tier,symbol,start,end,kind,outcome,up_idx,down_idx,gap
OIL & GAS EXPLORATION COMPANIES,large (existing),OGDC,360,440,descending,up,441.0,,
OIL & GAS EXPLORATION COMPANIES,large (existing),OGDC,480,560,ascending,up,562.0,,
OIL & GAS EXPLORATION COMPANIES,large (existing),OGDC,520,600,ascending,down,,607.0,
OIL & GAS EXPLORATION COMPANIES,large (existing),OGDC,2400,2480,descending,down,,2482.0,
OIL & GAS EXPLORATION COMPANIES,large (existing),OGDC,3760,3840,ascending,down,,3841.0,
OIL & GAS EXPLORATION COMPANIES,large,PPL,400,480,ascending,sequential,507.0,483.0,24.0
OIL & GAS EXPLORATION COMPANIES,large,PPL,520,600,ascending,down,,613.0,
OIL & GAS EXPLORATION COMPANIES,large,PPL,1160,1240,ascending,sequential,1241.0,1266.0,25.0
OIL & GAS EXPLORATION COMPANIES,large,PPL,2760,2840,ascending,down,,2856.0,
OIL & GAS EXPLORATION COMPANIES,large,PPL,3000,3080,ascending,up,3087.0,,
OIL & GAS EXPLORATION COMPANIES,mid,POL,360,440,symmetrical,up,446.0,,
OIL & GAS EXPLORATION COMPANIES,mid,POL,400,480,ascending,sequential,512.0,493.0,19.0
OIL & GAS EXPLORATION COMPANIES,mid,POL,1640,1720,ascending,sequential,1721.0,1734.0,13.0
OIL & GAS EXPLORATION COMPANIES,mid,POL,1720,1800,descending,up,1809.0,,
OIL & GAS EXPLORATION COMPANIES,mid,POL,2440,2520,descending,sequential,2525.0,2557.0,32.0
CEMENT,large (existing),LUCK,2040,2120,descending,up,2121.0,,
CEMENT,mid,DGKC,680,760,descending,up,764.0,,
CEMENT,mid,DGKC,1480,1560,symmetrical,down,,1573.0,
CEMENT,mid,DGKC,2920,3000,ascending,down,,3015.0,
CEMENT,mid-thin,KOHC,2120,2200,ascending,sequential,2201.0,2220.0,19.0
CEMENT,mid-thin,KOHC,3800,3880,symmetrical,whipsaw,3884.0,3883.0,1.0
CEMENT,mid-thin,KOHC,4240,4320,ascending,down,,4327.0,
CEMENT,mid-thin,KOHC,4840,4920,ascending,down,,4922.0,
CEMENT,thin,DNCC,240,320,ascending,down,,324.0,
CEMENT,thin,DNCC,1440,1520,symmetrical,sequential,1522.0,1553.0,31.0
CEMENT,thin,DNCC,2160,2240,symmetrical,sequential,2241.0,2247.0,6.0
POWER GENERATION & DISTRIBUTION,large,HUBC,1320,1400,descending,up,1401.0,,
POWER GENERATION & DISTRIBUTION,mid (existing),KEL,3160,3240,ascending,sequential,3242.0,3273.0,31.0
POWER GENERATION & DISTRIBUTION,mid,KAPCO,1680,1760,symmetrical,up,1762.0,,
POWER GENERATION & DISTRIBUTION,mid,KAPCO,2440,2520,ascending,sequential,2549.0,2532.0,17.0
POWER GENERATION & DISTRIBUTION,mid,KAPCO,2480,2560,ascending,sequential,2561.0,2599.0,38.0
POWER GENERATION & DISTRIBUTION,mid,KAPCO,3920,4000,symmetrical,sequential,4001.0,4020.0,19.0
POWER GENERATION & DISTRIBUTION,mid,KAPCO,4200,4280,descending,up,4282.0,,
POWER GENERATION & DISTRIBUTION,mid,KAPCO,5160,5240,descending,up,5241.0,,
POWER GENERATION & DISTRIBUTION,thin,EPQL,960,1040,descending,up,1053.0,,
POWER GENERATION & DISTRIBUTION,thin,EPQL,1960,2040,symmetrical,sequential,2045.0,2053.0,8.0
POWER GENERATION & DISTRIBUTION,thin,EPQL,2040,2120,symmetrical,down,,2123.0,
FOOD & PERSONAL CARE PRODUCTS,large,UPFL,400,480,symmetrical,up,490.0,,
FOOD & PERSONAL CARE PRODUCTS,mid,NATF,680,760,descending,down,,762.0,
FOOD & PERSONAL CARE PRODUCTS,mid,NATF,1120,1200,symmetrical,up,1213.0,,
FOOD & PERSONAL CARE PRODUCTS,mid,NATF,2000,2080,descending,whipsaw,2081.0,2085.0,4.0
FOOD & PERSONAL CARE PRODUCTS,mid,NATF,3440,3520,descending,down,,3521.0,
FOOD & PERSONAL CARE PRODUCTS,thin (existing),ISIL,1680,1760,symmetrical,down,,1761.0,
TEXTILE COMPOSITE,large,NML,3400,3480,ascending,down,,3481.0,
TEXTILE COMPOSITE,mid,KTML,2200,2280,descending,sequential,2281.0,2291.0,10.0
TEXTILE COMPOSITE,thin (existing),TOWL,360,440,descending,sequential,459.0,441.0,18.0
TEXTILE COMPOSITE,thin (existing),TOWL,1840,1920,ascending,whipsaw,1930.0,1933.0,3.0
